student_id,school_id,grade_band,anonymized_student_key,active_flag
166,9,6-8,ANON-000166-2425,True
167,15,K-2,ANON-000167-4882,True
168,7,6-8,ANON-000168-8015,True
169,6,3-5,ANON-000169-4385,True
170,27,3-5,ANON-000170-1972,True
171,19,6-8,ANON-000171-9720,True
172,9,3-5,ANON-000172-6302,True
173,23,6-8,ANON-000173-5740,True
174,19,6-8,ANON-000174-9428,True
175,29,K-2,ANON-000175-3221,True
176,25,9-12,ANON-000176-1971,True
177,9,3-5,ANON-000177-3174,True
178,8,3-5,ANON-000178-6277,True
179,27,3-5,ANON-000179-7434,True
180,16,3-5,ANON-000180-5402,True
181,21,9-12,ANON-000181-7146,True
182,15,K-2,ANON-000182-2525,True
183,13,6-8,ANON-000183-7046,True
184,15,9-12,ANON-000184-6362,True
185,19,K-2,ANON-000185-2526,True
186,24,9-12,ANON-000186-6869,True
187,28,K-2,ANON-000187-9756,True
188,13,3-5,ANON-000188-8039,True
189,27,3-5,ANON-000189-9105,True
190,9,6-8,ANON-000190-5646,True
191,11,3-5,ANON-000191-8951,True
192,26,6-8,ANON-000192-1793,True
193,2,K-2,ANON-000193-8529,True
194,1,K-2,ANON-000194-3588,True
195,15,9-12,ANON-000195-1011,True
196,14,3-5,ANON-000196-3161,True
197,29,6-8,ANON-000197-3604,True
198,28,6-8,ANON-000198-2529,True
199,21,6-8,ANON-000199-5102,True
200,3,6-8,ANON-000200-3711,True
201,2,9-12,ANON-000201-6005,True
202,24,3-5,ANON-000202-8032,True
203,21,K-2,ANON-000203-2559,True
204,1,3-5,ANON-000204-8812,True
205,3,3-5,ANON-000205-4705,True
206,17,9-12,ANON-000206-1152,True
207,1,6-8,ANON-000207-2975,True
208,28,9-12,ANON-000208-3165,True
209,16,K-2,ANON-000209-4751,True
210,13,K-2,ANON-000210-2678,True
211,4,6-8,ANON-000211-7022,True
212,29,6-8,ANON-000212-3246,True
213,13,3-5,ANON-000213-3340,True
214,3,K-2,ANON-000214-3688,True
215,15,6-8,ANON-000215-4490,True
216,21,3-5,ANON-000216-7745,True
217,20,9-12,ANON-000217-4559,True
218,3,K-2,ANON-000218-3293,True
219,25,K-2,ANON-000219-7291,True
220,12,9-12,ANON-000220-6152,True
221,26,3-5,ANON-000221-5059,True
222,9,K-2,ANON-000222-5065,True
223,18,6-8,ANON-000223-1439,True
224,28,6-8,ANON-000224-4366,True
225,17,3-5,ANON-000225-7418,True
226,10,K-2,ANON-000226-4921,True
227,16,9-12,ANON-000227-2847,True
228,8,9-12,ANON-000228-2163,True
229,17,K-2,ANON-000229-6916,True
230,30,6-8,ANON-000230-3162,True
231,13,9-12,ANON-000231-6986,True
232,18,3-5,ANON-000232-8717,True
233,25,K-2,ANON-000233-1273,True
234,19,K-2,ANON-000234-1225,True
235,9,3-5,ANON-000235-1652,True
236,30,K-2,ANON-000236-7520,True
237,17,6-8,ANON-000237-9209,True
238,25,9-12,ANON-000238-7939,True
239,23,9-12,ANON-000239-2350,True
240,21,3-5,ANON-000240-5546,True
241,3,6-8,ANON-000241-2294,True
242,17,3-5,ANON-000242-3545,True
243,18,6-8,ANON-000243-7401,True
244,19,K-2,ANON-000244-6081,True
245,23,9-12,ANON-000245-4909,True
246,2,3-5,ANON-000246-2412,True
247,30,9-12,ANON-000247-2900,True
248,15,K-2,ANON-000248-6067,True
249,22,3-5,ANON-000249-2956,True
250,1,3-5,ANON-000250-1185,True
251,6,9-12,ANON-000251-6680,True
252,17,6-8,ANON-000252-3735,True
253,12,3-5,ANON-000253-5403,True
254,24,K-2,ANON-000254-1480,True
255,11,9-12,ANON-000255-5456,True
256,17,K-2,ANON-000256-5308,True
257,23,K-2,ANON-000257-9128,True
258,15,6-8,ANON-000258-1908,True
259,16,3-5,ANON-000259-7024,True
260,6,6-8,ANON-000260-2685,True
261,29,K-2,ANON-000261-4742,True
262,24,K-2,ANON-000262-1721,True
263,28,K-2,ANON-000263-5006,True
264,2,9-12,ANON-000264-6963,True
265,13,3-5,ANON-000265-3932,True
266,30,K-2,ANON-000266-7870,True
267,8,6-8,ANON-000267-5067,True
268,14,6-8,ANON-000268-5444,True
269,27,K-2,ANON-000269-7108,True
270,4,K-2,ANON-000270-3938,True
271,8,K-2,ANON-000271-7568,True
272,3,9-12,ANON-000272-5625,True
273,25,6-8,ANON-000273-6362,True
274,3,9-12,ANON-000274-1130,True
275,12,3-5,ANON-000275-5777,True
276,19,6-8,ANON-000276-4974,True
277,15,6-8,ANON-000277-9083,True
278,25,3-5,ANON-000278-9954,True
279,25,3-5,ANON-000279-3466,True
280,1,9-12,ANON-000280-1391,True
281,8,6-8,ANON-000281-1157,True
282,11,K-2,ANON-000282-7164,True
283,28,6-8,ANON-000283-2703,True
284,7,3-5,ANON-000284-7878,True
285,16,K-2,ANON-000285-3332,True
286,23,6-8,ANON-000286-2524,True
287,2,3-5,ANON-000287-9515,True
288,14,6-8,ANON-000288-8511,True
289,24,K-2,ANON-000289-2565,True
290,17,3-5,ANON-000290-7461,True
291,3,K-2,ANON-000291-8126,True
292,22,3-5,ANON-000292-4879,True
293,10,6-8,ANON-000293-6161,True
294,30,9-12,ANON-000294-6345,True
295,11,9-12,ANON-000295-5455,True
296,8,K-2,ANON-000296-4321,True
297,5,K-2,ANON-000297-3546,True
298,4,3-5,ANON-000298-8365,True
299,15,6-8,ANON-000299-7660,True
300,4,6-8,ANON-000300-4401,True
301,15,6-8,ANON-000301-8591,True
302,9,K-2,ANON-000302-2481,True
303,6,6-8,ANON-000303-1660,True
304,7,6-8,ANON-000304-3430,True
305,3,3-5,ANON-000305-6828,True
306,13,K-2,ANON-000306-5896,True
307,9,3-5,ANON-000307-1509,True
308,13,9-12,ANON-000308-5093,True
309,4,9-12,ANON-000309-2669,True
310,26,3-5,ANON-000310-2989,True
311,1,K-2,ANON-000311-4641,True
312,5,3-5,ANON-000312-7563,True
313,12,K-2,ANON-000313-5240,True
314,30,K-2,ANON-000314-1357,True
315,3,3-5,ANON-000315-8265,True
316,26,3-5,ANON-000316-2506,True
317,29,6-8,ANON-000317-3007,True
318,2,9-12,ANON-000318-1829,True
319,6,9-12,ANON-000319-7471,True
320,16,K-2,ANON-000320-7270,True
321,22,9-12,ANON-000321-3831,True
322,12,3-5,ANON-000322-4066,True
323,9,6-8,ANON-000323-8307,True
324,29,3-5,ANON-000324-1567,True
325,20,3-5,ANON-000325-5835,True
326,16,9-12,ANON-000326-8848,True
327,2,K-2,ANON-000327-5583,True
328,13,3-5,ANON-000328-7868,True
329,7,3-5,ANON-000329-9907,True
330,26,K-2,ANON-000330-7266,True
331,26,6-8,ANON-000331-8859,True
332,18,9-12,ANON-000332-6636,True
333,30,6-8,ANON-000333-7363,True
334,9,3-5,ANON-000334-1427,True
335,11,3-5,ANON-000335-1480,True
336,29,6-8,ANON-000336-1959,True
337,26,9-12,ANON-000337-9674,True
338,12,3-5,ANON-000338-3615,True
339,4,3-5,ANON-000339-4951,True
340,9,K-2,ANON-000340-4594,True
341,19,9-12,ANON-000341-6813,True
342,30,3-5,ANON-000342-3885,True
343,8,6-8,ANON-000343-6878,True
344,30,K-2,ANON-000344-6761,True
345,19,3-5,ANON-000345-4084,True
346,27,9-12,ANON-000346-9882,True
347,10,3-5,ANON-000347-9035,True
348,2,K-2,ANON-000348-1920,True
349,8,3-5,ANON-000349-1326,True
350,17,9-12,ANON-000350-1011,True
351,11,3-5,ANON-000351-3137,True
352,11,3-5,ANON-000352-6301,True
353,2,K-2,ANON-000353-3420,True
354,19,3-5,ANON-000354-2817,True
355,28,6-8,ANON-000355-2188,True
356,12,9-12,ANON-000356-2655,True
357,11,6-8,ANON-000357-6285,True
358,5,3-5,ANON-000358-8157,True
359,26,9-12,ANON-000359-6198,True
360,6,6-8,ANON-000360-4657,True
361,22,3-5,ANON-000361-7199,True
362,10,6-8,ANON-000362-3086,True
363,6,K-2,ANON-000363-7415,True
364,28,K-2,ANON-000364-3983,True
365,20,6-8,ANON-000365-4619,True
366,21,K-2,ANON-000366-9129,True
367,5,6-8,ANON-000367-2274,True
368,8,6-8,ANON-000368-6234,True
369,6,K-2,ANON-000369-6500,True
370,15,K-2,ANON-000370-5345,True
371,7,3-5,ANON-000371-2110,True
372,12,6-8,ANON-000372-2770,True
373,24,K-2,ANON-000373-1788,True
374,13,9-12,ANON-000374-7875,True
375,6,9-12,ANON-000375-9078,True
376,29,9-12,ANON-000376-6754,True
377,18,9-12,ANON-000377-2661,True
378,27,9-12,ANON-000378-4695,True
379,6,9-12,ANON-000379-2207,True
380,26,K-2,ANON-000380-5831,True
381,1,6-8,ANON-000381-5278,True
382,4,K-2,ANON-000382-6600,True
383,6,9-12,ANON-000383-3636,True
384,24,K-2,ANON-000384-9962,True
385,29,K-2,ANON-000385-6536,True
386,20,9-12,ANON-000386-1507,True
387,14,3-5,ANON-000387-8113,True
388,6,K-2,ANON-000388-2659,True
389,11,3-5,ANON-000389-4112,True
390,14,6-8,ANON-000390-5612,True
391,10,3-5,ANON-000391-2571,True
392,2,9-12,ANON-000392-9043,True
393,5,K-2,ANON-000393-6911,True
394,1,9-12,ANON-000394-2435,True
395,10,9-12,ANON-000395-4271,True
396,4,K-2,ANON-000396-4390,True
397,6,6-8,ANON-000397-2342,True
398,16,K-2,ANON-000398-6052,True
399,26,9-12,ANON-000399-8715,True
400,16,6-8,ANON-000400-2493,True
401,21,9-12,ANON-000401-4029,True
402,12,9-12,ANON-000402-7052,True
403,6,9-12,ANON-000403-1731,True
404,9,9-12,ANON-000404-8619,True
405,9,3-5,ANON-000405-5400,True
406,19,K-2,ANON-000406-3476,True
407,25,K-2,ANON-000407-2404,True
408,22,6-8,ANON-000408-9871,True
409,14,3-5,ANON-000409-1999,True
410,27,9-12,ANON-000410-9561,True
411,14,9-12,ANON-000411-4860,True
412,16,6-8,ANON-000412-2293,True
413,13,K-2,ANON-000413-9226,True
414,19,3-5,ANON-000414-2970,True
415,25,9-12,ANON-000415-3832,True
416,6,3-5,ANON-000416-4157,True
417,5,K-2,ANON-000417-7936,True
418,3,9-12,ANON-000418-4308,True
419,27,3-5,ANON-000419-5225,True
420,11,K-2,ANON-000420-2425,True
421,13,9-12,ANON-000421-6343,True
422,28,6-8,ANON-000422-9514,True
423,15,K-2,ANON-000423-9561,True
424,26,9-12,ANON-000424-2843,True
425,14,3-5,ANON-000425-3428,True
426,19,K-2,ANON-000426-2730,True
427,19,K-2,ANON-000427-5687,True
428,28,6-8,ANON-000428-7732,True
429,9,9-12,ANON-000429-8955,True
430,19,9-12,ANON-000430-1613,True
431,6,6-8,ANON-000431-7602,True
432,5,9-12,ANON-000432-1635,True
433,13,6-8,ANON-000433-4892,True
434,2,9-12,ANON-000434-5400,True
435,29,6-8,ANON-000435-1331,True
436,11,6-8,ANON-000436-6094,True
437,9,9-12,ANON-000437-2609,True
438,28,3-5,ANON-000438-3201,True
439,10,9-12,ANON-000439-6257,True
440,9,9-12,ANON-000440-2462,True
441,7,9-12,ANON-000441-4463,True
442,30,9-12,ANON-000442-8937,True
443,25,6-8,ANON-000443-1920,True
444,17,3-5,ANON-000444-2075,True
445,10,9-12,ANON-000445-3222,True
446,25,K-2,ANON-000446-3846,True
447,7,3-5,ANON-000447-1944,True
448,8,K-2,ANON-000448-8478,True
449,2,6-8,ANON-000449-4262,True
450,9,6-8,ANON-000450-8605,True
451,17,9-12,ANON-000451-3029,True
452,22,K-2,ANON-000452-4963,True
453,12,9-12,ANON-000453-8308,True
454,6,9-12,ANON-000454-6730,True
455,12,3-5,ANON-000455-5237,True
456,24,K-2,ANON-000456-5670,True
457,1,9-12,ANON-000457-1813,True
458,6,3-5,ANON-000458-4626,True
459,21,3-5,ANON-000459-4387,True
460,9,9-12,ANON-000460-9409,True
461,1,K-2,ANON-000461-8767,True
462,30,3-5,ANON-000462-3837,True
463,20,K-2,ANON-000463-4666,True
464,9,6-8,ANON-000464-5511,True
465,14,9-12,ANON-000465-6713,True
466,15,6-8,ANON-000466-4575,True
467,15,6-8,ANON-000467-9530,True
468,27,9-12,ANON-000468-2676,True
469,1,6-8,ANON-000469-5631,True
470,10,K-2,ANON-000470-8892,True
471,3,6-8,ANON-000471-5529,True
472,21,6-8,ANON-000472-5536,True
473,9,6-8,ANON-000473-4086,True
474,5,3-5,ANON-000474-1930,True
475,26,9-12,ANON-000475-6236,True
476,22,3-5,ANON-000476-1417,True
477,21,9-12,ANON-000477-5843,True
478,9,9-12,ANON-000478-7628,True
479,13,K-2,ANON-000479-4111,True
480,11,3-5,ANON-000480-9759,True
481,21,9-12,ANON-000481-6873,True
482,17,6-8,ANON-000482-3785,True
483,27,3-5,ANON-000483-5813,True
484,4,9-12,ANON-000484-3096,True
485,24,6-8,ANON-000485-3999,True
486,22,6-8,ANON-000486-2463,True
487,8,6-8,ANON-000487-4659,True
488,24,6-8,ANON-000488-7889,True
489,26,6-8,ANON-000489-7089,True
490,9,6-8,ANON-000490-8598,True
491,28,K-2,ANON-000491-8709,True
492,2,K-2,ANON-000492-8736,True
493,29,3-5,ANON-000493-9199,True
494,4,9-12,ANON-000494-9680,True
495,10,9-12,ANON-000495-1885,True
496,28,3-5,ANON-000496-3250,True
497,7,6-8,ANON-000497-7704,True
498,19,9-12,ANON-000498-3346,True
499,11,3-5,ANON-000499-2324,True
500,16,6-8,ANON-000500-3897,True
501,11,K-2,ANON-000501-1077,True
502,15,6-8,ANON-000502-4430,True
503,25,3-5,ANON-000503-3595,True
504,16,K-2,ANON-000504-3120,True
505,20,9-12,ANON-000505-8035,True
506,13,9-12,ANON-000506-8821,True
507,13,K-2,ANON-000507-1618,True
508,18,3-5,ANON-000508-7112,True
509,1,6-8,ANON-000509-9700,True
510,7,K-2,ANON-000510-1067,True
511,21,3-5,ANON-000511-4707,True
512,23,6-8,ANON-000512-6113,True
513,5,K-2,ANON-000513-7284,True
514,17,6-8,ANON-000514-3736,True
515,3,K-2,ANON-000515-5885,True
516,10,9-12,ANON-000516-9524,True
517,20,6-8,ANON-000517-8105,True
518,29,3-5,ANON-000518-6615,True
519,29,9-12,ANON-000519-6885,True
520,25,3-5,ANON-000520-3701,True
521,30,9-12,ANON-000521-1313,True
522,8,3-5,ANON-000522-3149,True
523,7,K-2,ANON-000523-9267,True
524,6,K-2,ANON-000524-7006,True
525,23,K-2,ANON-000525-7147,True
526,29,6-8,ANON-000526-9761,True
527,20,K-2,ANON-000527-1785,True
528,22,K-2,ANON-000528-1323,True
529,2,K-2,ANON-000529-7828,True
530,15,9-12,ANON-000530-3024,True
531,18,6-8,ANON-000531-8772,True
532,23,3-5,ANON-000532-4366,True
533,23,K-2,ANON-000533-5933,True
534,14,K-2,ANON-000534-9524,True
535,9,3-5,ANON-000535-7862,True
536,27,K-2,ANON-000536-9381,True
537,24,K-2,ANON-000537-5631,True
538,4,K-2,ANON-000538-9154,True
539,7,3-5,ANON-000539-5308,True
540,27,3-5,ANON-000540-6864,True
541,23,9-12,ANON-000541-5839,True
542,6,K-2,ANON-000542-9980,True
543,16,3-5,ANON-000543-8875,True
544,11,3-5,ANON-000544-1044,True
545,1,K-2,ANON-000545-2809,True
546,27,9-12,ANON-000546-3443,True
547,3,K-2,ANON-000547-2659,True
548,29,6-8,ANON-000548-4787,True
549,15,6-8,ANON-000549-5327,True
550,15,K-2,ANON-000550-2635,True
551,27,3-5,ANON-000551-1646,True
552,28,6-8,ANON-000552-6901,True
553,26,6-8,ANON-000553-7979,True
554,24,K-2,ANON-000554-2556,True
555,28,K-2,ANON-000555-1158,True
556,28,3-5,ANON-000556-3793,True
557,11,6-8,ANON-000557-8171,True
558,20,6-8,ANON-000558-2522,True
559,12,6-8,ANON-000559-3996,True
560,4,9-12,ANON-000560-7557,True
561,15,6-8,ANON-000561-7319,True
562,23,9-12,ANON-000562-7909,True
563,21,3-5,ANON-000563-2852,True
564,5,K-2,ANON-000564-3611,True
565,4,9-12,ANON-000565-8908,True
566,26,9-12,ANON-000566-3969,True
567,20,9-12,ANON-000567-6875,True
568,20,K-2,ANON-000568-3140,True
569,16,9-12,ANON-000569-2850,True
570,29,9-12,ANON-000570-8220,True
571,2,K-2,ANON-000571-5286,True
572,21,6-8,ANON-000572-1202,True
573,23,3-5,ANON-000573-6542,True
574,17,K-2,ANON-000574-8091,True
575,22,3-5,ANON-000575-8895,True
576,12,9-12,ANON-000576-3435,True
577,27,K-2,ANON-000577-1190,True
578,21,3-5,ANON-000578-9283,True
579,28,9-12,ANON-000579-9123,True
580,28,3-5,ANON-000580-2226,True
581,25,9-12,ANON-000581-6253,True
582,8,6-8,ANON-000582-5557,True
583,2,3-5,ANON-000583-7203,True
584,13,3-5,ANON-000584-2291,True
585,15,9-12,ANON-000585-8341,True
586,3,9-12,ANON-000586-8324,True
587,11,K-2,ANON-000587-9148,True
588,24,K-2,ANON-000588-2681,True
589,13,9-12,ANON-000589-1587,True
590,18,K-2,ANON-000590-2489,True
591,26,6-8,ANON-000591-9328,True
592,18,3-5,ANON-000592-8474,True
593,11,6-8,ANON-000593-1889,True
594,27,3-5,ANON-000594-8445,True
595,11,9-12,ANON-000595-6952,True
596,23,9-12,ANON-000596-2868,True
597,4,3-5,ANON-000597-1035,True
598,11,6-8,ANON-000598-5783,True
599,18,6-8,ANON-000599-2741,True
600,2,3-5,ANON-000600-9067,True
601,5,9-12,ANON-000601-2752,True
602,9,3-5,ANON-000602-4072,True
603,4,9-12,ANON-000603-4532,True
604,15,3-5,ANON-000604-6536,True
605,4,9-12,ANON-000605-1761,True
606,30,K-2,ANON-000606-8381,True
607,15,3-5,ANON-000607-9172,True
608,1,K-2,ANON-000608-8091,True
609,27,9-12,ANON-000609-9328,True
610,25,3-5,ANON-000610-3845,True
611,24,3-5,ANON-000611-2696,True
612,13,6-8,ANON-000612-9259,True
613,29,9-12,ANON-000613-7859,True
614,20,3-5,ANON-000614-5482,True
615,13,6-8,ANON-000615-5819,True
616,15,3-5,ANON-000616-3263,True
617,14,6-8,ANON-000617-9975,True
618,28,6-8,ANON-000618-4560,True
619,7,3-5,ANON-000619-5760,True
620,22,6-8,ANON-000620-3173,True
621,23,3-5,ANON-000621-9255,True
622,18,6-8,ANON-000622-2890,True
623,25,6-8,ANON-000623-8870,True
624,19,9-12,ANON-000624-9747,True
625,10,9-12,ANON-000625-1209,True
626,17,K-2,ANON-000626-1414,True
627,13,3-5,ANON-000627-1869,True
628,22,K-2,ANON-000628-4275,True
629,9,3-5,ANON-000629-5695,True
630,22,6-8,ANON-000630-3399,True
631,27,K-2,ANON-000631-5835,True
632,7,K-2,ANON-000632-6876,True
633,27,9-12,ANON-000633-2679,True
634,20,3-5,ANON-000634-7371,True
635,8,6-8,ANON-000635-1769,True
636,30,9-12,ANON-000636-7349,True
637,14,6-8,ANON-000637-1881,True
638,1,6-8,ANON-000638-4327,True
639,20,9-12,ANON-000639-4695,True
640,30,6-8,ANON-000640-9955,True
641,24,3-5,ANON-000641-4170,True
642,10,9-12,ANON-000642-3906,True
643,22,K-2,ANON-000643-4063,True
644,6,K-2,ANON-000644-7180,True
645,2,9-12,ANON-000645-5572,True
646,18,6-8,ANON-000646-3131,True
647,6,6-8,ANON-000647-1092,True
648,11,9-12,ANON-000648-3536,True
649,2,3-5,ANON-000649-6285,True
650,20,K-2,ANON-000650-5934,True
651,16,6-8,ANON-000651-2194,True
652,26,6-8,ANON-000652-9608,True
653,8,3-5,ANON-000653-9529,True
654,3,3-5,ANON-000654-7814,True
655,18,9-12,ANON-000655-2506,True
656,12,3-5,ANON-000656-4495,True
657,22,6-8,ANON-000657-6424,True
658,12,6-8,ANON-000658-4579,True
659,25,9-12,ANON-000659-1144,True
660,4,6-8,ANON-000660-8301,True
661,8,3-5,ANON-000661-1653,True
662,22,6-8,ANON-000662-7248,True
663,30,K-2,ANON-000663-7322,True
664,9,6-8,ANON-000664-1404,True
665,30,6-8,ANON-000665-9426,True
666,26,9-12,ANON-000666-8975,True
667,2,6-8,ANON-000667-4154,True
668,11,K-2,ANON-000668-2572,True
669,6,K-2,ANON-000669-2072,True
670,7,3-5,ANON-000670-7950,True
671,27,K-2,ANON-000671-4368,True
672,18,9-12,ANON-000672-2181,True
673,24,3-5,ANON-000673-1389,True
674,15,6-8,ANON-000674-1620,True
675,3,K-2,ANON-000675-1889,True
676,6,6-8,ANON-000676-2154,True
677,19,3-5,ANON-000677-5237,True
678,14,9-12,ANON-000678-8391,True
679,21,9-12,ANON-000679-8094,True
680,11,K-2,ANON-000680-7381,True
681,22,K-2,ANON-000681-9762,True
682,1,K-2,ANON-000682-1745,True
683,23,K-2,ANON-000683-6860,True
684,30,K-2,ANON-000684-5748,True
685,26,6-8,ANON-000685-2417,True
686,10,9-12,ANON-000686-7249,True
687,13,K-2,ANON-000687-8765,True
688,6,3-5,ANON-000688-3234,True
689,24,9-12,ANON-000689-9941,True
690,10,3-5,ANON-000690-5883,True
691,22,6-8,ANON-000691-1182,True
692,18,3-5,ANON-000692-3019,True
693,2,K-2,ANON-000693-7456,True
694,18,K-2,ANON-000694-5992,True
695,7,6-8,ANON-000695-4469,True
696,14,3-5,ANON-000696-3637,True
697,6,3-5,ANON-000697-5140,True
