notification_id,request_id,recipient_user_id,notification_type,sent_at,read_at
180,1000139,226,Closure,2025-05-10 05:57:00,
181,1000140,210,Assignment,2025-03-09 08:26:00,2025-03-09 09:26:00
182,1000141,4,Closure,2025-06-11 13:17:00,2025-06-12 10:17:00
183,1000142,158,Closure,2025-10-12 04:03:00,2025-10-12 15:03:00
184,1000143,9,Escalation,2026-01-24 12:52:00,2026-01-25 00:52:00
185,1000144,85,Assignment,2024-09-01 10:01:00,2024-09-02 06:01:00
186,1000145,69,Follow-up Due,2025-10-28 14:04:00,2025-10-29 01:04:00
187,1000146,82,SLA At Risk,2025-11-20 04:20:00,2025-11-20 16:20:00
188,1000147,84,SLA At Risk,2024-12-05 18:08:00,
189,1000148,93,Follow-up Due,2024-09-22 01:44:00,2024-09-22 15:44:00
190,1000148,93,Escalation,2024-09-20 14:44:00,2024-09-21 09:44:00
191,1000149,18,Escalation,2025-10-01 12:14:00,2025-10-02 17:14:00
192,1000150,237,Closure,2025-05-08 03:06:00,
193,1000151,227,Assignment,2025-10-30 18:09:00,2025-10-31 02:09:00
194,1000152,66,Assignment,2024-11-09 02:53:00,2024-11-10 13:53:00
195,1000153,28,Escalation,2025-06-29 09:25:00,
196,1000154,132,Assignment,2025-06-04 00:42:00,2025-06-04 04:42:00
197,1000154,132,Escalation,2025-06-03 16:42:00,2025-06-04 00:42:00
198,1000155,208,SLA At Risk,2024-10-09 05:30:00,
199,1000156,61,Assignment,2025-07-07 00:11:00,
200,1000157,158,Follow-up Due,2026-01-15 21:11:00,2026-01-17 14:11:00
201,1000158,108,Closure,2025-09-04 14:30:00,
202,1000158,108,Follow-up Due,2025-09-05 02:30:00,2025-09-06 07:30:00
203,1000159,156,Closure,2026-05-03 04:54:00,2026-05-04 08:54:00
204,1000160,40,Escalation,2025-05-21 11:01:00,2025-05-21 19:01:00
205,1000161,84,Closure,2024-09-20 04:07:00,2024-09-21 07:07:00
206,1000162,16,SLA At Risk,2024-09-10 20:39:00,
207,1000163,64,Escalation,2026-02-16 21:00:00,2026-02-18 06:00:00
208,1000164,52,Assignment,2024-10-16 15:08:00,2024-10-17 22:08:00
209,1000164,52,Escalation,2024-10-16 15:08:00,2024-10-17 03:08:00
210,1000165,98,SLA At Risk,2025-09-03 07:22:00,
211,1000166,85,SLA At Risk,2026-05-30 17:54:00,
212,1000167,143,Follow-up Due,2025-04-17 14:35:00,2025-04-19 06:35:00
213,1000168,265,Escalation,2025-11-18 22:06:00,2025-11-19 06:06:00
214,1000169,74,Closure,2026-04-02 17:47:00,
215,1000170,182,Follow-up Due,2026-01-04 02:35:00,2026-01-04 06:35:00
216,1000171,151,SLA At Risk,2024-12-15 02:59:00,
217,1000171,151,Assignment,2024-12-14 13:59:00,
218,1000172,6,Follow-up Due,2025-05-17 14:14:00,
219,1000173,57,Escalation,2026-05-06 20:31:00,2026-05-07 14:31:00
220,1000173,57,SLA At Risk,2026-05-05 03:31:00,
221,1000174,65,Escalation,2025-11-14 16:54:00,2025-11-15 22:54:00
222,1000175,163,SLA At Risk,2025-01-14 08:47:00,2025-01-15 04:47:00
223,1000176,14,Escalation,2025-09-13 04:12:00,2025-09-13 07:12:00
224,1000177,8,Closure,2026-05-11 21:09:00,
225,1000177,8,Closure,2026-05-10 14:09:00,2026-05-11 18:09:00
226,1000178,271,Follow-up Due,2025-04-13 12:32:00,2025-04-14 18:32:00
227,1000179,245,Assignment,2025-04-13 09:43:00,2025-04-13 12:43:00
228,1000180,148,SLA At Risk,2025-01-10 08:39:00,2025-01-12 06:39:00
229,1000181,151,Follow-up Due,2025-06-10 06:44:00,
230,1000182,156,SLA At Risk,2025-08-30 17:23:00,2025-08-31 16:23:00
231,1000183,107,Assignment,2025-08-19 22:38:00,2025-08-21 15:38:00
232,1000183,107,SLA At Risk,2025-08-20 16:38:00,2025-08-21 06:38:00
233,1000184,103,Follow-up Due,2025-03-08 03:46:00,2025-03-09 14:46:00
234,1000185,2,Assignment,2024-10-05 16:44:00,2024-10-06 02:44:00
235,1000185,2,Follow-up Due,2024-10-05 12:44:00,2024-10-07 06:44:00
236,1000186,137,Closure,2026-06-02 21:00:00,2026-06-04 07:00:00
237,1000186,137,SLA At Risk,2026-06-02 18:00:00,2026-06-03 01:00:00
238,1000187,44,SLA At Risk,2026-05-07 08:53:00,2026-05-08 13:53:00
239,1000188,103,Escalation,2025-04-18 15:39:00,2025-04-19 08:39:00
240,1000189,108,Assignment,2026-06-23 13:54:00,
241,1000190,128,Closure,2025-09-02 14:11:00,
242,1000191,96,Assignment,2025-10-09 16:32:00,2025-10-10 07:32:00
243,1000191,96,Follow-up Due,2025-10-12 12:32:00,
244,1000192,81,Assignment,2025-08-21 10:13:00,2025-08-22 21:13:00
245,1000192,81,Closure,2025-08-22 14:13:00,2025-08-23 10:13:00
246,1000193,92,SLA At Risk,2025-12-24 03:44:00,2025-12-24 21:44:00
247,1000194,44,Assignment,2024-10-31 17:20:00,2024-11-02 03:20:00
248,1000195,182,Escalation,2025-04-05 21:22:00,2025-04-07 05:22:00
249,1000196,219,Escalation,2024-12-29 17:25:00,
250,1000197,84,Follow-up Due,2025-11-22 17:30:00,2025-11-23 10:30:00
251,1000198,252,SLA At Risk,2024-11-28 19:13:00,
252,1000198,252,SLA At Risk,2024-11-29 16:13:00,2024-12-01 16:13:00
253,1000199,89,Assignment,2025-12-30 22:53:00,2026-01-01 10:53:00
254,1000200,172,Assignment,2026-02-15 23:55:00,2026-02-16 09:55:00
255,1000201,15,Escalation,2024-10-15 21:15:00,2024-10-15 23:15:00
256,1000202,219,Assignment,2026-02-16 05:29:00,
257,1000202,219,Escalation,2026-02-17 14:29:00,2026-02-17 17:29:00
258,1000203,119,SLA At Risk,2025-03-16 08:12:00,2025-03-17 01:12:00
259,1000204,142,Closure,2024-11-08 19:10:00,2024-11-09 10:10:00
260,1000205,268,Follow-up Due,2025-06-24 11:55:00,2025-06-25 18:55:00
261,1000206,239,SLA At Risk,2026-04-17 02:14:00,2026-04-17 12:14:00
262,1000207,52,Assignment,2026-02-11 22:18:00,2026-02-12 22:18:00
263,1000208,37,Escalation,2025-06-24 07:19:00,
264,1000209,174,SLA At Risk,2026-01-18 18:39:00,2026-01-18 19:39:00
265,1000210,66,Follow-up Due,2026-05-17 05:41:00,2026-05-18 10:41:00
266,1000211,20,Escalation,2026-02-27 12:47:00,2026-02-28 23:47:00
267,1000212,268,Follow-up Due,2025-11-11 19:57:00,2025-11-13 12:57:00
268,1000213,129,Closure,2026-05-28 22:19:00,2026-05-29 23:19:00
269,1000214,132,Assignment,2026-05-29 20:39:00,2026-05-31 02:39:00
270,1000215,71,Follow-up Due,2025-03-17 16:05:00,2025-03-19 01:05:00
271,1000215,71,Follow-up Due,2025-03-17 19:05:00,2025-03-18 09:05:00
272,1000216,95,Escalation,2026-04-14 08:04:00,2026-04-14 23:04:00
273,1000217,184,Assignment,2025-11-09 08:28:00,2025-11-09 10:28:00
274,1000218,28,Follow-up Due,2024-10-06 14:48:00,2024-10-06 21:48:00
275,1000219,23,SLA At Risk,2024-11-25 09:43:00,2024-11-26 12:43:00
276,1000219,23,Escalation,2024-11-25 08:43:00,2024-11-27 01:43:00
277,1000220,175,Closure,2025-04-01 10:17:00,2025-04-03 10:17:00
278,1000220,175,Follow-up Due,2025-04-02 04:17:00,2025-04-02 06:17:00
279,1000221,53,Follow-up Due,2026-03-27 17:09:00,2026-03-29 15:09:00
280,1000222,137,Assignment,2026-04-06 00:53:00,
281,1000222,137,Escalation,2026-04-03 23:53:00,
282,1000223,212,Assignment,2025-01-15 10:15:00,2025-01-16 06:15:00
283,1000224,138,Follow-up Due,2026-05-17 09:32:00,2026-05-18 13:32:00
284,1000224,138,Assignment,2026-05-18 10:32:00,
285,1000225,89,Assignment,2026-04-10 23:14:00,2026-04-12 14:14:00
286,1000226,26,Follow-up Due,2026-01-22 20:39:00,
287,1000226,26,Closure,2026-01-24 06:39:00,
288,1000227,79,Escalation,2025-10-30 21:12:00,2025-11-01 07:12:00
289,1000228,178,SLA At Risk,2024-10-06 14:17:00,2024-10-08 08:17:00
290,1000228,178,Escalation,2024-10-08 15:17:00,
291,1000229,196,Assignment,2026-05-07 03:50:00,2026-05-07 14:50:00
292,1000229,196,SLA At Risk,2026-05-07 14:50:00,2026-05-08 11:50:00
293,1000230,220,Escalation,2025-04-28 00:36:00,2025-04-28 06:36:00
294,1000231,103,Assignment,2025-04-01 20:46:00,2025-04-03 10:46:00
295,1000232,108,Follow-up Due,2025-10-21 03:14:00,2025-10-21 21:14:00
296,1000233,79,SLA At Risk,2026-04-07 12:35:00,
297,1000233,79,Closure,2026-04-09 11:35:00,2026-04-10 06:35:00
298,1000234,40,Follow-up Due,2026-05-13 14:00:00,2026-05-13 17:00:00
299,1000235,68,Closure,2025-11-08 07:37:00,
300,1000236,135,Closure,2025-11-29 04:20:00,
301,1000237,130,Follow-up Due,2026-01-16 08:27:00,
302,1000238,270,SLA At Risk,2025-06-06 21:05:00,
303,1000239,2,Follow-up Due,2025-01-03 05:51:00,2025-01-04 12:51:00
304,1000239,2,Assignment,2025-01-02 19:51:00,2025-01-03 12:51:00
305,1000240,56,Escalation,2025-01-01 11:59:00,
306,1000241,27,Escalation,2025-11-17 02:18:00,2025-11-19 00:18:00
307,1000241,27,Follow-up Due,2025-11-17 06:18:00,2025-11-18 03:18:00
308,1000242,171,Assignment,2024-10-19 18:14:00,2024-10-20 21:14:00
309,1000243,163,Escalation,2025-06-07 21:01:00,2025-06-09 07:01:00
310,1000243,163,Follow-up Due,2025-06-09 23:01:00,
311,1000244,169,Assignment,2026-03-08 16:35:00,2026-03-10 03:35:00
312,1000245,212,Follow-up Due,2024-11-18 05:46:00,2024-11-18 12:46:00
313,1000246,114,Escalation,2025-05-25 08:16:00,
314,1000247,145,Escalation,2025-09-12 09:03:00,
315,1000248,210,Follow-up Due,2026-03-15 08:54:00,2026-03-15 21:54:00
316,1000249,159,Escalation,2024-10-12 00:20:00,2024-10-12 11:20:00
317,1000250,139,Closure,2026-01-14 12:23:00,2026-01-14 13:23:00
318,1000251,47,Follow-up Due,2025-05-17 00:32:00,
319,1000252,72,Closure,2025-11-16 07:49:00,
320,1000253,168,Assignment,2025-07-05 18:47:00,2025-07-06 03:47:00
321,1000253,168,Escalation,2025-07-07 06:47:00,2025-07-07 14:47:00
322,1000254,208,Closure,2025-02-09 21:35:00,2025-02-10 09:35:00
323,1000255,239,SLA At Risk,2025-05-31 13:53:00,2025-06-01 19:53:00
324,1000255,239,Assignment,2025-05-30 13:53:00,2025-06-01 09:53:00
325,1000256,13,Closure,2025-05-21 03:14:00,2025-05-22 14:14:00
326,1000257,101,Assignment,2025-04-28 08:37:00,
327,1000258,90,SLA At Risk,2025-09-12 23:49:00,2025-09-13 16:49:00
328,1000258,90,Assignment,2025-09-13 00:49:00,2025-09-14 08:49:00
329,1000259,31,Escalation,2025-11-05 08:38:00,2025-11-05 16:38:00
330,1000259,31,Escalation,2025-11-04 18:38:00,2025-11-05 16:38:00
331,1000260,265,Assignment,2024-12-10 02:52:00,2024-12-10 10:52:00
332,1000261,49,Follow-up Due,2026-03-16 14:04:00,2026-03-17 16:04:00
333,1000261,49,Follow-up Due,2026-03-17 04:04:00,2026-03-17 15:04:00
334,1000262,69,SLA At Risk,2026-05-30 19:37:00,2026-05-31 00:37:00
335,1000263,160,SLA At Risk,2024-09-21 08:22:00,2024-09-21 17:22:00
336,1000264,176,Assignment,2025-02-20 14:11:00,2025-02-21 06:11:00
337,1000265,252,Assignment,2025-09-11 13:42:00,
338,1000266,124,Assignment,2025-02-10 07:56:00,2025-02-10 19:56:00
339,1000267,80,Assignment,2026-01-30 00:30:00,
340,1000268,28,Closure,2024-09-11 13:29:00,2024-09-13 06:29:00
341,1000269,186,Follow-up Due,2025-11-12 14:36:00,2025-11-13 05:36:00
342,1000270,79,Assignment,2026-05-20 10:44:00,
343,1000271,56,SLA At Risk,2025-12-11 23:02:00,
344,1000271,56,Assignment,2025-12-12 00:02:00,2025-12-12 09:02:00
345,1000272,162,Assignment,2025-12-24 23:04:00,
346,1000273,213,Assignment,2024-09-05 03:19:00,2024-09-05 11:19:00
347,1000274,112,Follow-up Due,2024-12-31 02:04:00,2025-01-01 23:04:00
348,1000275,17,Closure,2025-09-05 15:21:00,2025-09-06 10:21:00
349,1000275,17,Escalation,2025-09-06 13:21:00,2025-09-07 22:21:00
350,1000276,98,Follow-up Due,2025-05-23 00:42:00,2025-05-23 09:42:00
351,1000277,4,Follow-up Due,2025-04-27 10:06:00,
352,1000278,56,Follow-up Due,2025-09-06 04:40:00,
353,1000279,21,SLA At Risk,2025-05-01 21:05:00,2025-05-02 03:05:00
354,1000279,21,Escalation,2025-05-02 03:05:00,2025-05-03 10:05:00
355,1000280,80,Escalation,2025-08-16 17:55:00,2025-08-17 03:55:00
356,1000280,80,Assignment,2025-08-18 06:55:00,2025-08-19 21:55:00
357,1000281,109,SLA At Risk,2026-04-29 02:19:00,2026-05-01 00:19:00
358,1000282,150,Closure,2026-02-15 18:29:00,2026-02-17 12:29:00
359,1000283,146,Escalation,2024-08-18 11:39:00,2024-08-20 10:39:00
360,1000284,161,Closure,2026-03-28 11:02:00,2026-03-29 15:02:00
361,1000284,161,Escalation,2026-03-26 12:02:00,2026-03-27 20:02:00
362,1000285,139,Closure,2024-10-16 03:51:00,2024-10-17 05:51:00
363,1000286,170,SLA At Risk,2025-04-27 21:08:00,2025-04-29 09:08:00
364,1000286,170,Assignment,2025-04-26 17:08:00,2025-04-27 04:08:00
365,1000287,26,SLA At Risk,2025-07-26 02:39:00,2025-07-27 13:39:00
366,1000288,15,SLA At Risk,2025-01-21 16:43:00,2025-01-22 16:43:00
367,1000289,157,Assignment,2025-12-21 07:31:00,
368,1000290,215,Assignment,2024-09-12 13:37:00,2024-09-12 16:37:00
369,1000291,136,Follow-up Due,2024-08-22 02:15:00,
370,1000292,130,Closure,2025-08-29 23:26:00,2025-08-30 09:26:00
371,1000292,130,Assignment,2025-08-30 00:26:00,2025-08-31 07:26:00
372,1000293,215,Closure,2024-09-17 20:50:00,2024-09-19 10:50:00
373,1000294,186,Escalation,2024-12-06 19:31:00,
374,1000295,2,SLA At Risk,2026-01-29 03:20:00,2026-01-30 11:20:00
375,1000296,119,Closure,2025-09-04 06:18:00,2025-09-05 02:18:00
