audit_log_id,entity_type,entity_id,field_name,old_value,new_value,changed_by_user_id,changed_at
57,support_request,1000013,current_status,New,Triaged,196,2025-08-16 23:01:00
58,support_request,1000013,current_status,Triaged,Assigned,196,2025-08-18 02:01:00
59,support_request,1000013,current_status,Assigned,In Progress,196,2025-08-16 23:01:00
60,support_request,1000013,current_status,In Progress,Resolved,196,2025-08-18 02:01:00
61,support_request,1000013,current_status,Resolved,Closed,196,2025-08-18 01:01:00
62,support_request,1000014,current_status,,New,73,2026-06-22 09:00:00
63,support_request,1000014,current_status,New,Triaged,73,2026-06-23 01:00:00
64,support_request,1000014,current_status,Triaged,Assigned,73,2026-06-23 01:00:00
65,support_request,1000014,current_status,Assigned,In Progress,73,2026-06-23 09:00:00
66,support_request,1000015,current_status,,New,97,2025-09-02 08:27:00
67,support_request,1000015,current_status,New,Triaged,97,2025-09-02 14:27:00
68,support_request,1000015,current_status,Triaged,Assigned,97,2025-09-03 14:27:00
69,support_request,1000015,current_status,Assigned,In Progress,97,2025-09-02 23:27:00
70,support_request,1000015,current_status,In Progress,Resolved,97,2025-09-04 12:27:00
71,support_request,1000015,current_status,Resolved,Closed,97,2025-09-05 11:27:00
72,support_request,1000016,current_status,,New,62,2024-11-16 15:30:00
73,support_request,1000016,current_status,New,Triaged,62,2024-11-16 20:30:00
74,support_request,1000016,current_status,Triaged,Assigned,62,2024-11-17 03:30:00
75,support_request,1000016,current_status,Assigned,In Progress,62,2024-11-17 12:30:00
76,support_request,1000016,current_status,In Progress,Pending Parent,62,2024-11-18 03:30:00
77,support_request,1000017,current_status,,New,35,2025-06-19 13:15:00
78,support_request,1000017,current_status,New,Triaged,35,2025-06-19 17:15:00
79,support_request,1000017,current_status,Triaged,Assigned,35,2025-06-19 17:15:00
80,support_request,1000017,current_status,Assigned,In Progress,35,2025-06-20 04:15:00
81,support_request,1000017,current_status,In Progress,Resolved,35,2025-06-20 05:15:00
82,support_request,1000018,current_status,,New,71,2025-01-20 13:23:00
83,support_request,1000018,current_status,New,Triaged,71,2025-01-20 20:23:00
84,support_request,1000018,current_status,Triaged,Assigned,71,2025-01-22 01:23:00
85,support_request,1000018,current_status,Assigned,In Progress,71,2025-01-21 07:23:00
86,support_request,1000018,current_status,In Progress,Resolved,71,2025-01-22 09:23:00
87,support_request,1000018,current_status,Resolved,Closed,71,2025-01-22 05:23:00
88,support_request,1000019,current_status,,New,16,2025-08-26 09:34:00
89,support_request,1000019,current_status,New,Triaged,16,2025-08-26 16:34:00
90,support_request,1000019,current_status,Triaged,Assigned,16,2025-08-26 23:34:00
91,support_request,1000019,current_status,Assigned,In Progress,16,2025-08-27 18:34:00
92,support_request,1000019,current_status,In Progress,Resolved,16,2025-08-27 21:34:00
93,support_request,1000020,current_status,,New,164,2025-02-23 10:54:00
94,support_request,1000020,current_status,New,Triaged,164,2025-02-23 20:54:00
95,support_request,1000020,current_status,Triaged,Assigned,164,2025-02-24 12:54:00
96,support_request,1000020,current_status,Assigned,In Progress,164,2025-02-24 19:54:00
97,support_request,1000020,current_status,In Progress,Resolved,164,2025-02-25 06:54:00
98,support_request,1000021,current_status,,New,86,2025-05-16 15:29:00
99,support_request,1000021,current_status,New,Triaged,86,2025-05-16 18:29:00
100,support_request,1000021,current_status,Triaged,Assigned,86,2025-05-17 03:29:00
101,support_request,1000021,current_status,Assigned,In Progress,86,2025-05-17 12:29:00
102,support_request,1000022,current_status,,New,245,2026-04-22 16:40:00
103,support_request,1000022,current_status,New,Triaged,245,2026-04-23 03:40:00
104,support_request,1000022,current_status,Triaged,Assigned,245,2026-04-23 00:40:00
105,support_request,1000022,current_status,Assigned,In Progress,245,2026-04-24 07:40:00
106,support_request,1000023,current_status,,New,147,2025-04-26 14:09:00
107,support_request,1000023,current_status,New,Triaged,147,2025-04-26 20:09:00
108,support_request,1000023,current_status,Triaged,Assigned,147,2025-04-27 16:09:00
109,support_request,1000023,current_status,Assigned,In Progress,147,2025-04-28 20:09:00
110,support_request,1000023,current_status,In Progress,Resolved,147,2025-04-28 18:09:00
111,support_request,1000023,current_status,Resolved,Closed,147,2025-04-29 22:09:00
112,support_request,1000024,current_status,,New,216,2025-10-16 10:28:00
113,support_request,1000024,current_status,New,Triaged,216,2025-10-16 23:28:00
114,support_request,1000024,current_status,Triaged,Assigned,216,2025-10-17 22:28:00
115,support_request,1000024,current_status,Assigned,In Progress,216,2025-10-17 04:28:00
116,support_request,1000024,current_status,In Progress,Resolved,216,2025-10-19 06:28:00
117,support_request,1000024,current_status,Resolved,Closed,216,2025-10-18 17:28:00
118,support_request,1000025,current_status,,New,37,2025-02-23 15:56:00
119,support_request,1000025,current_status,New,Triaged,37,2025-02-23 20:56:00
120,support_request,1000025,current_status,Triaged,Assigned,37,2025-02-24 19:56:00
121,support_request,1000025,current_status,Assigned,In Progress,37,2025-02-24 00:56:00
122,support_request,1000026,current_status,,New,163,2025-04-09 14:19:00
123,support_request,1000026,current_status,New,Triaged,163,2025-04-09 23:19:00
124,support_request,1000026,current_status,Triaged,Assigned,163,2025-04-11 02:19:00
125,support_request,1000026,current_status,Assigned,In Progress,163,2025-04-11 20:19:00
126,support_request,1000027,current_status,,New,213,2026-04-22 09:40:00
127,support_request,1000027,current_status,New,Triaged,213,2026-04-23 00:40:00
128,support_request,1000027,current_status,Triaged,Assigned,213,2026-04-22 23:40:00
129,support_request,1000027,current_status,Assigned,In Progress,213,2026-04-24 15:40:00
130,support_request,1000027,current_status,In Progress,Resolved,213,2026-04-22 21:40:00
131,support_request,1000027,current_status,Resolved,Closed,213,2026-04-24 06:40:00
132,support_request,1000028,current_status,,New,134,2025-10-28 15:17:00
133,support_request,1000028,current_status,New,Triaged,134,2025-10-29 07:17:00
134,support_request,1000028,current_status,Triaged,Assigned,134,2025-10-28 19:17:00
135,support_request,1000028,current_status,Assigned,In Progress,134,2025-10-29 00:17:00
136,support_request,1000028,current_status,In Progress,Resolved,134,2025-10-31 07:17:00
137,support_request,1000029,current_status,,New,117,2025-09-17 11:34:00
138,support_request,1000029,current_status,New,Triaged,117,2025-09-17 21:34:00
139,support_request,1000029,current_status,Triaged,Assigned,117,2025-09-18 21:34:00
140,support_request,1000029,current_status,Assigned,In Progress,117,2025-09-18 23:34:00
141,support_request,1000030,current_status,,New,128,2025-10-15 10:15:00
142,support_request,1000030,current_status,New,Triaged,128,2025-10-15 16:15:00
143,support_request,1000030,current_status,Triaged,Assigned,128,2025-10-16 20:15:00
144,support_request,1000030,current_status,Assigned,In Progress,128,2025-10-16 16:15:00
145,support_request,1000031,current_status,,New,34,2025-02-04 08:23:00
146,support_request,1000031,current_status,New,Triaged,34,2025-02-04 11:23:00
147,support_request,1000031,current_status,Triaged,Assigned,34,2025-02-05 20:23:00
148,support_request,1000031,current_status,Assigned,In Progress,34,2025-02-06 11:23:00
149,support_request,1000031,current_status,In Progress,Resolved,34,2025-02-06 20:23:00
150,support_request,1000032,current_status,,New,212,2025-10-20 08:52:00
151,support_request,1000032,current_status,New,Triaged,212,2025-10-20 19:52:00
152,support_request,1000032,current_status,Triaged,Assigned,212,2025-10-20 22:52:00
153,support_request,1000032,current_status,Assigned,In Progress,212,2025-10-21 23:52:00
154,support_request,1000032,current_status,In Progress,Escalated,212,2025-10-20 20:52:00
155,support_request,1000033,current_status,,New,237,2025-01-11 11:42:00
156,support_request,1000033,current_status,New,Triaged,237,2025-01-12 00:42:00
157,support_request,1000033,current_status,Triaged,Assigned,237,2025-01-12 11:42:00
158,support_request,1000033,current_status,Assigned,In Progress,237,2025-01-11 17:42:00
159,support_request,1000033,current_status,In Progress,Resolved,237,2025-01-13 23:42:00
160,support_request,1000034,current_status,,New,17,2024-10-01 14:18:00
161,support_request,1000034,current_status,New,Triaged,17,2024-10-02 04:18:00
162,support_request,1000034,current_status,Triaged,Assigned,17,2024-10-02 12:18:00
163,support_request,1000034,current_status,Assigned,In Progress,17,2024-10-03 02:18:00
164,support_request,1000034,current_status,In Progress,Resolved,17,2024-10-04 06:18:00
165,support_request,1000034,current_status,Resolved,Closed,17,2024-10-02 20:18:00
166,support_request,1000035,current_status,,New,16,2025-08-29 11:55:00
167,support_request,1000035,current_status,New,Triaged,16,2025-08-29 18:55:00
168,support_request,1000035,current_status,Triaged,Assigned,16,2025-08-30 13:55:00
169,support_request,1000036,current_status,,New,164,2024-11-29 10:56:00
170,support_request,1000036,current_status,New,Triaged,164,2024-11-30 00:56:00
171,support_request,1000036,current_status,Triaged,Assigned,164,2024-11-30 06:56:00
172,support_request,1000036,current_status,Assigned,In Progress,164,2024-12-01 13:56:00
173,support_request,1000036,current_status,In Progress,Resolved,164,2024-12-02 10:56:00
174,support_request,1000037,current_status,,New,86,2025-07-30 15:19:00
175,support_request,1000037,current_status,New,Triaged,86,2025-07-31 00:19:00
176,support_request,1000037,current_status,Triaged,Assigned,86,2025-07-31 03:19:00
177,support_request,1000037,current_status,Assigned,In Progress,86,2025-08-01 09:19:00
178,support_request,1000037,current_status,In Progress,Escalated,86,2025-08-01 03:19:00
179,support_request,1000038,current_status,,New,38,2026-04-20 10:27:00
180,support_request,1000038,current_status,New,Triaged,38,2026-04-20 14:27:00
181,support_request,1000038,current_status,Triaged,Assigned,38,2026-04-21 18:27:00
182,support_request,1000038,current_status,Assigned,In Progress,38,2026-04-21 10:27:00
183,support_request,1000038,current_status,In Progress,Resolved,38,2026-04-22 06:27:00
184,support_request,1000038,current_status,Resolved,Closed,38,2026-04-21 11:27:00
185,support_request,1000039,current_status,,New,272,2026-02-18 16:23:00
186,support_request,1000039,current_status,New,Triaged,272,2026-02-19 08:23:00
187,support_request,1000039,current_status,Triaged,Assigned,272,2026-02-19 12:23:00
188,support_request,1000039,current_status,Assigned,In Progress,272,2026-02-20 22:23:00
189,support_request,1000039,current_status,In Progress,Escalated,272,2026-02-21 08:23:00
190,support_request,1000040,current_status,,New,219,2024-09-19 08:46:00
191,support_request,1000040,current_status,New,Triaged,219,2024-09-19 17:46:00
192,support_request,1000040,current_status,Triaged,Assigned,219,2024-09-19 14:46:00
193,support_request,1000040,current_status,Assigned,In Progress,219,2024-09-21 11:46:00
194,support_request,1000041,current_status,,New,117,2025-02-13 08:26:00
195,support_request,1000041,current_status,New,Triaged,117,2025-02-13 10:26:00
196,support_request,1000041,current_status,Triaged,Assigned,117,2025-02-13 16:26:00
197,support_request,1000041,current_status,Assigned,In Progress,117,2025-02-14 02:26:00
198,support_request,1000041,current_status,In Progress,Resolved,117,2025-02-14 08:26:00
199,support_request,1000042,current_status,,New,51,2025-07-09 13:22:00
200,support_request,1000042,current_status,New,Triaged,51,2025-07-10 06:22:00
201,support_request,1000042,current_status,Triaged,Assigned,51,2025-07-10 05:22:00
202,support_request,1000043,current_status,,New,245,2024-08-27 09:47:00
203,support_request,1000043,current_status,New,Triaged,245,2024-08-27 21:47:00
204,support_request,1000043,current_status,Triaged,Assigned,245,2024-08-28 01:47:00
205,support_request,1000044,current_status,,New,57,2024-08-21 12:55:00
206,support_request,1000044,current_status,New,Triaged,57,2024-08-22 00:55:00
207,support_request,1000044,current_status,Triaged,Assigned,57,2024-08-22 18:55:00
208,support_request,1000044,current_status,Assigned,In Progress,57,2024-08-22 12:55:00
209,support_request,1000044,current_status,In Progress,Resolved,57,2024-08-23 08:55:00
210,support_request,1000044,current_status,Resolved,Closed,57,2024-08-21 22:55:00
211,support_request,1000045,current_status,,New,138,2026-02-28 10:39:00
212,support_request,1000045,current_status,New,Triaged,138,2026-02-28 22:39:00
213,support_request,1000045,current_status,Triaged,Assigned,138,2026-03-01 20:39:00
214,support_request,1000045,current_status,Assigned,In Progress,138,2026-03-02 04:39:00
215,support_request,1000045,current_status,In Progress,Resolved,138,2026-03-01 10:39:00
216,support_request,1000045,current_status,Resolved,Closed,138,2026-03-03 18:39:00
217,support_request,1000046,current_status,,New,219,2025-03-22 11:40:00
218,support_request,1000046,current_status,New,Triaged,219,2025-03-22 19:40:00
219,support_request,1000046,current_status,Triaged,Assigned,219,2025-03-23 17:40:00
220,support_request,1000046,current_status,Assigned,In Progress,219,2025-03-23 17:40:00
221,support_request,1000046,current_status,In Progress,Escalated,219,2025-03-23 07:40:00
222,support_request,1000047,current_status,,New,35,2025-07-06 13:31:00
223,support_request,1000047,current_status,New,Triaged,35,2025-07-07 04:31:00
224,support_request,1000047,current_status,Triaged,Assigned,35,2025-07-07 17:31:00
225,support_request,1000048,current_status,,New,170,2026-01-16 12:22:00
226,support_request,1000048,current_status,New,Triaged,170,2026-01-16 14:22:00
227,support_request,1000048,current_status,Triaged,Assigned,170,2026-01-17 06:22:00
228,support_request,1000048,current_status,Assigned,In Progress,170,2026-01-18 15:22:00
229,support_request,1000049,current_status,,New,83,2026-06-28 08:53:00
230,support_request,1000049,current_status,New,Triaged,83,2026-06-28 12:53:00
231,support_request,1000049,current_status,Triaged,Assigned,83,2026-06-28 12:53:00
232,support_request,1000049,current_status,Assigned,In Progress,83,2026-06-30 11:53:00
233,support_request,1000049,current_status,In Progress,Resolved,83,2026-06-30 08:53:00
234,support_request,1000050,current_status,,New,77,2025-07-28 16:06:00
235,support_request,1000050,current_status,New,Triaged,77,2025-07-29 00:06:00
236,support_request,1000050,current_status,Triaged,Assigned,77,2025-07-29 14:06:00
237,support_request,1000050,current_status,Assigned,In Progress,77,2025-07-29 04:06:00
238,support_request,1000050,current_status,In Progress,Escalated,77,2025-07-30 00:06:00
239,support_request,1000051,current_status,,New,104,2024-11-09 09:00:00
240,support_request,1000051,current_status,New,Triaged,104,2024-11-09 11:00:00
241,support_request,1000051,current_status,Triaged,Assigned,104,2024-11-10 13:00:00
242,support_request,1000051,current_status,Assigned,In Progress,104,2024-11-10 06:00:00
243,support_request,1000052,current_status,,New,37,2024-10-31 11:25:00
244,support_request,1000052,current_status,New,Triaged,37,2024-10-31 23:25:00
245,support_request,1000052,current_status,Triaged,Assigned,37,2024-10-31 19:25:00
246,support_request,1000052,current_status,Assigned,In Progress,37,2024-11-01 08:25:00
247,support_request,1000053,current_status,,New,143,2025-10-22 10:00:00
248,support_request,1000053,current_status,New,Triaged,143,2025-10-23 03:00:00
249,support_request,1000053,current_status,Triaged,Assigned,143,2025-10-22 22:00:00
250,support_request,1000053,current_status,Assigned,In Progress,143,2025-10-24 16:00:00
251,support_request,1000053,current_status,In Progress,Resolved,143,2025-10-23 06:00:00
252,support_request,1000054,current_status,,New,30,2025-10-27 12:46:00
253,support_request,1000054,current_status,New,Triaged,30,2025-10-28 06:46:00
254,support_request,1000054,current_status,Triaged,Assigned,30,2025-10-28 20:46:00
255,support_request,1000054,current_status,Assigned,In Progress,30,2025-10-28 21:46:00
256,support_request,1000055,current_status,,New,141,2026-03-08 10:37:00
257,support_request,1000055,current_status,New,Triaged,141,2026-03-08 17:37:00
258,support_request,1000055,current_status,Triaged,Assigned,141,2026-03-09 12:37:00
259,support_request,1000056,current_status,,New,178,2025-07-14 15:22:00
260,support_request,1000056,current_status,New,Triaged,178,2025-07-15 01:22:00
261,support_request,1000056,current_status,Triaged,Assigned,178,2025-07-15 09:22:00
262,support_request,1000056,current_status,Assigned,In Progress,178,2025-07-16 18:22:00
263,support_request,1000056,current_status,In Progress,Resolved,178,2025-07-14 23:22:00
264,support_request,1000056,current_status,Resolved,Closed,178,2025-07-15 21:22:00
265,support_request,1000057,current_status,,New,30,2025-02-16 14:01:00
266,support_request,1000057,current_status,New,Triaged,30,2025-02-17 07:01:00
267,support_request,1000057,current_status,Triaged,Assigned,30,2025-02-17 22:01:00
268,support_request,1000057,current_status,Assigned,In Progress,30,2025-02-17 14:01:00
269,support_request,1000057,current_status,In Progress,Pending Parent,30,2025-02-18 02:01:00
270,support_request,1000058,current_status,,New,76,2026-06-26 08:52:00
271,support_request,1000058,current_status,New,Triaged,76,2026-06-26 12:52:00
272,support_request,1000058,current_status,Triaged,Assigned,76,2026-06-26 14:52:00
273,support_request,1000058,current_status,Assigned,In Progress,76,2026-06-28 11:52:00
274,support_request,1000058,current_status,In Progress,Resolved,76,2026-06-28 08:52:00
275,support_request,1000059,current_status,,New,126,2025-01-25 16:24:00
276,support_request,1000059,current_status,New,Triaged,126,2025-01-26 01:24:00
277,support_request,1000059,current_status,Triaged,Assigned,126,2025-01-26 12:24:00
278,support_request,1000060,current_status,,New,143,2024-08-26 13:48:00
279,support_request,1000060,current_status,New,Triaged,143,2024-08-27 06:48:00
280,support_request,1000060,current_status,Triaged,Assigned,143,2024-08-26 17:48:00
281,support_request,1000060,current_status,Assigned,In Progress,143,2024-08-27 10:48:00
282,support_request,1000061,current_status,,New,186,2024-10-05 15:10:00
283,support_request,1000061,current_status,New,Triaged,186,2024-10-06 06:10:00
284,support_request,1000061,current_status,Triaged,Assigned,186,2024-10-06 17:10:00
285,support_request,1000061,current_status,Assigned,In Progress,186,2024-10-07 06:10:00
286,support_request,1000061,current_status,In Progress,Pending Parent,186,2024-10-06 23:10:00
287,support_request,1000062,current_status,,New,87,2025-06-17 16:13:00
288,support_request,1000062,current_status,New,Triaged,87,2025-06-18 08:13:00
289,support_request,1000062,current_status,Triaged,Assigned,87,2025-06-18 06:13:00
290,support_request,1000063,current_status,,New,122,2025-11-27 16:01:00
291,support_request,1000063,current_status,New,Triaged,122,2025-11-28 07:01:00
292,support_request,1000063,current_status,Triaged,Assigned,122,2025-11-28 04:01:00
293,support_request,1000063,current_status,Assigned,In Progress,122,2025-11-28 10:01:00
294,support_request,1000063,current_status,In Progress,Pending Parent,122,2025-11-30 08:01:00
295,support_request,1000064,current_status,,New,31,2025-09-08 10:14:00
296,support_request,1000064,current_status,New,Triaged,31,2025-09-09 03:14:00
297,support_request,1000064,current_status,Triaged,Assigned,31,2025-09-09 20:14:00
298,support_request,1000064,current_status,Assigned,In Progress,31,2025-09-08 19:14:00
299,support_request,1000064,current_status,In Progress,Resolved,31,2025-09-10 14:14:00
300,support_request,1000065,current_status,,New,193,2025-05-14 14:30:00
301,support_request,1000065,current_status,New,Triaged,193,2025-05-15 04:30:00
302,support_request,1000065,current_status,Triaged,Assigned,193,2025-05-15 00:30:00
303,support_request,1000065,current_status,Assigned,In Progress,193,2025-05-15 02:30:00
304,support_request,1000065,current_status,In Progress,Resolved,193,2025-05-16 14:30:00
305,support_request,1000066,current_status,,New,174,2024-10-29 08:24:00
306,support_request,1000066,current_status,New,Triaged,174,2024-10-29 13:24:00
307,support_request,1000066,current_status,Triaged,Assigned,174,2024-10-30 08:24:00
308,support_request,1000066,current_status,Assigned,In Progress,174,2024-10-30 17:24:00
309,support_request,1000066,current_status,In Progress,Escalated,174,2024-10-30 16:24:00
310,support_request,1000067,current_status,,New,23,2025-11-24 11:13:00
311,support_request,1000067,current_status,New,Triaged,23,2025-11-25 00:13:00
312,support_request,1000067,current_status,Triaged,Assigned,23,2025-11-25 05:13:00
313,support_request,1000067,current_status,Assigned,In Progress,23,2025-11-25 17:13:00
314,support_request,1000067,current_status,In Progress,Resolved,23,2025-11-26 03:13:00
315,support_request,1000067,current_status,Resolved,Closed,23,2025-11-25 07:13:00
316,support_request,1000068,current_status,,New,88,2025-07-20 10:57:00
317,support_request,1000068,current_status,New,Triaged,88,2025-07-20 21:57:00
318,support_request,1000068,current_status,Triaged,Assigned,88,2025-07-21 12:57:00
319,support_request,1000068,current_status,Assigned,In Progress,88,2025-07-20 19:57:00
320,support_request,1000069,current_status,,New,137,2026-05-26 10:55:00
321,support_request,1000069,current_status,New,Triaged,137,2026-05-26 16:55:00
322,support_request,1000069,current_status,Triaged,Assigned,137,2026-05-26 20:55:00
323,support_request,1000069,current_status,Assigned,In Progress,137,2026-05-27 16:55:00
324,support_request,1000069,current_status,In Progress,Resolved,137,2026-05-28 06:55:00
325,support_request,1000069,current_status,Resolved,Closed,137,2026-05-26 20:55:00
326,support_request,1000070,current_status,,New,144,2026-03-06 14:15:00
327,support_request,1000070,current_status,New,Triaged,144,2026-03-07 06:15:00
328,support_request,1000070,current_status,Triaged,Assigned,144,2026-03-07 22:15:00
329,support_request,1000070,current_status,Assigned,In Progress,144,2026-03-08 08:15:00
330,support_request,1000070,current_status,In Progress,Resolved,144,2026-03-07 02:15:00
331,support_request,1000071,current_status,,New,30,2025-12-15 16:52:00
332,support_request,1000071,current_status,New,Triaged,30,2025-12-15 21:52:00
333,support_request,1000071,current_status,Triaged,Assigned,30,2025-12-16 06:52:00
334,support_request,1000071,current_status,Assigned,In Progress,30,2025-12-16 01:52:00
335,support_request,1000072,current_status,,New,5,2025-11-16 11:58:00
336,support_request,1000072,current_status,New,Triaged,5,2025-11-17 00:58:00
337,support_request,1000072,current_status,Triaged,Assigned,5,2025-11-16 19:58:00
338,support_request,1000072,current_status,Assigned,In Progress,5,2025-11-17 08:58:00
339,support_request,1000072,current_status,In Progress,Escalated,5,2025-11-17 07:58:00
340,support_request,1000073,current_status,,New,103,2025-04-15 10:15:00
341,support_request,1000073,current_status,New,Triaged,103,2025-04-15 18:15:00
342,support_request,1000073,current_status,Triaged,Assigned,103,2025-04-15 18:15:00
343,support_request,1000073,current_status,Assigned,In Progress,103,2025-04-16 07:15:00
344,support_request,1000074,current_status,,New,156,2026-03-20 10:42:00
345,support_request,1000074,current_status,New,Triaged,156,2026-03-21 01:42:00
346,support_request,1000074,current_status,Triaged,Assigned,156,2026-03-21 04:42:00
347,support_request,1000074,current_status,Assigned,In Progress,156,2026-03-22 04:42:00
348,support_request,1000075,current_status,,New,165,2024-11-09 10:09:00
349,support_request,1000075,current_status,New,Triaged,165,2024-11-09 14:09:00
350,support_request,1000075,current_status,Triaged,Assigned,165,2024-11-09 18:09:00
351,support_request,1000075,current_status,Assigned,In Progress,165,2024-11-10 13:09:00
352,support_request,1000076,current_status,,New,57,2024-09-05 14:29:00
353,support_request,1000076,current_status,New,Triaged,57,2024-09-05 23:29:00
354,support_request,1000076,current_status,Triaged,Assigned,57,2024-09-06 18:29:00
355,support_request,1000076,current_status,Assigned,In Progress,57,2024-09-06 23:29:00
356,support_request,1000077,current_status,,New,16,2026-01-14 12:41:00
357,support_request,1000077,current_status,New,Triaged,16,2026-01-14 16:41:00
358,support_request,1000077,current_status,Triaged,Assigned,16,2026-01-15 10:41:00
359,support_request,1000077,current_status,Assigned,In Progress,16,2026-01-14 21:41:00
360,support_request,1000077,current_status,In Progress,Resolved,16,2026-01-14 20:41:00
361,support_request,1000078,current_status,,New,141,2026-01-05 10:30:00
362,support_request,1000078,current_status,New,Triaged,141,2026-01-05 16:30:00
363,support_request,1000078,current_status,Triaged,Assigned,141,2026-01-05 14:30:00
364,support_request,1000078,current_status,Assigned,In Progress,141,2026-01-06 10:30:00
365,support_request,1000079,current_status,,New,102,2025-10-09 14:32:00
366,support_request,1000079,current_status,New,Triaged,102,2025-10-09 16:32:00
367,support_request,1000079,current_status,Triaged,Assigned,102,2025-10-10 08:32:00
368,support_request,1000079,current_status,Assigned,In Progress,102,2025-10-10 14:32:00
369,support_request,1000079,current_status,In Progress,Pending Student,102,2025-10-10 10:32:00
370,support_request,1000080,current_status,,New,37,2024-08-18 08:39:00
371,support_request,1000080,current_status,New,Triaged,37,2024-08-18 14:39:00
372,support_request,1000080,current_status,Triaged,Assigned,37,2024-08-19 10:39:00
373,support_request,1000080,current_status,Assigned,In Progress,37,2024-08-19 20:39:00
374,support_request,1000080,current_status,In Progress,Resolved,37,2024-08-19 00:39:00
375,support_request,1000081,current_status,,New,96,2025-12-31 12:27:00
376,support_request,1000081,current_status,New,Triaged,96,2025-12-31 20:27:00
377,support_request,1000081,current_status,Triaged,Assigned,96,2026-01-02 00:27:00
