intervention_id,request_id,intervention_type,intervention_date,recorded_by_user_id
80,1000259,Administrative review,2025-11-21,31
81,1000260,Peer mediation,2024-12-16,265
82,1000261,Administrative review,2026-03-24,49
83,1000265,Parent outreach,2025-09-13,252
84,1000266,Administrative review,2025-02-27,124
85,1000267,Parent outreach,2026-02-08,80
86,1000277,Counselor meeting,2025-05-01,4
87,1000278,Counselor meeting,2025-09-12,56
88,1000283,Peer mediation,2024-08-29,146
89,1000294,Counselor meeting,2024-12-14,186
90,1000299,Peer mediation,2026-01-28,145
91,1000302,Counselor meeting,2026-04-24,21
92,1000304,Resource referral,2026-06-19,12
93,1000312,Peer mediation,2025-03-01,97
94,1000315,Counselor meeting,2026-01-24,63
95,1000316,Parent outreach,2026-01-03,18
96,1000317,Peer mediation,2025-01-06,171
97,1000318,Resource referral,2026-05-30,13
98,1000319,Resource referral,2026-02-05,184
99,1000326,Administrative review,2026-05-08,212
100,1000329,Peer mediation,2025-06-07,73
101,1000330,Counselor meeting,2025-11-16,66
102,1000331,Resource referral,2024-09-05,4
103,1000334,Peer mediation,2025-07-04,252
104,1000337,Parent outreach,2026-05-08,141
105,1000339,Resource referral,2025-09-24,73
106,1000341,Administrative review,2025-05-04,41
107,1000342,Resource referral,2025-06-01,27
108,1000345,Peer mediation,2026-01-29,64
109,1000348,Peer mediation,2025-08-04,71
110,1000351,Peer mediation,2026-04-07,102
111,1000357,Administrative review,2026-02-12,12
112,1000358,Resource referral,2026-07-03,207
113,1000361,Resource referral,2024-09-04,131
114,1000363,Resource referral,2025-01-11,169
115,1000368,Counselor meeting,2025-09-06,89
116,1000370,Peer mediation,2026-06-18,122
117,1000374,Administrative review,2026-04-17,158
118,1000377,Peer mediation,2025-01-30,23
119,1000380,Administrative review,2026-02-27,171
120,1000381,Counselor meeting,2025-04-04,158
121,1000382,Resource referral,2025-04-21,26
122,1000388,Counselor meeting,2025-08-23,133
123,1000390,Resource referral,2026-03-28,52
124,1000397,Peer mediation,2024-09-21,227
125,1000401,Parent outreach,2026-01-26,162
126,1000405,Parent outreach,2024-10-28,197
127,1000408,Administrative review,2026-04-21,59
128,1000410,Peer mediation,2025-11-05,36
129,1000415,Administrative review,2025-08-12,136
130,1000417,Resource referral,2025-08-14,131
131,1000418,Peer mediation,2025-12-06,164
132,1000426,Parent outreach,2026-02-14,196
133,1000430,Peer mediation,2025-10-30,49
134,1000435,Resource referral,2026-05-22,258
135,1000439,Resource referral,2025-01-06,197
136,1000440,Resource referral,2025-06-24,136
137,1000441,Parent outreach,2025-04-20,28
138,1000457,Administrative review,2026-02-11,178
139,1000460,Administrative review,2025-05-07,77
140,1000461,Resource referral,2025-04-17,109
141,1000464,Counselor meeting,2025-06-30,17
142,1000465,Peer mediation,2026-06-02,149
143,1000468,Counselor meeting,2024-11-08,9
144,1000472,Resource referral,2026-03-25,102
145,1000474,Peer mediation,2024-11-09,141
146,1000476,Administrative review,2026-05-05,29
147,1000485,Resource referral,2026-06-02,126
148,1000491,Resource referral,2025-05-25,113
149,1000493,Administrative review,2025-06-06,82
150,1000500,Resource referral,2025-11-07,51
151,1000501,Administrative review,2024-11-12,132
152,1000502,Peer mediation,2025-06-04,164
153,1000503,Administrative review,2026-05-07,20
154,1000508,Peer mediation,2025-11-23,68
155,1000509,Counselor meeting,2024-10-12,26
156,1000516,Peer mediation,2025-11-10,46
157,1000519,Resource referral,2025-01-25,216
158,1000524,Resource referral,2025-08-19,115
159,1000525,Administrative review,2026-07-09,114
160,1000526,Resource referral,2025-11-15,160
161,1000527,Resource referral,2024-11-19,146
162,1000531,Resource referral,2025-09-02,152
163,1000532,Counselor meeting,2026-02-28,102
164,1000533,Peer mediation,2026-06-21,11
165,1000534,Parent outreach,2025-01-24,173
166,1000538,Peer mediation,2026-02-07,62
167,1000540,Resource referral,2026-01-15,43
168,1000541,Parent outreach,2026-05-03,248
169,1000542,Parent outreach,2025-05-14,133
170,1000543,Resource referral,2024-09-10,77
171,1000548,Administrative review,2024-09-23,257
172,1000549,Counselor meeting,2026-03-21,30
173,1000551,Counselor meeting,2024-11-17,46
174,1000552,Counselor meeting,2025-04-11,18
175,1000555,Resource referral,2026-03-20,101
176,1000556,Peer mediation,2025-06-19,264
177,1000559,Counselor meeting,2024-12-31,15
178,1000566,Peer mediation,2025-11-20,265
179,1000571,Parent outreach,2026-03-26,176
180,1000574,Peer mediation,2026-06-28,145
181,1000578,Resource referral,2025-04-07,41
182,1000581,Peer mediation,2025-02-17,137
183,1000582,Parent outreach,2026-02-06,137
184,1000583,Administrative review,2024-10-02,98
185,1000584,Parent outreach,2025-02-21,21
186,1000591,Counselor meeting,2024-11-27,147
187,1000594,Administrative review,2026-06-05,172
188,1000602,Counselor meeting,2026-01-02,177
189,1000603,Administrative review,2025-11-22,134
190,1000607,Administrative review,2026-06-25,214
191,1000616,Resource referral,2025-04-12,155
192,1000617,Peer mediation,2025-10-27,96
193,1000622,Parent outreach,2024-11-02,227
194,1000624,Peer mediation,2026-01-05,52
195,1000629,Resource referral,2025-05-27,146
196,1000630,Administrative review,2024-10-22,59
197,1000634,Counselor meeting,2026-07-01,252
198,1000635,Peer mediation,2025-05-30,174
199,1000642,Peer mediation,2025-12-22,31
200,1000646,Resource referral,2024-10-12,24
201,1000647,Peer mediation,2025-07-05,268
202,1000651,Resource referral,2024-11-04,49
203,1000652,Resource referral,2025-09-26,75
204,1000656,Counselor meeting,2025-06-03,24
205,1000657,Counselor meeting,2025-02-02,86
206,1000662,Resource referral,2025-05-04,252
207,1000663,Parent outreach,2025-05-03,77
208,1000664,Parent outreach,2025-05-13,75
209,1000666,Resource referral,2025-12-19,38
210,1000668,Parent outreach,2025-08-18,25
211,1000670,Administrative review,2025-07-15,226
212,1000674,Counselor meeting,2026-03-21,214
213,1000676,Administrative review,2024-12-16,173
214,1000678,Parent outreach,2025-04-23,40
215,1000684,Administrative review,2025-02-02,59
216,1000687,Parent outreach,2025-05-14,163
217,1000688,Resource referral,2025-06-29,173
218,1000689,Peer mediation,2026-04-22,245
219,1000702,Counselor meeting,2025-01-05,142
220,1000704,Counselor meeting,2025-09-25,54
221,1000705,Peer mediation,2025-11-12,65
222,1000708,Resource referral,2026-01-24,103
223,1000709,Counselor meeting,2024-12-05,71
224,1000710,Peer mediation,2025-07-02,252
225,1000711,Resource referral,2026-01-28,35
226,1000714,Administrative review,2026-06-19,50
227,1000717,Resource referral,2025-10-25,21
228,1000720,Administrative review,2025-07-01,156
229,1000724,Administrative review,2025-08-30,12
230,1000735,Parent outreach,2025-03-04,124
231,1000737,Peer mediation,2026-06-25,153
232,1000738,Parent outreach,2024-10-29,102
233,1000739,Counselor meeting,2025-10-03,125
234,1000741,Resource referral,2026-05-11,71
235,1000744,Peer mediation,2025-01-24,63
236,1000745,Resource referral,2024-09-18,172
237,1000746,Peer mediation,2025-12-10,131
238,1000748,Counselor meeting,2025-03-02,164
239,1000749,Counselor meeting,2024-09-21,203
240,1000756,Resource referral,2024-09-28,159
241,1000757,Administrative review,2025-05-31,12
242,1000760,Peer mediation,2026-02-17,82
243,1000761,Counselor meeting,2025-03-31,2
244,1000769,Peer mediation,2025-06-21,31
245,1000771,Parent outreach,2024-10-24,34
246,1000773,Peer mediation,2025-06-03,31
247,1000774,Parent outreach,2025-07-15,151
248,1000775,Peer mediation,2025-11-10,28
249,1000776,Resource referral,2024-09-07,248
250,1000777,Resource referral,2026-03-14,53
251,1000781,Counselor meeting,2026-04-09,76
252,1000784,Counselor meeting,2025-04-04,189
253,1000787,Resource referral,2026-05-16,177
254,1000788,Resource referral,2026-06-21,77
255,1000791,Peer mediation,2025-02-16,257
256,1000793,Administrative review,2025-01-01,16
257,1000796,Administrative review,2026-01-17,46
258,1000797,Peer mediation,2026-06-13,182
259,1000801,Resource referral,2025-09-27,145
260,1000802,Counselor meeting,2025-11-06,99
261,1000803,Counselor meeting,2025-11-02,70
262,1000805,Administrative review,2025-07-01,30
263,1000809,Counselor meeting,2025-03-23,220
264,1000811,Administrative review,2025-08-19,214
265,1000812,Counselor meeting,2026-05-06,116
266,1000813,Administrative review,2025-12-04,73
267,1000816,Resource referral,2025-08-21,123
268,1000818,Peer mediation,2026-07-10,98
269,1000820,Resource referral,2025-07-14,141
270,1000821,Administrative review,2025-09-22,4
271,1000823,Parent outreach,2025-11-23,40
272,1000824,Parent outreach,2025-11-13,160
273,1000826,Administrative review,2025-05-30,25
274,1000828,Peer mediation,2026-01-06,150
275,1000830,Administrative review,2025-12-10,98
276,1000833,Counselor meeting,2025-06-05,151
277,1000836,Counselor meeting,2025-02-25,19
278,1000839,Resource referral,2026-03-12,125
279,1000840,Resource referral,2024-11-20,75
280,1000845,Administrative review,2024-09-30,59
281,1000848,Counselor meeting,2025-03-24,22
282,1000849,Resource referral,2026-06-06,87
283,1000856,Peer mediation,2026-03-21,104
284,1000862,Peer mediation,2025-12-31,197
285,1000864,Parent outreach,2025-07-05,16
286,1000872,Resource referral,2025-03-06,156
287,1000877,Parent outreach,2025-12-24,69
288,1000881,Counselor meeting,2025-12-01,8
289,1000884,Counselor meeting,2026-04-20,258
290,1000891,Resource referral,2026-04-04,157
291,1000894,Administrative review,2025-07-10,193
292,1000895,Resource referral,2025-08-13,16
293,1000898,Resource referral,2025-05-08,165
294,1000899,Resource referral,2025-06-18,123
295,1000902,Counselor meeting,2025-07-11,108
296,1000905,Peer mediation,2026-06-07,54
297,1000907,Peer mediation,2026-03-24,95
298,1000912,Parent outreach,2026-01-07,46
299,1000914,Resource referral,2025-06-11,43
300,1000915,Resource referral,2026-06-03,220
301,1000919,Administrative review,2026-03-24,203
302,1000922,Resource referral,2025-02-16,147
303,1000923,Administrative review,2025-11-10,148
304,1000924,Counselor meeting,2026-02-12,22
305,1000926,Counselor meeting,2024-11-08,18
306,1000929,Counselor meeting,2026-01-11,17
307,1000930,Administrative review,2025-09-03,50
308,1000933,Resource referral,2025-11-14,270
309,1000937,Administrative review,2025-03-29,23
310,1000939,Administrative review,2026-01-26,111
311,1000943,Administrative review,2026-06-25,272
312,1000946,Resource referral,2024-10-15,73
313,1000947,Peer mediation,2026-02-04,175
314,1000951,Peer mediation,2026-01-21,226
315,1000953,Administrative review,2025-01-23,9
316,1000954,Administrative review,2025-01-14,146
317,1000958,Resource referral,2025-07-15,12
318,1000960,Parent outreach,2026-05-07,203
319,1000962,Peer mediation,2025-03-20,14
320,1000963,Parent outreach,2026-06-14,33
321,1000964,Resource referral,2024-09-22,104
322,1000968,Resource referral,2026-01-05,61
323,1000974,Resource referral,2025-08-10,56
324,1000975,Resource referral,2025-03-27,128
325,1000977,Resource referral,2026-01-17,23
326,1000986,Peer mediation,2025-08-17,145
327,1000988,Resource referral,2024-12-23,51
328,1000990,Counselor meeting,2026-02-11,61
329,1000994,Administrative review,2026-05-19,154
330,1000995,Counselor meeting,2024-08-22,85
331,1000996,Resource referral,2025-07-08,1
332,1000999,Resource referral,2026-02-24,91
333,1001002,Resource referral,2026-01-01,182
334,1001007,Resource referral,2025-01-07,176
335,1001011,Administrative review,2025-09-07,179
336,1001022,Peer mediation,2025-02-26,83
337,1001024,Resource referral,2026-03-02,30
338,1001026,Parent outreach,2026-05-11,249
339,1001028,Parent outreach,2025-05-01,41
340,1001032,Counselor meeting,2026-05-23,21
341,1001036,Resource referral,2025-11-19,146
342,1001041,Peer mediation,2025-12-09,123
343,1001046,Administrative review,2024-10-29,257
344,1001055,Administrative review,2024-09-14,3
345,1001059,Counselor meeting,2025-01-01,18
346,1001064,Administrative review,2026-03-23,77
347,1001065,Administrative review,2026-04-20,255
348,1001073,Peer mediation,2025-03-14,264
349,1001074,Resource referral,2025-03-02,157
350,1001075,Peer mediation,2025-09-28,118
351,1001076,Parent outreach,2025-07-02,122
352,1001079,Counselor meeting,2026-04-30,3
353,1001080,Parent outreach,2026-06-01,47
354,1001082,Resource referral,2024-10-12,82
355,1001084,Administrative review,2025-02-27,173
356,1001086,Peer mediation,2024-12-12,49
357,1001089,Resource referral,2025-02-08,105
358,1001092,Peer mediation,2025-11-02,17
359,1001097,Counselor meeting,2024-12-25,14
360,1001102,Resource referral,2024-10-18,56
361,1001103,Resource referral,2025-06-21,182
362,1001105,Counselor meeting,2026-05-18,78
363,1001108,Resource referral,2025-02-02,239
364,1001112,Parent outreach,2025-03-09,39
365,1001113,Peer mediation,2025-07-26,44
366,1001115,Administrative review,2025-03-01,132
367,1001116,Resource referral,2025-05-05,2
368,1001121,Parent outreach,2024-10-31,1
369,1001127,Resource referral,2026-05-01,115
370,1001128,Peer mediation,2025-03-01,91
371,1001130,Peer mediation,2025-09-30,80
372,1001131,Administrative review,2025-04-07,260
373,1001133,Peer mediation,2025-12-27,55
374,1001134,Peer mediation,2025-07-02,165
375,1001135,Peer mediation,2026-02-18,239
376,1001139,Administrative review,2024-09-15,95
377,1001140,Parent outreach,2025-01-26,147
378,1001149,Peer mediation,2025-12-14,10
379,1001153,Parent outreach,2025-03-27,180
380,1001157,Parent outreach,2025-01-08,63
381,1001158,Peer mediation,2025-06-05,75
382,1001160,Counselor meeting,2024-11-24,101
383,1001164,Counselor meeting,2025-06-26,69
384,1001165,Parent outreach,2024-11-06,168
385,1001167,Resource referral,2025-02-05,129
386,1001170,Counselor meeting,2026-05-13,40
387,1001172,Resource referral,2024-10-04,100
388,1001173,Counselor meeting,2026-03-20,20
389,1001176,Counselor meeting,2024-11-06,94
390,1001179,Peer mediation,2024-10-03,104
391,1001180,Parent outreach,2026-07-04,37
392,1001181,Peer mediation,2025-01-17,12
393,1001183,Peer mediation,2026-01-16,2
394,1001187,Resource referral,2024-12-16,47
395,1001194,Administrative review,2025-05-22,264
396,1001195,Resource referral,2025-12-14,248
397,1001198,Resource referral,2025-12-30,138
398,1001199,Peer mediation,2024-11-17,182
399,1001207,Resource referral,2024-12-29,175
400,1001208,Parent outreach,2026-03-23,146
401,1001210,Peer mediation,2026-03-25,72
402,1001214,Resource referral,2025-04-21,61
403,1001218,Administrative review,2025-12-03,64
404,1001220,Peer mediation,2024-10-24,122
405,1001221,Resource referral,2025-05-18,51
406,1001222,Resource referral,2025-09-14,164
407,1001224,Counselor meeting,2026-06-01,52
408,1001226,Parent outreach,2025-09-24,1
409,1001229,Administrative review,2024-08-26,11
410,1001230,Resource referral,2024-09-30,123
411,1001231,Parent outreach,2024-12-31,182
412,1001237,Parent outreach,2025-12-13,102
413,1001243,Counselor meeting,2025-05-16,158
414,1001244,Peer mediation,2025-03-25,76
415,1001245,Counselor meeting,2025-03-17,8
416,1001248,Peer mediation,2025-06-22,119
417,1001251,Peer mediation,2025-10-01,58
418,1001252,Resource referral,2025-05-20,220
419,1001255,Resource referral,2025-06-19,62
420,1001257,Peer mediation,2025-02-21,36
421,1001262,Parent outreach,2026-05-26,46
422,1001270,Administrative review,2026-07-01,159
423,1001271,Peer mediation,2025-11-18,166
424,1001272,Peer mediation,2025-04-02,114
425,1001273,Peer mediation,2024-11-18,270
426,1001279,Resource referral,2026-03-24,47
427,1001283,Counselor meeting,2026-06-28,67
428,1001284,Counselor meeting,2025-08-25,115
429,1001289,Resource referral,2025-03-05,26
430,1001290,Resource referral,2024-11-06,81
431,1001291,Resource referral,2025-09-30,156
432,1001294,Peer mediation,2025-01-09,105
433,1001298,Parent outreach,2025-06-23,12
434,1001299,Resource referral,2026-03-30,95
435,1001300,Parent outreach,2025-06-13,29
436,1001303,Counselor meeting,2025-08-12,182
437,1001305,Peer mediation,2026-05-27,213
438,1001306,Peer mediation,2026-02-19,132
439,1001309,Administrative review,2025-01-05,249
440,1001311,Resource referral,2025-07-01,48
441,1001319,Resource referral,2024-10-08,50
442,1001320,Peer mediation,2026-05-08,138
443,1001321,Resource referral,2025-04-19,57
444,1001329,Administrative review,2025-08-19,35
445,1001331,Resource referral,2024-11-24,23
446,1001332,Parent outreach,2024-10-01,252
447,1001333,Parent outreach,2026-03-24,89
448,1001339,Administrative review,2024-10-04,173
449,1001340,Peer mediation,2026-01-04,62
450,1001343,Resource referral,2026-03-30,32
451,1001346,Resource referral,2026-01-17,214
452,1001348,Resource referral,2026-01-07,154
453,1001349,Counselor meeting,2025-11-24,17
454,1001350,Parent outreach,2026-01-23,113
455,1001352,Administrative review,2024-09-03,48
456,1001355,Parent outreach,2024-11-19,77
457,1001360,Resource referral,2025-10-26,203
458,1001369,Administrative review,2025-11-18,73
459,1001371,Parent outreach,2025-12-26,104
460,1001376,Resource referral,2025-12-12,172
461,1001377,Parent outreach,2026-06-15,165
462,1001382,Administrative review,2024-10-22,113
463,1001384,Resource referral,2025-10-14,131
464,1001388,Peer mediation,2025-01-16,16
465,1001390,Resource referral,2025-02-28,70
466,1001396,Counselor meeting,2025-05-28,197
467,1001399,Parent outreach,2025-03-28,23
468,1001402,Counselor meeting,2025-04-05,143
469,1001406,Resource referral,2026-05-03,160
470,1001412,Peer mediation,2026-04-22,110
471,1001414,Parent outreach,2026-05-28,182
472,1001416,Peer mediation,2026-06-21,142
473,1001417,Peer mediation,2026-02-20,81
474,1001419,Peer mediation,2025-04-21,8
475,1001420,Peer mediation,2025-08-25,270
476,1001426,Parent outreach,2025-09-22,169
477,1001427,Parent outreach,2025-10-02,67
478,1001429,Parent outreach,2026-05-04,36
479,1001431,Parent outreach,2026-05-12,220
480,1001433,Administrative review,2025-08-14,126
481,1001435,Administrative review,2024-12-25,128
482,1001437,Parent outreach,2025-07-22,70
483,1001438,Administrative review,2025-10-18,46
484,1001439,Resource referral,2026-04-27,270
485,1001444,Administrative review,2025-10-09,65
486,1001445,Administrative review,2026-05-05,23
487,1001448,Peer mediation,2026-02-23,168
488,1001449,Counselor meeting,2024-09-23,239
489,1001450,Peer mediation,2024-11-18,94
490,1001461,Parent outreach,2026-06-04,67
491,1001470,Administrative review,2025-07-21,2
492,1001471,Administrative review,2024-10-31,186
493,1001472,Peer mediation,2025-02-02,135
494,1001475,Administrative review,2025-09-22,27
495,1001479,Counselor meeting,2025-03-02,4
496,1001481,Parent outreach,2025-02-22,8
497,1001484,Resource referral,2026-04-07,88
498,1001485,Counselor meeting,2025-09-29,143
499,1001491,Peer mediation,2024-10-16,135
500,1001492,Counselor meeting,2026-01-14,213
501,1001494,Parent outreach,2025-01-26,46
502,1001495,Peer mediation,2025-07-24,129
503,1001499,Administrative review,2024-10-01,36
504,1001501,Counselor meeting,2024-09-13,50
505,1001502,Administrative review,2025-03-08,172
506,1001504,Administrative review,2025-07-31,112
507,1001505,Resource referral,2025-10-06,11
508,1001508,Peer mediation,2025-10-11,25
509,1001509,Administrative review,2024-09-24,88
510,1001515,Peer mediation,2026-06-28,270
511,1001516,Peer mediation,2026-04-01,208
512,1001522,Peer mediation,2026-05-10,167
513,1001524,Counselor meeting,2026-05-22,14
514,1001528,Administrative review,2024-11-22,272
515,1001532,Peer mediation,2026-01-19,160
516,1001533,Peer mediation,2025-08-02,203
517,1001535,Counselor meeting,2026-06-12,245
518,1001536,Peer mediation,2026-04-15,75
519,1001538,Resource referral,2024-10-06,97
520,1001539,Peer mediation,2025-07-23,34
521,1001542,Administrative review,2025-12-01,89
522,1001549,Resource referral,2025-02-01,265
523,1001550,Parent outreach,2026-05-28,27
524,1001556,Parent outreach,2025-10-29,99
525,1001561,Resource referral,2025-05-21,182
526,1001563,Peer mediation,2025-03-25,156
527,1001564,Resource referral,2024-10-06,132
528,1001566,Counselor meeting,2024-09-10,164
529,1001574,Peer mediation,2025-08-24,245
530,1001576,Counselor meeting,2024-11-04,4
531,1001579,Administrative review,2025-09-17,178
532,1001581,Resource referral,2024-11-30,90
533,1001582,Parent outreach,2025-09-04,115
534,1001586,Parent outreach,2026-05-19,264
535,1001590,Administrative review,2025-08-15,268
536,1001592,Resource referral,2026-06-04,101
537,1001596,Resource referral,2026-02-13,76
538,1001598,Administrative review,2026-05-11,172
539,1001601,Resource referral,2025-07-17,128
540,1001608,Parent outreach,2025-10-29,3
541,1001616,Parent outreach,2025-03-31,140
542,1001618,Counselor meeting,2025-11-27,73
543,1001619,Parent outreach,2026-06-18,22
544,1001621,Parent outreach,2026-07-02,125
545,1001622,Counselor meeting,2025-02-10,79
546,1001624,Parent outreach,2026-04-30,15
547,1001627,Peer mediation,2026-02-11,155
548,1001634,Counselor meeting,2024-11-24,59
549,1001640,Peer mediation,2026-04-02,25
550,1001644,Peer mediation,2026-06-21,55
551,1001646,Peer mediation,2026-06-14,62
552,1001648,Resource referral,2025-07-19,249
553,1001650,Peer mediation,2025-07-11,92
554,1001655,Counselor meeting,2025-03-27,186
555,1001656,Counselor meeting,2024-12-19,57
556,1001657,Peer mediation,2025-10-22,44
557,1001663,Peer mediation,2025-12-19,226
558,1001670,Resource referral,2025-05-10,87
559,1001671,Resource referral,2025-09-15,73
560,1001673,Resource referral,2025-02-27,13
561,1001677,Resource referral,2025-05-20,270
562,1001679,Parent outreach,2025-10-06,220
563,1001682,Peer mediation,2025-09-03,119
564,1001685,Peer mediation,2025-04-28,25
565,1001689,Counselor meeting,2025-10-24,210
566,1001691,Administrative review,2025-11-23,23
567,1001697,Counselor meeting,2026-01-10,174
568,1001699,Parent outreach,2025-05-07,130
569,1001704,Administrative review,2025-04-04,189
570,1001706,Administrative review,2025-02-23,148
571,1001710,Parent outreach,2026-06-15,77
572,1001711,Parent outreach,2026-02-14,91
573,1001715,Administrative review,2025-10-14,215
574,1001717,Parent outreach,2024-09-02,102
575,1001730,Administrative review,2026-01-13,214
576,1001732,Peer mediation,2025-05-10,237
577,1001736,Resource referral,2025-10-01,260
578,1001740,Administrative review,2025-10-06,86
579,1001747,Peer mediation,2025-04-30,71
580,1001748,Counselor meeting,2025-03-20,11
581,1001749,Counselor meeting,2026-04-27,144
582,1001750,Parent outreach,2025-08-02,11
583,1001751,Parent outreach,2025-04-14,3
584,1001752,Counselor meeting,2025-03-08,220
585,1001760,Counselor meeting,2026-03-15,112
586,1001761,Counselor meeting,2026-04-28,249
587,1001766,Parent outreach,2026-04-29,49
588,1001767,Counselor meeting,2025-02-24,23
589,1001771,Administrative review,2026-02-01,63
590,1001776,Counselor meeting,2024-11-28,59
591,1001781,Resource referral,2025-03-30,2
592,1001783,Parent outreach,2025-12-06,158
593,1001784,Counselor meeting,2025-08-18,76
594,1001786,Parent outreach,2024-08-31,255
595,1001788,Administrative review,2024-11-19,113
596,1001795,Administrative review,2025-05-13,100
597,1001797,Parent outreach,2026-04-16,14
598,1001798,Administrative review,2024-10-20,107
599,1001802,Parent outreach,2025-12-29,164
600,1001803,Resource referral,2025-05-01,102
601,1001807,Administrative review,2026-07-03,147
602,1001809,Parent outreach,2024-11-26,132
603,1001811,Resource referral,2025-03-23,59
604,1001812,Resource referral,2025-07-20,184
605,1001813,Administrative review,2026-07-10,35
606,1001816,Resource referral,2025-08-20,100
607,1001817,Resource referral,2025-04-26,125
608,1001827,Counselor meeting,2025-02-22,249
609,1001829,Parent outreach,2026-07-04,121
610,1001832,Peer mediation,2026-06-06,119
611,1001834,Counselor meeting,2024-09-11,66
612,1001849,Administrative review,2025-06-07,227
613,1001851,Administrative review,2024-11-15,171
614,1001852,Administrative review,2025-04-23,272
615,1001857,Resource referral,2025-08-03,138
616,1001858,Counselor meeting,2024-12-21,47
617,1001861,Resource referral,2024-09-11,80
618,1001863,Peer mediation,2026-05-22,70
619,1001865,Counselor meeting,2025-08-04,184
620,1001870,Administrative review,2025-05-16,177
621,1001873,Administrative review,2025-12-02,44
622,1001888,Counselor meeting,2025-10-20,218
623,1001891,Parent outreach,2026-01-21,66
624,1001892,Administrative review,2025-08-26,147
625,1001900,Parent outreach,2025-03-27,99
626,1001903,Peer mediation,2025-12-05,6
627,1001904,Resource referral,2026-05-23,137
628,1001907,Parent outreach,2025-05-18,158
629,1001908,Parent outreach,2025-04-03,134
630,1001919,Resource referral,2025-01-10,11
631,1001932,Peer mediation,2026-03-27,158
632,1001933,Peer mediation,2026-06-02,196
633,1001934,Administrative review,2025-03-14,146
634,1001944,Resource referral,2024-09-24,100
635,1001952,Resource referral,2025-05-19,56
636,1001958,Counselor meeting,2026-03-17,164
637,1001960,Peer mediation,2025-03-20,171
638,1001961,Administrative review,2025-12-24,66
639,1001962,Counselor meeting,2024-11-09,14
640,1001970,Counselor meeting,2025-12-19,260
641,1001974,Counselor meeting,2026-02-21,13
