assignment_id,request_id,assigned_user_id,assigned_at,unassigned_at,assignment_reason
42,1000042,51,2025-07-10 03:22:00,,manual reassignment
43,1000043,245,2024-08-27 17:47:00,,manual reassignment
44,1000044,57,2024-08-21 21:55:00,2024-09-09 15:55:00,category match
45,1000045,138,2026-02-28 11:39:00,2026-03-19 18:39:00,school assignment
46,1000046,219,2025-03-23 16:40:00,,capacity based
47,1000047,35,2025-07-06 18:31:00,,capacity based
48,1000048,170,2026-01-16 17:22:00,,capacity based
49,1000049,83,2026-06-29 00:53:00,,category match
50,1000050,77,2025-07-29 13:06:00,,capacity based
51,1000051,104,2024-11-10 09:00:00,,category match
52,1000052,37,2024-10-31 15:25:00,,capacity based
53,1000053,143,2025-10-23 00:00:00,,category match
54,1000054,30,2025-10-28 00:46:00,,capacity based
55,1000055,141,2026-03-09 18:37:00,,category match
56,1000056,178,2025-07-15 08:22:00,2025-07-22 20:22:00,capacity based
57,1000057,30,2025-02-16 16:01:00,,school assignment
58,1000058,76,2026-06-26 20:52:00,,category match
59,1000059,126,2025-01-26 23:24:00,,capacity based
60,1000060,143,2024-08-26 19:48:00,,manual reassignment
61,1000061,186,2024-10-06 15:10:00,,school assignment
62,1000062,87,2025-06-19 02:13:00,,manual reassignment
63,1000063,122,2025-11-28 01:01:00,,category match
64,1000064,31,2025-09-08 22:14:00,,capacity based
65,1000065,193,2025-05-14 18:30:00,,category match
66,1000066,174,2024-10-30 00:24:00,,manual reassignment
67,1000067,23,2025-11-24 14:13:00,2025-12-24 15:13:00,manual reassignment
68,1000068,88,2025-07-21 06:57:00,,manual reassignment
69,1000069,137,2026-05-27 13:55:00,2026-05-31 15:55:00,category match
70,1000070,144,2026-03-07 14:15:00,,manual reassignment
71,1000071,30,2025-12-15 22:52:00,,school assignment
72,1000072,5,2025-11-17 15:58:00,,manual reassignment
73,1000073,103,2025-04-16 08:15:00,,school assignment
74,1000074,156,2026-03-21 08:42:00,,manual reassignment
75,1000075,165,2024-11-10 17:09:00,,capacity based
76,1000076,57,2024-09-06 19:29:00,,capacity based
77,1000077,16,2026-01-15 04:41:00,,capacity based
78,1000078,141,2026-01-06 18:30:00,,capacity based
79,1000079,102,2025-10-10 19:32:00,,school assignment
80,1000080,37,2024-08-19 13:39:00,,capacity based
81,1000081,96,2026-01-01 13:27:00,,category match
82,1000082,80,2025-08-14 23:33:00,2025-09-06 18:33:00,capacity based
83,1000083,101,2025-01-17 13:29:00,,manual reassignment
84,1000084,66,2025-05-05 10:41:00,,capacity based
85,1000085,129,2024-09-18 19:21:00,2024-09-28 13:21:00,manual reassignment
86,1000086,29,2025-03-07 13:16:00,,school assignment
87,1000087,71,2024-11-30 05:43:00,,manual reassignment
88,1000088,176,2026-05-09 20:01:00,,manual reassignment
89,1000089,104,2025-04-25 21:08:00,,category match
90,1000090,107,2026-01-27 20:22:00,,manual reassignment
91,1000091,77,2025-04-22 12:01:00,,manual reassignment
92,1000092,220,2025-05-13 17:30:00,,school assignment
93,1000093,23,2026-03-25 14:09:00,,category match
94,1000094,218,2025-04-10 11:55:00,,school assignment
95,1000095,163,2025-04-13 17:34:00,2025-05-16 08:34:00,category match
96,1000096,82,2026-06-01 19:52:00,,capacity based
97,1000097,121,2025-06-15 21:20:00,,manual reassignment
98,1000098,149,2025-08-23 22:06:00,,category match
99,1000099,114,2025-12-03 20:58:00,,category match
100,1000100,193,2026-02-02 16:24:00,,school assignment
101,1000101,187,2025-04-20 15:27:00,2025-04-29 16:27:00,school assignment
102,1000102,173,2025-10-05 18:04:00,,category match
103,1000103,7,2025-12-23 05:04:00,,category match
104,1000104,97,2025-02-19 18:03:00,,school assignment
105,1000105,162,2024-10-08 10:37:00,,category match
106,1000106,161,2026-05-29 03:08:00,,manual reassignment
107,1000107,270,2024-11-20 20:22:00,,capacity based
108,1000108,17,2026-04-06 16:00:00,,manual reassignment
109,1000109,68,2026-02-23 01:33:00,2026-03-16 20:33:00,category match
110,1000110,8,2025-12-24 17:19:00,,capacity based
111,1000111,16,2025-03-13 05:13:00,,category match
112,1000112,18,2024-12-26 11:38:00,,category match
113,1000113,59,2025-02-01 12:13:00,,capacity based
114,1000114,2,2024-12-13 11:15:00,,category match
115,1000115,8,2026-01-07 20:49:00,2026-02-03 17:49:00,category match
116,1000116,180,2024-10-07 08:52:00,,capacity based
117,1000117,237,2026-01-26 17:10:00,,manual reassignment
118,1000118,149,2024-12-29 08:17:00,,school assignment
119,1000119,76,2024-10-10 17:46:00,,capacity based
120,1000120,122,2025-10-10 19:27:00,,school assignment
121,1000121,5,2024-12-06 13:49:00,2024-12-15 17:49:00,category match
122,1000122,72,2024-09-13 21:19:00,,category match
123,1000123,65,2026-02-05 19:43:00,,school assignment
124,1000124,118,2024-10-02 17:49:00,,category match
125,1000125,249,2025-05-20 14:05:00,,category match
126,1000126,121,2026-06-21 20:52:00,,capacity based
127,1000127,186,2024-09-24 12:14:00,,category match
128,1000128,75,2024-09-23 21:32:00,,category match
129,1000129,32,2025-09-26 04:06:00,2025-10-19 16:06:00,capacity based
130,1000130,101,2026-04-23 13:29:00,,manual reassignment
131,1000131,193,2025-11-13 16:02:00,,manual reassignment
132,1000132,15,2025-08-17 01:00:00,,category match
133,1000133,51,2025-11-11 04:19:00,2025-11-23 16:19:00,school assignment
134,1000134,221,2025-07-02 16:36:00,,manual reassignment
135,1000135,91,2025-11-27 17:21:00,,capacity based
136,1000136,170,2025-12-29 14:10:00,,category match
137,1000137,39,2024-12-18 23:19:00,,school assignment
138,1000138,65,2025-08-04 13:02:00,,capacity based
139,1000139,226,2025-05-09 18:57:00,2025-05-16 18:57:00,capacity based
140,1000140,210,2025-03-06 13:26:00,,manual reassignment
141,1000141,4,2025-06-10 04:17:00,,school assignment
142,1000142,158,2025-10-10 08:03:00,,manual reassignment
143,1000143,9,2026-01-24 03:52:00,2026-02-20 16:52:00,category match
144,1000144,85,2024-09-01 00:01:00,,manual reassignment
145,1000145,69,2025-10-28 02:04:00,,capacity based
146,1000146,82,2025-11-20 14:20:00,,category match
147,1000147,84,2024-12-05 03:08:00,,school assignment
148,1000148,93,2024-09-21 16:44:00,,manual reassignment
149,1000149,18,2025-10-01 03:14:00,,capacity based
150,1000150,237,2025-05-07 19:06:00,,school assignment
151,1000151,227,2025-10-31 03:09:00,,capacity based
152,1000152,66,2024-11-08 20:53:00,,school assignment
153,1000153,28,2025-06-27 23:25:00,,manual reassignment
154,1000154,132,2025-06-01 16:42:00,2025-06-12 11:42:00,capacity based
155,1000155,208,2024-10-08 08:30:00,,capacity based
156,1000156,61,2025-07-04 16:11:00,2025-08-05 15:11:00,school assignment
157,1000157,158,2026-01-14 04:11:00,,manual reassignment
158,1000158,108,2025-09-03 17:30:00,,capacity based
159,1000159,156,2026-05-03 20:54:00,,capacity based
160,1000160,40,2025-05-20 21:01:00,2025-06-06 14:01:00,capacity based
161,1000161,84,2024-09-20 02:07:00,,school assignment
162,1000162,16,2024-09-10 22:39:00,,category match
163,1000163,64,2026-02-15 14:00:00,,manual reassignment
164,1000164,52,2024-10-15 13:08:00,,manual reassignment
165,1000165,98,2025-09-04 03:22:00,,category match
166,1000166,85,2026-05-30 13:54:00,,school assignment
167,1000167,143,2025-04-17 20:35:00,,capacity based
168,1000168,265,2025-11-18 07:06:00,,manual reassignment
169,1000169,74,2026-04-01 09:47:00,,category match
170,1000170,182,2026-01-03 14:35:00,,manual reassignment
171,1000171,151,2024-12-15 03:59:00,,category match
172,1000172,6,2025-05-16 12:14:00,,capacity based
173,1000173,57,2026-05-04 18:31:00,2026-05-21 14:31:00,school assignment
174,1000174,65,2025-11-12 16:54:00,,category match
175,1000175,163,2025-01-12 16:47:00,,school assignment
176,1000176,14,2025-09-12 09:12:00,2025-09-16 20:12:00,school assignment
177,1000177,8,2026-05-09 20:09:00,,capacity based
178,1000178,271,2025-04-12 12:32:00,,manual reassignment
179,1000179,245,2025-04-13 06:43:00,,category match
180,1000180,148,2025-01-09 20:39:00,,category match
181,1000181,151,2025-06-09 19:44:00,,category match
182,1000182,156,2025-08-31 21:23:00,,category match
183,1000183,107,2025-08-20 06:38:00,,category match
184,1000184,103,2025-03-06 18:46:00,,category match
185,1000185,2,2024-10-05 13:44:00,,capacity based
186,1000186,137,2026-05-31 14:00:00,,capacity based
187,1000187,44,2026-05-05 06:53:00,,school assignment
188,1000188,103,2025-04-17 05:39:00,,capacity based
189,1000189,108,2026-06-23 05:54:00,,school assignment
190,1000190,128,2025-09-03 06:11:00,,category match
191,1000191,96,2025-10-10 11:32:00,,capacity based
192,1000192,81,2025-08-21 03:13:00,,category match
193,1000193,92,2025-12-23 13:44:00,,capacity based
194,1000194,44,2024-10-31 22:20:00,,school assignment
195,1000195,182,2025-04-04 07:22:00,,school assignment
196,1000196,219,2024-12-29 20:25:00,,school assignment
197,1000197,84,2025-11-23 20:30:00,,manual reassignment
198,1000198,252,2024-11-29 21:13:00,,school assignment
199,1000199,89,2025-12-29 04:53:00,,capacity based
200,1000200,172,2026-02-15 18:55:00,,capacity based
201,1000201,15,2024-10-15 23:15:00,,manual reassignment
202,1000202,219,2026-02-15 20:29:00,2026-03-17 18:29:00,school assignment
203,1000203,119,2025-03-16 18:12:00,,school assignment
204,1000204,142,2024-11-10 00:10:00,,school assignment
205,1000205,268,2025-06-23 13:55:00,,manual reassignment
206,1000206,239,2026-04-15 05:14:00,2026-04-20 20:14:00,category match
207,1000207,52,2026-02-11 10:18:00,,manual reassignment
208,1000208,37,2025-06-21 15:19:00,,capacity based
209,1000209,174,2026-01-16 23:39:00,,capacity based
210,1000210,66,2026-05-15 10:41:00,,manual reassignment
211,1000211,20,2026-02-27 13:47:00,,school assignment
212,1000212,268,2025-11-10 23:57:00,,manual reassignment
213,1000213,129,2026-05-27 22:19:00,,capacity based
214,1000214,132,2026-05-28 21:39:00,,school assignment
215,1000215,71,2025-03-18 05:05:00,,category match
216,1000216,95,2026-04-14 09:04:00,2026-05-15 16:04:00,manual reassignment
217,1000217,184,2025-11-09 00:28:00,,school assignment
218,1000218,28,2024-10-06 08:48:00,,category match
219,1000219,23,2024-11-24 19:43:00,2024-11-28 18:43:00,school assignment
220,1000220,175,2025-03-30 13:17:00,,manual reassignment
221,1000221,53,2026-03-28 21:09:00,,category match
222,1000222,137,2026-04-04 08:53:00,,manual reassignment
223,1000223,212,2025-01-15 21:15:00,,manual reassignment
224,1000224,138,2026-05-17 23:32:00,,category match
225,1000225,89,2026-04-09 07:14:00,,category match
226,1000226,26,2026-01-23 19:39:00,,school assignment
227,1000227,79,2025-10-29 00:12:00,,manual reassignment
228,1000228,178,2024-10-06 12:17:00,,manual reassignment
229,1000229,196,2026-05-06 11:50:00,,capacity based
230,1000230,220,2025-04-27 02:36:00,,manual reassignment
231,1000231,103,2025-04-02 01:46:00,,capacity based
232,1000232,108,2025-10-19 11:14:00,2025-10-28 14:14:00,capacity based
233,1000233,79,2026-04-07 17:35:00,,category match
234,1000234,40,2026-05-11 07:00:00,2026-05-26 18:00:00,school assignment
235,1000235,68,2025-11-06 09:37:00,,manual reassignment
236,1000236,135,2025-11-28 17:20:00,,capacity based
237,1000237,130,2026-01-14 07:27:00,,school assignment
238,1000238,270,2025-06-05 23:05:00,,school assignment
239,1000239,2,2025-01-03 07:51:00,,capacity based
240,1000240,56,2025-01-02 14:59:00,,capacity based
241,1000241,27,2025-11-16 05:18:00,,school assignment
242,1000242,171,2024-10-18 13:14:00,,school assignment
243,1000243,163,2025-06-09 04:01:00,,manual reassignment
244,1000244,169,2026-03-08 14:35:00,,category match
245,1000245,212,2024-11-17 18:46:00,2024-12-13 14:46:00,capacity based
246,1000246,114,2025-05-24 23:16:00,2025-05-27 17:16:00,manual reassignment
247,1000247,145,2025-09-11 10:03:00,,category match
248,1000248,210,2026-03-13 14:54:00,,category match
249,1000249,159,2024-10-11 23:20:00,2024-10-31 13:20:00,school assignment
250,1000250,139,2026-01-14 19:23:00,,manual reassignment
251,1000251,47,2025-05-17 15:32:00,,category match
252,1000252,72,2025-11-14 08:49:00,,manual reassignment
253,1000253,168,2025-07-06 08:47:00,,capacity based
254,1000254,208,2025-02-08 19:35:00,,manual reassignment
255,1000255,239,2025-05-31 10:53:00,2025-06-23 10:53:00,manual reassignment
256,1000256,13,2025-05-21 01:14:00,,school assignment
257,1000257,101,2025-04-27 15:37:00,2025-05-28 15:37:00,school assignment
258,1000258,90,2025-09-11 19:49:00,,manual reassignment
259,1000259,31,2025-11-05 18:38:00,2025-12-07 16:38:00,manual reassignment
260,1000260,265,2024-12-09 13:52:00,,capacity based
261,1000261,49,2026-03-15 16:04:00,,capacity based
262,1000262,69,2026-05-29 07:37:00,,capacity based
263,1000263,160,2024-09-21 07:22:00,,capacity based
264,1000264,176,2025-02-19 02:11:00,2025-03-12 14:11:00,school assignment
265,1000265,252,2025-09-11 20:42:00,2025-09-21 11:42:00,capacity based
266,1000266,124,2025-02-10 01:56:00,,capacity based
267,1000267,80,2026-01-30 04:30:00,,manual reassignment
268,1000268,28,2024-09-11 04:29:00,,school assignment
269,1000269,186,2025-11-10 18:36:00,,school assignment
270,1000270,79,2026-05-18 05:44:00,,capacity based
271,1000271,56,2025-12-12 05:02:00,2026-01-06 16:02:00,category match
272,1000272,162,2025-12-24 16:04:00,,category match
273,1000273,213,2024-09-03 13:19:00,2024-09-15 23:19:00,capacity based
274,1000274,112,2024-12-30 05:04:00,,category match
275,1000275,17,2025-09-05 10:21:00,,category match
276,1000276,98,2025-05-22 19:42:00,,category match
277,1000277,4,2025-04-25 22:06:00,,category match
278,1000278,56,2025-09-04 18:40:00,,manual reassignment
279,1000279,21,2025-04-30 04:05:00,,school assignment
280,1000280,80,2025-08-17 11:55:00,,school assignment
281,1000281,109,2026-04-28 10:19:00,,manual reassignment
282,1000282,150,2026-02-15 22:29:00,2026-02-18 14:29:00,category match
283,1000283,146,2024-08-17 16:39:00,,category match
284,1000284,161,2026-03-26 19:02:00,,capacity based
285,1000285,139,2024-10-14 15:51:00,,capacity based
286,1000286,170,2025-04-25 15:08:00,,school assignment
287,1000287,26,2025-07-26 13:39:00,,category match
288,1000288,15,2025-01-20 23:43:00,,category match
289,1000289,157,2025-12-20 00:31:00,,school assignment
290,1000290,215,2024-09-12 14:37:00,,manual reassignment
291,1000291,136,2024-08-20 01:15:00,2024-09-03 23:15:00,manual reassignment
292,1000292,130,2025-08-30 14:26:00,,capacity based
293,1000293,215,2024-09-17 22:50:00,,category match
294,1000294,186,2024-12-07 22:31:00,,school assignment
295,1000295,2,2026-01-29 16:20:00,,manual reassignment
296,1000296,119,2025-09-03 22:18:00,,school assignment
297,1000297,207,2025-03-20 12:10:00,,capacity based
298,1000298,29,2026-02-26 12:39:00,,school assignment
299,1000299,145,2026-01-15 18:48:00,,category match
300,1000300,16,2025-12-25 20:42:00,2026-01-14 18:42:00,category match
301,1000301,43,2025-06-24 13:50:00,,category match
302,1000302,21,2026-04-17 23:43:00,,category match
303,1000303,239,2025-12-22 17:17:00,,category match
304,1000304,12,2026-06-10 09:45:00,,category match
305,1000305,29,2024-10-01 17:40:00,,category match
306,1000306,1,2024-09-17 18:56:00,,category match
307,1000307,48,2025-10-14 12:01:00,,capacity based
308,1000308,92,2025-07-11 02:59:00,2025-08-05 18:59:00,school assignment
309,1000309,1,2025-10-24 04:42:00,2025-10-29 15:42:00,capacity based
310,1000310,21,2025-01-17 01:12:00,,category match
311,1000311,76,2025-05-21 17:18:00,,school assignment
312,1000312,97,2025-02-14 03:35:00,2025-02-20 23:35:00,category match
313,1000313,174,2025-01-16 14:46:00,,capacity based
314,1000314,14,2025-08-16 18:47:00,,capacity based
315,1000315,63,2026-01-21 19:20:00,,capacity based
316,1000316,18,2025-12-21 23:38:00,,school assignment
317,1000317,171,2025-01-04 10:44:00,2025-01-24 14:44:00,capacity based
318,1000318,13,2026-05-25 22:25:00,,school assignment
319,1000319,184,2026-01-28 23:09:00,,capacity based
320,1000320,117,2025-01-02 01:42:00,2025-01-30 14:42:00,category match
321,1000321,38,2026-01-21 05:25:00,2026-02-17 12:25:00,school assignment
322,1000322,239,2025-06-06 21:25:00,,capacity based
323,1000323,142,2025-08-27 20:51:00,,manual reassignment
324,1000324,237,2025-09-12 10:25:00,,capacity based
325,1000325,76,2026-04-02 19:14:00,,school assignment
326,1000326,212,2026-04-29 11:19:00,2026-05-15 10:19:00,capacity based
327,1000327,152,2025-07-05 11:11:00,,category match
328,1000328,121,2025-10-10 08:23:00,2025-10-29 13:23:00,category match
329,1000329,73,2025-05-28 13:08:00,,category match
330,1000330,66,2025-10-30 16:02:00,,category match
331,1000331,4,2024-08-19 20:02:00,,capacity based
332,1000332,171,2026-03-15 17:28:00,,capacity based
333,1000333,83,2025-09-23 09:56:00,,school assignment
334,1000334,252,2025-06-18 10:00:00,2025-07-18 14:00:00,category match
335,1000335,122,2025-12-23 22:32:00,,capacity based
336,1000336,177,2024-12-26 10:51:00,,school assignment
337,1000337,141,2026-04-29 17:40:00,,school assignment
338,1000338,8,2025-10-28 06:46:00,,school assignment
339,1000339,73,2025-09-17 22:00:00,,category match
340,1000340,29,2026-06-18 03:50:00,2026-07-03 16:50:00,manual reassignment
341,1000341,41,2025-04-28 02:53:00,2025-05-15 12:53:00,capacity based
342,1000342,27,2025-05-26 20:00:00,2025-06-27 17:00:00,capacity based
343,1000343,58,2025-09-28 21:32:00,2025-10-20 17:32:00,category match
344,1000344,6,2025-08-14 01:47:00,,manual reassignment
345,1000345,64,2026-01-18 03:08:00,,category match
346,1000346,23,2025-10-04 15:43:00,,school assignment
347,1000347,105,2024-10-16 17:31:00,,school assignment
348,1000348,71,2025-07-27 21:01:00,,school assignment
349,1000349,73,2025-01-31 21:36:00,,school assignment
350,1000350,249,2024-10-10 16:15:00,2024-11-11 16:15:00,category match
351,1000351,102,2026-04-07 18:43:00,,manual reassignment
352,1000352,81,2024-12-03 05:55:00,,capacity based
353,1000353,87,2025-10-05 08:15:00,,category match
354,1000354,17,2026-06-05 05:36:00,,capacity based
355,1000355,48,2025-12-12 06:12:00,,school assignment
356,1000356,161,2026-02-11 03:08:00,,school assignment
357,1000357,12,2026-02-11 17:37:00,,capacity based
358,1000358,207,2026-06-24 16:10:00,2026-07-16 16:10:00,capacity based
359,1000359,58,2026-01-01 11:21:00,,manual reassignment
360,1000360,53,2026-03-06 01:08:00,2026-03-21 18:08:00,capacity based
361,1000361,131,2024-08-19 22:32:00,,category match
362,1000362,153,2024-11-24 01:09:00,,school assignment
363,1000363,169,2025-01-02 19:34:00,,capacity based
364,1000364,179,2025-11-22 17:32:00,,category match
365,1000365,171,2026-05-10 22:11:00,,capacity based
366,1000366,176,2025-03-20 09:47:00,,manual reassignment
367,1000367,245,2025-01-02 20:32:00,,category match
368,1000368,89,2025-08-28 20:59:00,,category match
369,1000369,178,2025-03-21 17:20:00,,capacity based
370,1000370,122,2026-06-15 16:24:00,,capacity based
371,1000371,203,2025-10-20 13:31:00,,capacity based
372,1000372,54,2026-02-18 19:43:00,,school assignment
373,1000373,239,2025-06-13 15:09:00,,school assignment
374,1000374,158,2026-04-15 13:58:00,,manual reassignment
375,1000375,16,2026-04-07 09:06:00,2026-05-01 16:06:00,category match
376,1000376,197,2025-08-05 04:20:00,,school assignment
377,1000377,23,2025-01-11 14:12:00,2025-01-18 14:12:00,school assignment
378,1000378,95,2024-11-03 20:56:00,,capacity based
379,1000379,81,2025-09-05 14:36:00,,capacity based
380,1000380,171,2026-02-16 19:26:00,,category match
381,1000381,158,2025-03-28 23:03:00,,category match
382,1000382,26,2025-04-02 23:18:00,,manual reassignment
383,1000383,63,2025-01-05 19:22:00,,capacity based
384,1000384,14,2024-10-10 01:52:00,,category match
385,1000385,85,2025-03-28 18:56:00,,capacity based
386,1000386,133,2025-09-06 17:20:00,,school assignment
387,1000387,170,2025-08-22 21:13:00,,manual reassignment
388,1000388,133,2025-08-05 14:55:00,,manual reassignment
389,1000389,139,2025-10-18 15:56:00,2025-11-06 15:56:00,category match
390,1000390,52,2026-03-24 06:14:00,2026-04-14 17:14:00,category match
391,1000391,99,2025-07-24 07:35:00,,capacity based
392,1000392,45,2025-12-14 15:12:00,,manual reassignment
393,1000393,245,2024-11-25 23:43:00,,school assignment
394,1000394,272,2025-03-25 09:24:00,2025-04-13 16:24:00,school assignment
395,1000395,136,2025-12-26 23:20:00,,capacity based
396,1000396,110,2025-10-30 00:35:00,,capacity based
397,1000397,227,2024-09-09 04:14:00,2024-09-29 10:14:00,school assignment
398,1000398,87,2025-09-28 13:36:00,,manual reassignment
399,1000399,168,2024-12-27 01:32:00,,manual reassignment
400,1000400,155,2025-12-04 15:40:00,,category match
401,1000401,162,2026-01-06 18:45:00,2026-02-01 18:45:00,manual reassignment
402,1000402,22,2024-09-09 02:34:00,,school assignment
403,1000403,95,2025-05-27 18:14:00,,manual reassignment
404,1000404,167,2025-02-01 21:32:00,,category match
405,1000405,197,2024-10-23 08:54:00,2024-11-19 17:54:00,school assignment
406,1000406,171,2025-11-10 16:34:00,,capacity based
407,1000407,121,2025-01-21 22:52:00,,category match
408,1000408,59,2026-04-19 20:27:00,,manual reassignment
409,1000409,111,2026-01-15 22:30:00,2026-02-03 10:30:00,school assignment
410,1000410,36,2025-10-18 22:58:00,,manual reassignment
411,1000411,96,2026-04-24 18:29:00,,manual reassignment
412,1000412,4,2024-11-01 23:21:00,,category match
413,1000413,169,2025-04-27 08:15:00,,school assignment
414,1000414,226,2025-11-04 19:12:00,,manual reassignment
415,1000415,136,2025-08-05 22:41:00,,manual reassignment
416,1000416,82,2025-02-15 09:37:00,,school assignment
417,1000417,131,2025-08-05 08:22:00,,capacity based
418,1000418,164,2025-12-02 13:54:00,,capacity based
419,1000419,264,2026-01-22 13:47:00,,manual reassignment
420,1000420,270,2025-08-07 22:30:00,,manual reassignment
421,1000421,70,2026-02-11 03:12:00,,school assignment
422,1000422,203,2024-12-21 13:26:00,,category match
423,1000423,110,2025-04-25 17:40:00,2025-05-01 12:40:00,manual reassignment
424,1000424,203,2024-09-14 20:25:00,,category match
425,1000425,52,2025-09-17 08:15:00,2025-10-03 10:15:00,school assignment
426,1000426,196,2026-01-28 10:32:00,,manual reassignment
427,1000427,143,2026-02-10 01:32:00,,school assignment
428,1000428,74,2024-12-01 11:44:00,,capacity based
429,1000429,141,2026-05-20 21:30:00,,category match
430,1000430,49,2025-10-15 00:29:00,,school assignment
431,1000431,58,2025-02-25 17:26:00,,capacity based
432,1000432,131,2025-02-19 23:09:00,,category match
433,1000433,67,2025-08-16 00:44:00,,capacity based
434,1000434,132,2025-09-05 11:09:00,2025-09-13 16:09:00,category match
435,1000435,258,2026-05-20 12:57:00,,category match
436,1000436,4,2025-11-14 03:41:00,2025-12-04 14:41:00,category match
437,1000437,1,2025-09-15 15:46:00,2025-10-08 19:46:00,capacity based
438,1000438,25,2025-10-02 23:59:00,,manual reassignment
439,1000439,197,2025-01-04 22:34:00,,manual reassignment
440,1000440,136,2025-06-16 21:07:00,2025-06-28 15:07:00,category match
441,1000441,28,2025-04-15 17:14:00,,manual reassignment
442,1000442,106,2026-05-15 06:32:00,,capacity based
443,1000443,98,2025-08-02 14:30:00,,manual reassignment
444,1000444,174,2025-05-24 01:26:00,,capacity based
445,1000445,203,2024-12-04 04:16:00,,capacity based
446,1000446,64,2026-01-28 06:02:00,,school assignment
447,1000447,92,2026-01-22 13:50:00,2026-02-11 20:50:00,capacity based
448,1000448,117,2025-08-06 19:21:00,,school assignment
449,1000449,66,2025-12-08 17:27:00,,manual reassignment
450,1000450,255,2025-03-11 05:39:00,,manual reassignment
451,1000451,272,2025-02-27 04:42:00,,category match
452,1000452,42,2025-01-20 09:03:00,,school assignment
453,1000453,159,2024-09-15 09:04:00,,school assignment
454,1000454,21,2024-12-05 17:29:00,,capacity based
455,1000455,149,2024-08-29 23:07:00,,capacity based
456,1000456,144,2025-11-22 22:21:00,,category match
457,1000457,178,2026-01-24 00:40:00,,capacity based
458,1000458,6,2026-05-03 23:05:00,,capacity based
459,1000459,182,2025-01-04 18:23:00,2025-01-29 12:23:00,school assignment
460,1000460,77,2025-04-18 19:14:00,2025-05-18 17:14:00,category match
461,1000461,109,2025-04-09 13:55:00,,category match
462,1000462,257,2024-12-12 20:03:00,,category match
463,1000463,71,2024-11-15 21:05:00,2024-12-06 11:05:00,capacity based
464,1000464,17,2025-06-25 20:28:00,,capacity based
465,1000465,149,2026-05-21 05:25:00,,capacity based
466,1000466,87,2025-10-10 19:01:00,2025-10-22 18:01:00,category match
467,1000467,36,2026-02-28 10:54:00,,category match
468,1000468,9,2024-11-03 13:14:00,,category match
469,1000469,124,2026-01-09 01:45:00,2026-01-24 12:45:00,school assignment
470,1000470,227,2025-11-19 23:54:00,,capacity based
471,1000471,63,2025-01-17 14:39:00,,manual reassignment
472,1000472,102,2026-03-22 17:51:00,,school assignment
473,1000473,124,2025-12-17 08:05:00,,category match
474,1000474,141,2024-10-24 15:34:00,,manual reassignment
475,1000475,128,2025-05-29 13:02:00,,manual reassignment
476,1000476,29,2026-04-30 23:40:00,,capacity based
477,1000477,43,2025-01-07 03:27:00,,category match
478,1000478,264,2025-09-29 00:57:00,,capacity based
