request_id,school_id,student_id,category_id,term_id,priority,intake_channel,current_status,submitted_at,first_response_at,resolved_at,closed_at,reopened_flag,sla_policy_id
1000083,13,3860,11,2,High,Parent Portal,Escalated,2025-01-16 09:29:00,2025-01-16 12:29:00,,,False,35
1000084,15,9652,10,3,Medium,Student Portal,Pending Parent,2025-05-04 12:41:00,2025-05-05 01:41:00,,,False,22
1000085,21,,5,1,Medium,Parent Portal,Closed,2024-09-18 08:21:00,2024-09-19 03:21:00,2024-09-28 13:21:00,2024-09-28 13:21:00,False,17
1000086,30,19039,10,3,Medium,Counselor Intake,Resolved,2025-03-06 11:16:00,2025-03-07 01:16:00,2025-03-24 19:16:00,,False,22
1000087,14,13838,3,2,Medium,Phone,New,2024-11-29 11:43:00,,,,False,15
1000088,23,24650,4,8,Critical,Teacher Referral,In Progress,2026-05-08 14:01:00,2026-05-08 19:01:00,,,False,40
1000089,9,,6,3,Critical,Counselor Intake,In Progress,2025-04-24 13:08:00,2025-04-24 16:08:00,,,False,42
1000090,15,19452,2,6,Low,Email,In Progress,2026-01-26 08:22:00,2026-01-27 16:22:00,,,True,2
1000091,6,,7,3,Medium,Teacher Referral,Pending Parent,2025-04-22 09:01:00,2025-04-23 15:01:00,,,False,19
1000092,22,19808,11,4,Medium,Phone,Resolved,2025-05-13 11:30:00,2025-05-13 22:30:00,2025-05-22 13:30:00,,False,23
1000093,13,,9,7,Low,Counselor Intake,Reopened,2026-03-25 11:09:00,2026-03-25 16:09:00,,,False,9
1000094,4,22144,3,3,Medium,Counselor Intake,Assigned,2025-04-09 09:55:00,2025-04-10 12:55:00,,,False,15
1000095,29,14944,8,3,High,Student Portal,Closed,2025-04-13 08:34:00,2025-04-13 19:34:00,2025-05-13 08:34:00,2025-05-16 08:34:00,False,32
1000096,22,23913,2,8,Medium,Email,Assigned,2026-06-01 12:52:00,2026-06-02 15:52:00,,,False,14
1000097,2,,9,4,Medium,Teacher Referral,Resolved,2025-06-15 11:20:00,2025-06-16 02:20:00,2025-06-16 19:20:00,,True,21
1000098,21,19706,9,5,Medium,Parent Portal,Pending Student,2025-08-23 10:06:00,2025-08-24 14:06:00,,,False,21
1000099,21,23404,5,6,Medium,Student Portal,Resolved,2025-12-03 14:58:00,2025-12-04 14:58:00,2025-12-10 19:58:00,,False,17
1000100,23,,11,6,Low,Student Portal,Pending Parent,2026-02-01 10:24:00,2026-02-01 13:24:00,,,False,11
1000101,28,,7,3,Low,Anonymous Form,Closed,2025-04-19 11:27:00,2025-04-19 18:27:00,2025-04-27 16:27:00,2025-04-29 16:27:00,False,7
1000102,15,2874,12,5,Medium,Email,In Progress,2025-10-05 12:04:00,2025-10-06 15:04:00,,,True,24
1000103,24,,7,6,Medium,Counselor Intake,Pending Parent,2025-12-22 13:04:00,2025-12-23 18:04:00,,,False,19
1000104,22,18234,12,3,Low,Parent Portal,Resolved,2025-02-19 15:03:00,2025-02-20 02:03:00,2025-03-01 23:03:00,,False,12
1000105,6,,8,1,Low,Phone,Resolved,2024-10-07 09:37:00,2024-10-08 15:37:00,2024-10-19 14:37:00,,False,8
1000106,9,9748,3,8,Low,Anonymous Form,Resolved,2026-05-27 15:08:00,2026-05-28 20:08:00,2026-06-08 18:08:00,,False,3
1000107,30,,6,2,Critical,Anonymous Form,New,2024-11-19 09:22:00,2024-11-19 15:22:00,,,False,42
1000108,16,7990,7,7,Medium,Anonymous Form,Resolved,2026-04-06 09:00:00,2026-04-07 17:00:00,2026-04-28 17:00:00,,False,19
1000109,1,3559,12,7,Medium,Anonymous Form,Closed,2026-02-22 15:33:00,2026-02-22 19:33:00,2026-03-15 20:33:00,2026-03-16 20:33:00,False,24
1000110,24,8365,11,6,Medium,Anonymous Form,Resolved,2025-12-23 12:19:00,2025-12-24 03:19:00,2025-12-24 20:19:00,,False,23
1000111,7,13066,2,3,Medium,Teacher Referral,Reopened,2025-03-12 14:13:00,2025-03-12 16:13:00,,,False,14
1000112,5,15204,1,2,Low,Anonymous Form,New,2024-12-26 10:38:00,,,,False,1
1000113,26,9771,3,2,Medium,Anonymous Form,Resolved,2025-02-01 09:13:00,2025-02-01 23:13:00,2025-02-06 10:13:00,,False,15
1000114,14,7302,11,2,Medium,Parent Portal,In Progress,2024-12-12 12:15:00,2024-12-13 03:15:00,,,False,23
1000115,4,258,4,6,Medium,Teacher Referral,Closed,2026-01-07 13:49:00,2026-01-07 18:49:00,2026-02-02 17:49:00,2026-02-03 17:49:00,False,16
1000116,25,2262,3,1,Low,Anonymous Form,Assigned,2024-10-06 08:52:00,2024-10-07 02:52:00,,,False,3
1000117,26,,9,6,High,Email,Resolved,2026-01-26 12:10:00,2026-01-27 00:10:00,2026-02-15 16:10:00,,True,33
1000118,11,2753,8,2,Critical,Teacher Referral,Resolved,2024-12-28 15:17:00,2024-12-28 23:17:00,2025-01-27 17:17:00,,False,44
1000119,5,14917,11,1,Critical,Counselor Intake,Pending Student,2024-10-09 08:46:00,2024-10-09 10:46:00,,,False,47
1000120,23,4734,10,5,Medium,Student Portal,Assigned,2025-10-10 08:27:00,2025-10-10 20:27:00,,,False,22
1000121,12,23717,8,2,Medium,Counselor Intake,Closed,2024-12-05 09:49:00,2024-12-05 18:49:00,2024-12-15 17:49:00,2024-12-15 17:49:00,False,20
1000122,5,,12,1,Medium,Anonymous Form,Resolved,2024-09-13 15:19:00,2024-09-14 12:19:00,2024-10-06 21:19:00,,False,24
1000123,30,1997,1,6,Medium,Parent Portal,Resolved,2026-02-05 14:43:00,2026-02-05 23:43:00,2026-02-07 19:43:00,,False,13
1000124,16,,11,1,High,Student Portal,In Progress,2024-10-01 11:49:00,2024-10-01 17:49:00,,,False,35
1000125,15,21070,10,4,Medium,Phone,Assigned,2025-05-19 11:05:00,2025-05-20 19:05:00,,,False,22
1000126,17,12654,11,8,Low,Phone,In Progress,2026-06-21 15:52:00,2026-06-23 08:52:00,,,False,11
1000127,20,594,4,1,High,Teacher Referral,Resolved,2024-09-24 11:14:00,2024-09-24 15:14:00,2024-10-07 12:14:00,,False,28
1000128,14,16008,5,1,High,Teacher Referral,In Progress,2024-09-23 16:32:00,2024-09-24 07:32:00,,,False,29
1000129,23,1735,1,5,Low,Counselor Intake,Closed,2025-09-25 11:06:00,2025-09-27 04:06:00,2025-10-19 16:06:00,2025-10-19 16:06:00,False,1
1000130,29,,9,7,Medium,Teacher Referral,Resolved,2026-04-23 12:29:00,2026-04-24 03:29:00,2026-05-15 18:29:00,,False,21
1000131,28,,9,6,Medium,Counselor Intake,Pending Parent,2025-11-12 10:02:00,2025-11-13 15:02:00,,,False,21
1000132,23,,8,5,Low,Email,Assigned,2025-08-16 08:00:00,2025-08-18 07:00:00,,,False,8
1000133,9,,2,6,Low,Email,Closed,2025-11-10 16:19:00,2025-11-11 21:19:00,2025-11-23 16:19:00,2025-11-23 16:19:00,False,2
1000134,3,7924,10,4,Medium,Teacher Referral,Resolved,2025-07-01 16:36:00,2025-07-02 11:36:00,2025-07-09 18:36:00,,False,22
1000135,5,1407,1,6,Medium,Email,Assigned,2025-11-26 11:21:00,2025-11-26 23:21:00,,,False,13
1000136,7,7214,10,6,Medium,Parent Portal,Pending Parent,2025-12-28 12:10:00,2025-12-29 11:10:00,,,False,22
1000137,15,17771,2,2,Low,Teacher Referral,Escalated,2024-12-18 16:19:00,2024-12-20 06:19:00,,,False,2
1000138,25,,11,4,High,Email,Pending Parent,2025-08-04 12:02:00,2025-08-04 20:02:00,,,False,35
1000139,27,13131,6,3,Low,Student Portal,Closed,2025-05-08 16:57:00,2025-05-10 11:57:00,2025-05-15 18:57:00,2025-05-16 18:57:00,False,6
1000140,2,,3,3,High,Email,Resolved,2025-03-06 11:26:00,2025-03-06 20:26:00,2025-03-22 11:26:00,,False,27
1000141,14,,11,4,Low,Counselor Intake,Pending Parent,2025-06-09 12:17:00,2025-06-10 15:17:00,,,False,11
1000142,9,,1,5,Medium,Counselor Intake,In Progress,2025-10-09 10:03:00,2025-10-09 19:03:00,,,False,13
1000143,4,18775,8,6,High,Student Portal,Closed,2026-01-23 13:52:00,2026-01-23 18:52:00,2026-02-19 16:52:00,2026-02-20 16:52:00,False,32
1000144,10,16326,8,1,Low,Teacher Referral,In Progress,2024-08-31 15:01:00,2024-09-01 03:01:00,,,False,8
1000145,21,17138,7,5,High,Counselor Intake,Resolved,2025-10-26 14:04:00,2025-10-27 05:04:00,2025-11-23 14:04:00,,False,31
1000146,24,11645,1,6,Low,Anonymous Form,Escalated,2025-11-19 14:20:00,2025-11-20 23:20:00,,,False,1
1000147,6,24960,10,2,Medium,Phone,Triaged,2024-12-04 12:08:00,2024-12-04 19:08:00,,,False,22
1000148,19,12496,12,1,Medium,Student Portal,Resolved,2024-09-20 13:44:00,2024-09-20 17:44:00,2024-10-12 20:44:00,,False,24
1000149,12,10901,11,5,Critical,Phone,In Progress,2025-09-30 16:14:00,2025-09-30 18:14:00,,,False,47
1000150,23,9269,12,3,Low,Anonymous Form,Pending Parent,2025-05-06 12:06:00,2025-05-07 17:06:00,,,False,12
1000151,3,1361,5,5,Medium,Teacher Referral,Triaged,2025-10-30 13:09:00,2025-10-31 06:09:00,,,False,17
1000152,7,,10,1,Low,Phone,Pending Student,2024-11-08 10:53:00,2024-11-09 14:53:00,,,False,10
1000153,9,,6,4,Low,Email,Resolved,2025-06-26 11:25:00,2025-06-28 05:25:00,2025-07-05 19:25:00,,False,6
1000154,27,14763,12,4,Medium,Parent Portal,Closed,2025-06-01 10:42:00,2025-06-01 14:42:00,2025-06-09 11:42:00,2025-06-12 11:42:00,False,24
1000155,5,16858,2,1,Low,Anonymous Form,Pending Parent,2024-10-07 15:30:00,2024-10-08 23:30:00,,,False,2
1000156,17,24498,5,4,Medium,Counselor Intake,Closed,2025-07-04 09:11:00,2025-07-05 17:11:00,2025-08-02 15:11:00,2025-08-05 15:11:00,False,17
1000157,1,21390,7,6,Medium,Teacher Referral,Resolved,2026-01-13 16:11:00,2026-01-14 12:11:00,2026-01-19 20:11:00,,False,19
1000158,15,5584,2,5,Medium,Student Portal,Resolved,2025-09-03 10:30:00,2025-09-04 02:30:00,2025-10-02 12:30:00,,False,14
1000159,19,,7,7,Low,Anonymous Form,In Progress,2026-05-02 16:54:00,2026-05-03 20:54:00,,,False,7
1000160,26,6300,9,4,Medium,Counselor Intake,Closed,2025-05-19 12:01:00,2025-05-20 17:01:00,2025-06-03 14:01:00,2025-06-06 14:01:00,False,21
1000161,10,,11,1,Medium,Phone,Triaged,2024-09-19 09:07:00,,,,False,23
1000162,30,15301,8,1,Medium,Counselor Intake,Resolved,2024-09-10 14:39:00,2024-09-11 12:39:00,2024-10-10 17:39:00,,False,20
1000163,13,6119,6,7,Low,Email,Escalated,2026-02-15 12:00:00,2026-02-15 16:00:00,,,False,6
1000164,19,13322,9,1,Low,Teacher Referral,New,2024-10-15 08:08:00,2024-10-17 00:08:00,,,False,9
1000165,28,13659,9,5,Low,Teacher Referral,Resolved,2025-09-02 15:22:00,2025-09-03 16:22:00,2025-09-23 16:22:00,,False,9
1000166,6,20772,1,8,Low,Phone,Escalated,2026-05-29 14:54:00,2026-05-31 07:54:00,,,False,1
1000167,2,2372,2,3,High,Email,In Progress,2025-04-17 12:35:00,2025-04-18 03:35:00,,,False,26
1000168,1,,4,6,High,Email,Assigned,2025-11-17 16:06:00,2025-11-18 04:06:00,,,False,28
1000169,16,4490,10,7,High,Student Portal,Resolved,2026-03-31 14:47:00,2026-04-01 05:47:00,2026-04-25 19:47:00,,False,34
1000170,16,,3,6,Medium,Teacher Referral,Resolved,2026-01-02 09:35:00,2026-01-03 00:35:00,2026-01-17 09:35:00,,False,15
1000171,18,,2,2,Medium,Anonymous Form,Resolved,2024-12-14 12:59:00,2024-12-15 04:59:00,2025-01-12 20:59:00,,False,14
1000172,14,1372,12,4,Critical,Phone,Resolved,2025-05-15 08:14:00,2025-05-15 15:14:00,2025-05-20 09:14:00,,False,48
1000173,22,600,10,7,Medium,Teacher Referral,Closed,2026-05-04 13:31:00,2026-05-05 14:31:00,2026-05-21 14:31:00,2026-05-21 14:31:00,False,22
1000174,19,10416,3,6,Medium,Email,In Progress,2025-11-12 15:54:00,2025-11-13 22:54:00,,,False,15
1000175,12,,8,2,Medium,Parent Portal,Resolved,2025-01-11 15:47:00,2025-01-12 06:47:00,2025-01-17 16:47:00,,False,20
1000176,13,9849,6,5,Low,Phone,Closed,2025-09-11 14:12:00,2025-09-13 08:12:00,2025-09-13 20:12:00,2025-09-16 20:12:00,False,6
1000177,10,,3,8,High,Teacher Referral,New,2026-05-09 16:09:00,,,,False,27
1000178,16,14871,10,3,High,Parent Portal,In Progress,2025-04-11 12:32:00,2025-04-12 02:32:00,,,False,34
1000179,3,12165,8,3,Medium,Student Portal,Resolved,2025-04-12 15:43:00,2025-04-12 18:43:00,2025-05-05 15:43:00,,False,20
1000180,15,,5,2,Critical,Phone,Resolved,2025-01-09 14:39:00,2025-01-09 18:39:00,2025-01-15 14:39:00,,False,41
1000181,22,9534,9,4,Medium,Email,In Progress,2025-06-09 15:44:00,2025-06-10 22:44:00,,,False,21
1000182,28,21354,7,5,High,Teacher Referral,Assigned,2025-08-30 09:23:00,2025-08-30 22:23:00,,,False,31
1000183,12,19333,10,5,Medium,Email,New,2025-08-19 11:38:00,,,,True,22
1000184,8,9988,4,3,High,Teacher Referral,In Progress,2025-03-06 15:46:00,2025-03-07 05:46:00,,,False,28
1000185,7,23708,12,1,Low,Student Portal,Pending Student,2024-10-04 14:44:00,2024-10-05 03:44:00,,,False,12
1000186,8,21316,5,8,Medium,Email,In Progress,2026-05-31 13:00:00,2026-06-01 00:00:00,,,False,17
1000187,23,18683,12,7,Low,Anonymous Form,In Progress,2026-05-04 11:53:00,2026-05-05 16:53:00,,,False,12
1000188,20,6070,2,3,Medium,Phone,Resolved,2025-04-16 14:39:00,2025-04-17 18:39:00,2025-04-17 16:39:00,,False,14
1000189,27,4963,1,8,Medium,Phone,Pending Parent,2026-06-22 16:54:00,2026-06-23 12:54:00,,,False,13
1000190,25,4547,12,5,High,Email,In Progress,2025-09-02 11:11:00,2025-09-02 21:11:00,,,False,36
1000191,6,18439,2,5,Medium,Phone,Pending Parent,2025-10-09 13:32:00,2025-10-10 03:32:00,,,False,14
1000192,29,15332,8,5,Medium,Anonymous Form,Resolved,2025-08-20 11:13:00,2025-08-21 04:13:00,2025-09-10 11:13:00,,False,20
1000193,12,,7,6,High,Phone,Escalated,2025-12-22 16:44:00,2025-12-22 22:44:00,,,False,31
1000194,30,17633,7,1,Low,Phone,In Progress,2024-10-31 12:20:00,2024-11-01 03:20:00,,,False,7
1000195,2,13007,12,3,Low,Teacher Referral,Escalated,2025-04-03 13:22:00,2025-04-03 23:22:00,,,False,12
1000196,24,5793,1,2,Low,Email,Pending Student,2024-12-28 15:25:00,2024-12-29 14:25:00,,,False,1
1000197,11,8184,11,6,Medium,Anonymous Form,Assigned,2025-11-22 10:30:00,2025-11-22 15:30:00,,,False,23
1000198,8,8965,2,2,High,Email,In Progress,2024-11-28 10:13:00,2024-11-29 00:13:00,,,False,26
1000199,18,7775,6,6,High,Counselor Intake,Pending Parent,2025-12-28 14:53:00,2025-12-28 23:53:00,,,False,30
1000200,9,6674,6,7,Low,Counselor Intake,Reopened,2026-02-14 11:55:00,2026-02-14 18:55:00,,,True,6
1000201,5,8053,4,1,High,Anonymous Form,Escalated,2024-10-14 12:15:00,2024-10-14 16:15:00,,,False,28
1000202,5,,5,7,Medium,Parent Portal,Closed,2026-02-14 16:29:00,2026-02-14 18:29:00,2026-03-13 18:29:00,2026-03-17 18:29:00,False,17
1000203,3,,2,3,High,Teacher Referral,Resolved,2025-03-15 16:12:00,2025-03-15 19:12:00,2025-03-24 22:12:00,,False,26
1000204,5,9942,12,1,High,Teacher Referral,In Progress,2024-11-08 15:10:00,2024-11-09 03:10:00,,,False,36
1000205,9,18247,4,4,Low,Anonymous Form,Triaged,2025-06-23 08:55:00,2025-06-25 04:55:00,,,False,4
1000206,6,16069,8,7,Low,Parent Portal,Closed,2026-04-14 16:14:00,2026-04-15 01:14:00,2026-04-18 20:14:00,2026-04-20 20:14:00,False,8
1000207,12,6861,2,7,High,Phone,Resolved,2026-02-10 12:18:00,2026-02-11 01:18:00,2026-03-02 12:18:00,,False,26
1000208,2,12121,7,4,Medium,Anonymous Form,Pending Student,2025-06-21 09:19:00,2025-06-21 17:19:00,,,False,19
1000209,15,12175,11,6,High,Email,Resolved,2026-01-16 13:39:00,2026-01-16 16:39:00,2026-02-07 15:39:00,,False,35
1000210,11,,12,8,Medium,Anonymous Form,Resolved,2026-05-15 08:41:00,2026-05-15 13:41:00,2026-06-12 09:41:00,,False,24
