escalation_id,request_id,from_user_id,to_department_id,escalation_reason,escalated_at,resolved_at
56,1000598,178,2,SLA risk,2025-02-10 15:53:00,
57,1000602,177,8,Capacity support,2025-12-26 15:35:00,
58,1000614,169,8,Capacity support,2024-10-16 13:50:00,
59,1000620,24,5,Policy review,2025-12-10 16:33:00,
60,1000638,135,2,Capacity support,2024-12-22 13:57:00,2024-12-25 13:57:00
61,1000642,31,6,Multi-department coordination,2025-12-12 15:27:00,2025-12-15 15:27:00
62,1000653,43,3,Capacity support,2025-04-12 13:24:00,2025-04-20 13:24:00
63,1000658,169,6,Capacity support,2026-01-03 08:07:00,2026-01-04 08:07:00
64,1000661,193,4,SLA risk,2025-05-10 12:07:00,
65,1000666,38,3,SLA risk,2025-12-03 12:32:00,2025-12-04 12:32:00
66,1000667,70,6,Capacity support,2024-09-11 09:38:00,
67,1000674,214,6,Capacity support,2026-03-10 09:26:00,
68,1000678,40,3,SLA risk,2025-04-25 12:35:00,
69,1000685,152,2,Policy review,2024-09-26 08:47:00,2024-10-04 08:47:00
70,1000692,64,7,Multi-department coordination,2026-01-28 15:44:00,
71,1000707,146,7,Policy review,2026-06-27 16:15:00,2026-06-30 16:15:00
72,1000732,94,2,Multi-department coordination,2025-08-08 16:13:00,2025-08-09 16:13:00
73,1000733,52,3,Policy review,2025-11-12 13:08:00,2025-11-15 13:08:00
74,1000748,164,6,Multi-department coordination,2025-02-28 12:58:00,2025-03-04 12:58:00
75,1000755,126,5,Capacity support,2026-01-05 15:22:00,2026-01-06 15:22:00
76,1000758,21,8,Multi-department coordination,2025-12-17 09:26:00,2025-12-21 09:26:00
77,1000762,70,7,Policy review,2025-06-02 10:18:00,
78,1000799,11,4,SLA risk,2025-10-12 16:18:00,2025-10-20 16:18:00
79,1000803,70,5,Multi-department coordination,2025-10-29 11:15:00,
80,1000813,73,7,Multi-department coordination,2025-11-28 09:40:00,2025-12-06 09:40:00
81,1000815,154,2,Policy review,2026-04-01 09:35:00,2026-04-09 09:35:00
82,1000824,160,7,Multi-department coordination,2025-10-29 08:22:00,
83,1000834,220,4,Policy review,2026-05-27 09:11:00,
84,1000839,125,7,Policy review,2026-02-25 10:50:00,
85,1000843,114,2,Capacity support,2026-02-14 08:41:00,2026-02-22 08:41:00
86,1000845,59,8,SLA risk,2024-09-22 14:28:00,
87,1000858,135,4,SLA risk,2026-01-14 13:18:00,
88,1000862,197,1,Capacity support,2025-12-21 11:34:00,2025-12-26 11:34:00
89,1000875,61,4,Policy review,2024-10-02 14:33:00,2024-10-07 14:33:00
90,1000878,31,6,Multi-department coordination,2024-08-28 13:13:00,2024-09-05 13:13:00
91,1000881,8,2,Multi-department coordination,2025-12-08 16:30:00,2025-12-11 16:30:00
92,1000894,193,6,Policy review,2025-06-30 10:04:00,
93,1000899,123,2,Capacity support,2025-06-17 15:38:00,
94,1000911,57,5,SLA risk,2025-10-30 12:38:00,2025-11-03 12:38:00
95,1000921,121,6,SLA risk,2025-04-17 09:32:00,2025-04-19 09:32:00
96,1000924,22,1,SLA risk,2026-02-05 08:28:00,2026-02-13 08:28:00
97,1000928,58,7,Capacity support,2025-07-04 14:30:00,
98,1000949,213,2,Capacity support,2025-12-20 08:41:00,2025-12-27 08:41:00
99,1000956,99,8,Multi-department coordination,2026-02-27 12:16:00,2026-02-28 12:16:00
100,1000959,9,1,Capacity support,2025-02-04 10:21:00,2025-02-12 10:21:00
101,1000964,104,8,Multi-department coordination,2024-09-18 16:35:00,2024-09-24 16:35:00
102,1000969,180,6,Capacity support,2026-03-23 14:25:00,2026-03-31 14:25:00
103,1000976,97,1,SLA risk,2025-03-31 15:45:00,
104,1000981,210,1,Policy review,2025-11-01 15:07:00,
105,1001001,272,6,Capacity support,2025-12-18 13:09:00,2025-12-19 13:09:00
106,1001004,107,8,SLA risk,2025-12-30 08:41:00,2026-01-06 08:41:00
107,1001011,179,7,Capacity support,2025-09-03 14:10:00,2025-09-10 14:10:00
108,1001015,132,8,Capacity support,2025-06-02 13:56:00,2025-06-07 13:56:00
109,1001020,152,1,SLA risk,2025-04-08 13:11:00,2025-04-15 13:11:00
110,1001025,33,6,SLA risk,2026-05-10 14:22:00,
111,1001029,38,6,Multi-department coordination,2025-05-09 09:13:00,2025-05-16 09:13:00
112,1001040,197,5,Multi-department coordination,2025-04-04 15:45:00,
113,1001041,123,8,Capacity support,2025-11-25 14:35:00,2025-12-03 14:35:00
114,1001046,257,7,Policy review,2024-10-10 11:49:00,2024-10-18 11:49:00
115,1001050,271,8,Policy review,2026-06-14 08:26:00,2026-06-21 08:26:00
116,1001067,130,4,Policy review,2025-08-01 16:35:00,2025-08-08 16:35:00
117,1001068,71,2,Multi-department coordination,2025-09-26 14:05:00,2025-09-27 14:05:00
118,1001091,117,7,Multi-department coordination,2026-03-30 08:04:00,
119,1001098,270,1,Capacity support,2024-08-31 15:08:00,
120,1001104,157,7,SLA risk,2026-03-07 14:14:00,
121,1001119,84,1,Capacity support,2025-08-08 12:35:00,2025-08-10 12:35:00
122,1001121,1,5,Multi-department coordination,2024-10-22 09:54:00,2024-10-26 09:54:00
123,1001130,80,1,Capacity support,2025-09-28 12:29:00,
124,1001163,120,6,SLA risk,2024-09-21 12:00:00,2024-09-23 12:00:00
125,1001177,171,8,Capacity support,2026-03-30 11:31:00,2026-04-01 11:31:00
126,1001182,210,4,Policy review,2025-09-17 08:38:00,2025-09-19 08:38:00
127,1001183,2,5,Policy review,2025-12-28 14:38:00,2025-12-31 14:38:00
128,1001190,11,1,Multi-department coordination,2025-03-31 12:34:00,2025-04-02 12:34:00
129,1001194,264,8,Capacity support,2025-05-23 10:42:00,
130,1001218,64,5,Capacity support,2025-12-04 10:10:00,
131,1001221,51,5,Multi-department coordination,2025-05-10 16:11:00,2025-05-12 16:11:00
132,1001246,219,7,Multi-department coordination,2026-03-21 08:52:00,2026-03-25 08:52:00
133,1001264,6,4,Multi-department coordination,2024-09-20 09:05:00,
134,1001275,210,1,Capacity support,2025-01-08 12:15:00,
135,1001278,219,6,Capacity support,2024-10-16 09:50:00,2024-10-18 09:50:00
136,1001296,207,6,SLA risk,2026-01-02 13:25:00,2026-01-04 13:25:00
137,1001335,3,3,Policy review,2026-06-21 14:24:00,
138,1001338,86,5,Multi-department coordination,2025-04-04 10:59:00,
139,1001342,30,1,Multi-department coordination,2026-05-05 15:54:00,
140,1001351,28,6,Capacity support,2024-10-16 15:19:00,
141,1001368,148,3,Capacity support,2024-11-28 12:19:00,2024-12-05 12:19:00
142,1001372,173,2,Policy review,2025-11-07 15:16:00,2025-11-08 15:16:00
143,1001382,113,1,SLA risk,2024-10-17 14:42:00,2024-10-24 14:42:00
144,1001387,71,5,Policy review,2024-10-24 11:01:00,
145,1001399,23,8,Multi-department coordination,2025-03-19 11:51:00,2025-03-25 11:51:00
146,1001400,4,5,Policy review,2025-10-02 16:49:00,2025-10-07 16:49:00
147,1001405,186,6,SLA risk,2024-11-26 09:41:00,
148,1001406,160,3,Multi-department coordination,2026-05-01 14:15:00,2026-05-04 14:15:00
149,1001409,64,4,SLA risk,2025-02-28 14:40:00,2025-03-01 14:40:00
150,1001434,153,2,Capacity support,2025-08-06 10:15:00,2025-08-12 10:15:00
151,1001440,50,5,Multi-department coordination,2026-03-28 14:19:00,2026-03-30 14:19:00
152,1001442,96,7,Capacity support,2026-05-22 15:13:00,2026-05-27 15:13:00
153,1001452,207,3,SLA risk,2024-11-20 12:33:00,
154,1001462,189,8,Capacity support,2026-06-10 13:25:00,2026-06-11 13:25:00
155,1001464,260,7,SLA risk,2026-02-17 14:08:00,
156,1001466,271,6,SLA risk,2025-07-06 12:44:00,
157,1001470,2,6,SLA risk,2025-07-14 14:26:00,
158,1001476,165,4,Policy review,2025-04-12 15:25:00,2025-04-19 15:25:00
159,1001501,50,5,Capacity support,2024-08-30 13:42:00,2024-09-03 13:42:00
160,1001508,25,2,Multi-department coordination,2025-10-04 08:24:00,2025-10-06 08:24:00
161,1001510,22,6,SLA risk,2024-10-13 09:47:00,2024-10-20 09:47:00
162,1001517,134,6,Capacity support,2026-06-19 10:36:00,2026-06-22 10:36:00
163,1001540,72,8,Multi-department coordination,2025-08-19 12:41:00,2025-08-23 12:41:00
164,1001553,109,2,Multi-department coordination,2026-04-03 12:08:00,
165,1001554,71,5,Capacity support,2025-11-09 12:57:00,2025-11-14 12:57:00
166,1001560,29,6,Capacity support,2026-02-07 10:22:00,
167,1001562,203,8,Policy review,2025-11-13 14:03:00,2025-11-17 14:03:00
168,1001566,164,6,SLA risk,2024-09-12 11:19:00,2024-09-20 11:19:00
169,1001574,245,2,Capacity support,2025-08-13 15:07:00,2025-08-18 15:07:00
170,1001576,4,8,Capacity support,2024-10-30 10:05:00,
171,1001579,178,1,SLA risk,2025-09-16 10:43:00,
172,1001594,33,5,Capacity support,2026-04-07 15:41:00,
173,1001597,42,3,Multi-department coordination,2025-09-10 14:21:00,
174,1001613,175,5,Capacity support,2025-09-14 11:38:00,2025-09-18 11:38:00
175,1001619,22,1,Multi-department coordination,2026-06-09 15:26:00,
176,1001639,157,3,SLA risk,2025-05-28 16:13:00,2025-06-04 16:13:00
177,1001655,186,8,Multi-department coordination,2025-03-17 15:56:00,2025-03-24 15:56:00
178,1001670,87,5,SLA risk,2025-05-04 16:12:00,
179,1001674,93,7,Multi-department coordination,2026-01-23 14:09:00,
180,1001683,38,7,Policy review,2026-06-24 12:55:00,2026-06-28 12:55:00
181,1001698,70,4,SLA risk,2026-02-19 08:33:00,
182,1001699,130,1,SLA risk,2025-04-30 09:39:00,2025-05-03 09:39:00
183,1001705,37,2,Policy review,2025-06-02 10:30:00,2025-06-06 10:30:00
184,1001711,91,5,SLA risk,2026-02-13 14:22:00,
185,1001731,135,5,Multi-department coordination,2025-08-27 12:04:00,2025-09-04 12:04:00
186,1001734,177,3,Policy review,2025-10-12 15:40:00,
187,1001747,71,3,Capacity support,2025-04-30 14:08:00,
188,1001753,221,3,Capacity support,2024-12-21 13:03:00,
189,1001756,173,7,Capacity support,2025-01-21 08:47:00,
190,1001785,72,1,Policy review,2025-09-03 16:30:00,
191,1001786,255,2,Multi-department coordination,2024-08-21 09:41:00,
192,1001797,14,2,Capacity support,2026-04-08 08:50:00,2026-04-15 08:50:00
193,1001808,146,6,Multi-department coordination,2025-01-17 14:26:00,2025-01-24 14:26:00
194,1001811,59,3,Capacity support,2025-03-09 15:40:00,2025-03-17 15:40:00
195,1001815,51,7,SLA risk,2026-06-07 11:46:00,
196,1001841,248,3,SLA risk,2025-03-03 15:34:00,2025-03-05 15:34:00
197,1001859,105,7,Multi-department coordination,2025-08-31 09:37:00,
198,1001861,80,4,Capacity support,2024-08-28 15:46:00,
199,1001864,62,8,Multi-department coordination,2025-12-16 13:51:00,2025-12-17 13:51:00
200,1001885,81,2,Multi-department coordination,2025-01-29 08:41:00,2025-02-01 08:41:00
201,1001888,218,5,Policy review,2025-10-09 15:33:00,
202,1001890,162,6,SLA risk,2026-05-23 09:43:00,2026-05-27 09:43:00
203,1001912,94,8,SLA risk,2025-06-19 08:25:00,
204,1001923,252,2,Multi-department coordination,2024-10-26 11:20:00,2024-11-02 11:20:00
205,1001924,85,6,Policy review,2025-04-11 15:49:00,2025-04-12 15:49:00
206,1001926,36,4,Policy review,2026-03-25 11:55:00,2026-03-31 11:55:00
207,1001927,245,8,SLA risk,2026-06-05 13:17:00,2026-06-09 13:17:00
208,1001940,172,1,Capacity support,2025-08-11 13:22:00,2025-08-16 13:22:00
209,1001944,100,4,Policy review,2024-09-15 10:52:00,
210,1001949,264,5,Multi-department coordination,2025-04-23 08:13:00,2025-04-24 08:13:00
211,1001956,65,3,Capacity support,2025-04-28 12:09:00,2025-05-03 12:09:00
212,1001958,164,6,Capacity support,2026-03-13 10:39:00,2026-03-19 10:39:00
213,1001964,64,6,Policy review,2024-11-11 12:21:00,
214,1001968,13,3,Multi-department coordination,2024-10-09 09:36:00,2024-10-14 09:36:00
215,1001971,109,7,Policy review,2026-07-03 10:11:00,2026-07-10 10:11:00
216,1001976,1,1,Multi-department coordination,2025-01-04 16:57:00,2025-01-08 16:57:00
217,1001977,237,2,SLA risk,2025-04-17 08:12:00,
218,1001986,219,6,Capacity support,2024-11-18 10:49:00,2024-11-26 10:49:00
219,1001988,213,4,Multi-department coordination,2025-11-12 13:19:00,
220,1001997,130,3,Capacity support,2025-09-07 11:46:00,
221,1002001,7,1,SLA risk,2025-06-14 11:08:00,2025-06-22 11:08:00
222,1002009,36,6,Policy review,2024-09-22 08:04:00,
223,1002018,72,5,Capacity support,2025-06-23 15:46:00,
224,1002020,87,6,Policy review,2025-12-14 10:43:00,
225,1002048,150,5,SLA risk,2025-09-13 15:56:00,
226,1002067,189,5,Capacity support,2026-06-30 12:09:00,
227,1002069,87,8,Capacity support,2024-11-24 11:10:00,
228,1002072,91,2,Multi-department coordination,2025-06-23 08:19:00,
229,1002079,248,3,SLA risk,2026-02-16 11:46:00,
230,1002087,74,5,Multi-department coordination,2025-08-21 16:46:00,
231,1002091,45,8,Policy review,2025-06-15 13:15:00,
232,1002094,46,6,Policy review,2026-03-10 13:23:00,2026-03-18 13:23:00
233,1002096,189,5,Policy review,2025-05-13 16:35:00,2025-05-18 16:35:00
234,1002112,203,2,Capacity support,2026-04-13 10:24:00,
235,1002117,169,5,Multi-department coordination,2024-09-06 15:44:00,
236,1002118,214,6,Multi-department coordination,2024-12-27 08:41:00,2025-01-03 08:41:00
237,1002125,196,5,Capacity support,2025-04-10 08:02:00,
238,1002126,178,3,Multi-department coordination,2025-05-18 10:55:00,2025-05-26 10:55:00
239,1002135,37,7,SLA risk,2026-04-05 10:11:00,
240,1002137,260,4,SLA risk,2025-10-19 12:52:00,
241,1002147,207,6,Policy review,2024-12-12 11:19:00,2024-12-17 11:19:00
242,1002168,182,7,Capacity support,2025-10-08 09:28:00,2025-10-09 09:28:00
243,1002191,66,1,Capacity support,2025-10-31 10:09:00,2025-11-08 10:09:00
244,1002192,94,7,Policy review,2025-06-30 14:14:00,2025-07-05 14:14:00
245,1002197,120,8,Policy review,2024-09-25 14:18:00,
246,1002204,140,5,SLA risk,2025-07-22 14:27:00,2025-07-28 14:27:00
247,1002206,257,2,SLA risk,2025-03-17 10:22:00,2025-03-18 10:22:00
248,1002233,46,4,Capacity support,2025-05-16 14:35:00,
249,1002245,125,8,Multi-department coordination,2025-03-03 08:36:00,
250,1002257,106,1,SLA risk,2025-04-11 12:30:00,2025-04-17 12:30:00
251,1002261,220,5,SLA risk,2025-10-20 16:42:00,2025-10-21 16:42:00
252,1002262,34,5,Capacity support,2026-05-11 13:38:00,2026-05-16 13:38:00
253,1002271,142,7,Capacity support,2025-06-27 16:37:00,2025-07-05 16:37:00
254,1002274,118,3,Capacity support,2024-11-27 14:35:00,2024-11-28 14:35:00
255,1002276,208,8,Policy review,2025-05-20 08:33:00,2025-05-28 08:33:00
256,1002284,154,8,SLA risk,2026-02-26 14:54:00,
257,1002287,135,5,Policy review,2025-04-03 11:19:00,
258,1002288,270,5,Capacity support,2025-07-30 08:53:00,
259,1002296,92,2,Multi-department coordination,2025-06-24 12:31:00,
260,1002305,25,7,Multi-department coordination,2024-09-22 10:08:00,
261,1002313,47,4,Multi-department coordination,2026-06-06 13:24:00,
262,1002321,268,4,Capacity support,2025-07-13 15:20:00,2025-07-15 15:20:00
263,1002327,189,8,Policy review,2025-06-21 14:31:00,
264,1002328,129,7,Capacity support,2026-05-24 12:58:00,2026-05-26 12:58:00
265,1002329,17,1,Capacity support,2025-07-02 08:42:00,2025-07-06 08:42:00
266,1002343,41,1,SLA risk,2026-05-20 11:45:00,
267,1002350,148,7,SLA risk,2024-10-08 15:24:00,
268,1002351,177,7,Policy review,2026-05-02 12:45:00,2026-05-08 12:45:00
269,1002364,145,5,Multi-department coordination,2025-11-02 09:55:00,
270,1002375,79,6,Capacity support,2025-04-01 12:10:00,2025-04-06 12:10:00
271,1002388,1,2,SLA risk,2024-12-11 12:27:00,2024-12-15 12:27:00
272,1002399,208,6,Policy review,2025-11-22 08:16:00,2025-11-30 08:16:00
273,1002427,215,4,Multi-department coordination,2025-03-29 15:27:00,2025-03-30 15:27:00
274,1002430,41,7,Multi-department coordination,2025-05-14 08:14:00,
275,1002440,122,8,SLA risk,2024-12-16 11:02:00,2024-12-22 11:02:00
276,1002443,56,1,Capacity support,2024-09-30 16:55:00,
277,1002452,143,6,Capacity support,2024-12-12 10:37:00,2024-12-18 10:37:00
278,1002453,43,3,Policy review,2025-04-10 15:10:00,
279,1002458,126,8,Capacity support,2025-03-07 16:01:00,
280,1002462,37,3,Policy review,2026-06-01 10:59:00,2026-06-09 10:59:00
281,1002465,85,2,Policy review,2026-01-14 13:51:00,
282,1002468,216,3,Policy review,2025-12-03 14:43:00,2025-12-09 14:43:00
283,1002469,51,3,SLA risk,2025-03-14 13:46:00,
284,1002471,12,6,Multi-department coordination,2025-08-26 09:45:00,2025-09-01 09:45:00
285,1002473,131,7,SLA risk,2026-01-12 14:28:00,2026-01-14 14:28:00
286,1002480,59,4,SLA risk,2025-01-11 12:01:00,2025-01-19 12:01:00
287,1002481,142,3,SLA risk,2026-01-09 15:22:00,
288,1002482,175,5,Capacity support,2025-05-09 08:02:00,2025-05-13 08:02:00
289,1002489,36,4,SLA risk,2025-10-29 11:57:00,
290,1002496,50,6,Multi-department coordination,2025-01-13 13:06:00,2025-01-19 13:06:00
291,1002501,156,6,Capacity support,2025-03-20 09:03:00,2025-03-22 09:03:00
292,1002505,208,8,Policy review,2026-06-23 16:36:00,
293,1002521,117,5,SLA risk,2025-07-30 13:56:00,2025-08-03 13:56:00
294,1002533,36,5,SLA risk,2025-03-10 12:53:00,2025-03-11 12:53:00
295,1002535,47,1,Capacity support,2025-07-08 10:44:00,
296,1002542,173,8,SLA risk,2024-10-27 11:05:00,2024-10-30 11:05:00
297,1002558,226,1,Policy review,2024-09-10 10:21:00,2024-09-14 10:21:00
298,1002562,22,4,Policy review,2025-03-04 16:02:00,
299,1002584,107,3,SLA risk,2025-04-26 16:42:00,2025-05-04 16:42:00
300,1002592,178,6,Capacity support,2025-06-07 08:55:00,2025-06-12 08:55:00
301,1002612,105,3,Policy review,2025-10-21 11:46:00,2025-10-27 11:46:00
302,1002621,162,5,Multi-department coordination,2025-08-30 12:48:00,2025-08-31 12:48:00
303,1002622,127,1,Policy review,2025-08-07 14:13:00,2025-08-09 14:13:00
304,1002639,28,5,Policy review,2025-09-18 16:33:00,2025-09-21 16:33:00
305,1002661,21,8,SLA risk,2025-11-14 08:14:00,2025-11-21 08:14:00
306,1002681,187,4,Capacity support,2025-04-15 12:05:00,
307,1002682,39,2,Policy review,2025-09-03 14:52:00,
308,1002719,245,4,Multi-department coordination,2025-04-07 16:23:00,2025-04-15 16:23:00
309,1002728,15,1,Capacity support,2025-05-31 10:53:00,
310,1002734,125,5,Capacity support,2026-06-26 13:33:00,2026-06-28 13:33:00
311,1002745,124,2,Multi-department coordination,2025-02-20 09:26:00,2025-02-26 09:26:00
312,1002747,210,7,Policy review,2025-12-31 13:21:00,
313,1002749,53,6,Capacity support,2024-11-26 08:46:00,2024-11-28 08:46:00
314,1002761,176,8,Capacity support,2024-12-01 14:12:00,2024-12-02 14:12:00
315,1002779,157,1,Capacity support,2025-06-13 14:05:00,2025-06-20 14:05:00
316,1002782,271,1,Capacity support,2025-07-17 08:02:00,
317,1002790,182,3,Policy review,2025-10-13 09:02:00,2025-10-21 09:02:00
318,1002803,156,2,SLA risk,2026-04-28 12:48:00,2026-05-05 12:48:00
319,1002809,175,2,Multi-department coordination,2026-03-12 08:53:00,
320,1002811,5,4,Policy review,2024-10-27 09:01:00,
321,1002820,42,7,Multi-department coordination,2025-08-23 10:06:00,
322,1002821,32,5,Capacity support,2026-05-26 15:58:00,2026-06-01 15:58:00
323,1002844,4,1,Capacity support,2024-12-07 10:08:00,
324,1002846,60,5,SLA risk,2024-08-26 08:18:00,
325,1002859,97,7,SLA risk,2024-10-31 08:07:00,2024-11-08 08:07:00
326,1002866,46,3,Multi-department coordination,2026-02-12 13:14:00,2026-02-17 13:14:00
327,1002888,91,8,SLA risk,2025-11-14 16:10:00,2025-11-20 16:10:00
328,1002891,104,3,SLA risk,2024-09-29 16:21:00,
329,1002895,26,6,Multi-department coordination,2026-02-19 14:59:00,2026-02-27 14:59:00
330,1002908,78,7,Policy review,2025-12-30 10:21:00,2026-01-05 10:21:00
331,1002919,33,3,Policy review,2025-01-22 12:00:00,
332,1002928,80,6,Policy review,2024-12-11 15:14:00,2024-12-17 15:14:00
333,1002934,82,3,SLA risk,2025-09-20 16:35:00,2025-09-23 16:35:00
334,1002936,165,1,Capacity support,2025-06-01 16:17:00,2025-06-07 16:17:00
335,1002952,90,6,Policy review,2025-12-14 14:32:00,2025-12-17 14:32:00
336,1002963,67,4,SLA risk,2025-06-09 12:48:00,2025-06-10 12:48:00
337,1002967,53,5,Multi-department coordination,2026-03-20 12:34:00,
338,1002982,271,5,Capacity support,2025-06-30 10:32:00,2025-07-07 10:32:00
339,1002985,80,6,SLA risk,2024-12-19 09:11:00,
340,1002999,121,3,Capacity support,2025-12-16 09:51:00,2025-12-24 09:51:00
341,1003006,100,2,Policy review,2025-05-08 15:45:00,2025-05-12 15:45:00
342,1003009,268,5,Multi-department coordination,2026-03-15 16:27:00,
343,1003010,19,8,Policy review,2024-11-11 10:19:00,2024-11-14 10:19:00
344,1003012,43,6,SLA risk,2025-12-28 10:04:00,2026-01-02 10:04:00
345,1003019,120,6,Capacity support,2024-10-18 12:09:00,2024-10-21 12:09:00
346,1003042,257,4,Multi-department coordination,2025-03-12 11:36:00,2025-03-18 11:36:00
347,1003064,73,3,Capacity support,2025-12-05 11:20:00,
348,1003070,76,7,Capacity support,2025-03-23 16:58:00,
349,1003081,165,2,SLA risk,2026-05-14 16:18:00,
350,1003083,131,1,Capacity support,2025-04-30 14:02:00,2025-05-07 14:02:00
351,1003104,46,2,SLA risk,2026-05-18 16:42:00,2026-05-25 16:42:00
352,1003105,270,3,SLA risk,2024-10-08 09:00:00,2024-10-16 09:00:00
353,1003108,26,8,Policy review,2025-11-30 15:41:00,
354,1003130,153,4,Policy review,2024-09-20 16:16:00,
355,1003132,148,5,Multi-department coordination,2025-11-05 12:28:00,
356,1003140,104,6,Policy review,2026-06-21 13:01:00,2026-06-26 13:01:00
357,1003154,215,8,SLA risk,2024-10-29 11:04:00,
358,1003158,11,4,Multi-department coordination,2025-05-10 11:28:00,
359,1003167,226,1,Multi-department coordination,2025-04-08 09:05:00,2025-04-15 09:05:00
360,1003169,113,1,Capacity support,2025-07-31 12:30:00,2025-08-01 12:30:00
361,1003178,210,1,Multi-department coordination,2024-08-27 12:25:00,
362,1003183,87,8,Policy review,2025-08-05 08:51:00,2025-08-13 08:51:00
363,1003198,43,5,Capacity support,2024-11-01 14:01:00,
364,1003200,99,7,SLA risk,2024-12-18 16:22:00,2024-12-20 16:22:00
365,1003206,69,3,Policy review,2026-04-27 15:16:00,2026-04-28 15:16:00
366,1003236,75,5,Capacity support,2025-07-27 15:17:00,
367,1003257,87,7,Policy review,2026-02-16 14:34:00,2026-02-17 14:34:00
368,1003261,25,2,Capacity support,2025-12-12 13:43:00,
369,1003266,196,3,Policy review,2025-12-04 14:52:00,
370,1003268,54,5,Multi-department coordination,2025-02-27 10:18:00,2025-02-28 10:18:00
371,1003301,66,1,SLA risk,2025-05-22 14:08:00,
372,1003319,25,4,Capacity support,2026-06-25 15:41:00,
