status_history_id,request_id,previous_status,new_status,changed_by_user_id,changed_at
38,1000008,In Progress,Resolved,55,2024-11-10 09:46:00
39,1000009,,New,66,2024-09-18 10:50:00
40,1000009,New,Triaged,66,2024-09-18 20:50:00
41,1000009,Triaged,Assigned,66,2024-09-18 16:50:00
42,1000010,,New,215,2026-01-10 13:53:00
43,1000010,New,Triaged,215,2026-01-10 20:53:00
44,1000010,Triaged,Assigned,215,2026-01-10 21:53:00
45,1000010,Assigned,In Progress,215,2026-01-11 19:53:00
46,1000010,In Progress,Resolved,215,2026-01-12 01:53:00
47,1000011,,New,38,2025-10-09 10:33:00
48,1000011,New,Triaged,38,2025-10-09 13:33:00
49,1000011,Triaged,Assigned,38,2025-10-10 00:33:00
50,1000011,Assigned,In Progress,38,2025-10-10 22:33:00
51,1000012,,New,93,2025-09-14 08:03:00
52,1000012,New,Triaged,93,2025-09-14 16:03:00
53,1000012,Triaged,Assigned,93,2025-09-15 18:03:00
54,1000012,Assigned,In Progress,93,2025-09-15 17:03:00
55,1000012,In Progress,Escalated,93,2025-09-15 00:03:00
56,1000013,,New,196,2025-08-16 14:01:00
57,1000013,New,Triaged,196,2025-08-17 03:01:00
58,1000013,Triaged,Assigned,196,2025-08-16 18:01:00
59,1000013,Assigned,In Progress,196,2025-08-18 14:01:00
60,1000013,In Progress,Resolved,196,2025-08-18 02:01:00
61,1000013,Resolved,Closed,196,2025-08-17 00:01:00
62,1000014,,New,73,2026-06-22 09:00:00
63,1000014,New,Triaged,73,2026-06-22 21:00:00
64,1000014,Triaged,Assigned,73,2026-06-22 15:00:00
65,1000014,Assigned,In Progress,73,2026-06-23 15:00:00
66,1000015,,New,97,2025-09-02 08:27:00
67,1000015,New,Triaged,97,2025-09-02 21:27:00
68,1000015,Triaged,Assigned,97,2025-09-03 10:27:00
69,1000015,Assigned,In Progress,97,2025-09-03 14:27:00
70,1000015,In Progress,Resolved,97,2025-09-04 16:27:00
71,1000015,Resolved,Closed,97,2025-09-02 23:27:00
72,1000016,,New,62,2024-11-16 15:30:00
73,1000016,New,Triaged,62,2024-11-16 19:30:00
74,1000016,Triaged,Assigned,62,2024-11-17 15:30:00
75,1000016,Assigned,In Progress,62,2024-11-17 06:30:00
76,1000016,In Progress,Pending Parent,62,2024-11-19 03:30:00
77,1000017,,New,35,2025-06-19 13:15:00
78,1000017,New,Triaged,35,2025-06-20 02:15:00
79,1000017,Triaged,Assigned,35,2025-06-20 19:15:00
80,1000017,Assigned,In Progress,35,2025-06-20 13:15:00
81,1000017,In Progress,Resolved,35,2025-06-20 13:15:00
82,1000018,,New,71,2025-01-20 13:23:00
83,1000018,New,Triaged,71,2025-01-21 03:23:00
84,1000018,Triaged,Assigned,71,2025-01-21 23:23:00
85,1000018,Assigned,In Progress,71,2025-01-21 13:23:00
86,1000018,In Progress,Resolved,71,2025-01-23 13:23:00
87,1000018,Resolved,Closed,71,2025-01-23 01:23:00
88,1000019,,New,16,2025-08-26 09:34:00
89,1000019,New,Triaged,16,2025-08-26 13:34:00
90,1000019,Triaged,Assigned,16,2025-08-26 21:34:00
91,1000019,Assigned,In Progress,16,2025-08-28 06:34:00
92,1000019,In Progress,Resolved,16,2025-08-27 13:34:00
93,1000020,,New,164,2025-02-23 10:54:00
94,1000020,New,Triaged,164,2025-02-23 21:54:00
95,1000020,Triaged,Assigned,164,2025-02-24 04:54:00
96,1000020,Assigned,In Progress,164,2025-02-24 01:54:00
97,1000020,In Progress,Resolved,164,2025-02-25 14:54:00
98,1000021,,New,86,2025-05-16 15:29:00
99,1000021,New,Triaged,86,2025-05-17 00:29:00
100,1000021,Triaged,Assigned,86,2025-05-17 07:29:00
101,1000021,Assigned,In Progress,86,2025-05-17 03:29:00
102,1000022,,New,245,2026-04-22 16:40:00
103,1000022,New,Triaged,245,2026-04-23 08:40:00
104,1000022,Triaged,Assigned,245,2026-04-24 02:40:00
105,1000022,Assigned,In Progress,245,2026-04-22 22:40:00
106,1000023,,New,147,2025-04-26 14:09:00
107,1000023,New,Triaged,147,2025-04-27 03:09:00
108,1000023,Triaged,Assigned,147,2025-04-26 18:09:00
109,1000023,Assigned,In Progress,147,2025-04-27 23:09:00
110,1000023,In Progress,Resolved,147,2025-04-29 14:09:00
111,1000023,Resolved,Closed,147,2025-04-27 05:09:00
112,1000024,,New,216,2025-10-16 10:28:00
113,1000024,New,Triaged,216,2025-10-17 03:28:00
114,1000024,Triaged,Assigned,216,2025-10-17 22:28:00
115,1000024,Assigned,In Progress,216,2025-10-17 07:28:00
116,1000024,In Progress,Resolved,216,2025-10-17 10:28:00
117,1000024,Resolved,Closed,216,2025-10-17 16:28:00
118,1000025,,New,37,2025-02-23 15:56:00
119,1000025,New,Triaged,37,2025-02-24 07:56:00
120,1000025,Triaged,Assigned,37,2025-02-24 11:56:00
121,1000025,Assigned,In Progress,37,2025-02-25 06:56:00
122,1000026,,New,163,2025-04-09 14:19:00
123,1000026,New,Triaged,163,2025-04-10 08:19:00
124,1000026,Triaged,Assigned,163,2025-04-10 18:19:00
125,1000026,Assigned,In Progress,163,2025-04-09 20:19:00
126,1000027,,New,213,2026-04-22 09:40:00
127,1000027,New,Triaged,213,2026-04-23 02:40:00
128,1000027,Triaged,Assigned,213,2026-04-22 15:40:00
129,1000027,Assigned,In Progress,213,2026-04-24 12:40:00
130,1000027,In Progress,Resolved,213,2026-04-25 05:40:00
131,1000027,Resolved,Closed,213,2026-04-24 01:40:00
132,1000028,,New,134,2025-10-28 15:17:00
133,1000028,New,Triaged,134,2025-10-28 20:17:00
134,1000028,Triaged,Assigned,134,2025-10-29 15:17:00
135,1000028,Assigned,In Progress,134,2025-10-30 12:17:00
136,1000028,In Progress,Resolved,134,2025-10-30 11:17:00
137,1000029,,New,117,2025-09-17 11:34:00
138,1000029,New,Triaged,117,2025-09-18 03:34:00
139,1000029,Triaged,Assigned,117,2025-09-17 21:34:00
140,1000029,Assigned,In Progress,117,2025-09-19 08:34:00
141,1000030,,New,128,2025-10-15 10:15:00
142,1000030,New,Triaged,128,2025-10-16 02:15:00
143,1000030,Triaged,Assigned,128,2025-10-16 08:15:00
144,1000030,Assigned,In Progress,128,2025-10-15 19:15:00
145,1000031,,New,34,2025-02-04 08:23:00
146,1000031,New,Triaged,34,2025-02-04 16:23:00
147,1000031,Triaged,Assigned,34,2025-02-05 18:23:00
148,1000031,Assigned,In Progress,34,2025-02-05 11:23:00
149,1000031,In Progress,Resolved,34,2025-02-05 00:23:00
150,1000032,,New,212,2025-10-20 08:52:00
151,1000032,New,Triaged,212,2025-10-20 12:52:00
152,1000032,Triaged,Assigned,212,2025-10-20 12:52:00
153,1000032,Assigned,In Progress,212,2025-10-20 23:52:00
154,1000032,In Progress,Escalated,212,2025-10-21 16:52:00
155,1000033,,New,237,2025-01-11 11:42:00
156,1000033,New,Triaged,237,2025-01-12 02:42:00
157,1000033,Triaged,Assigned,237,2025-01-12 17:42:00
158,1000033,Assigned,In Progress,237,2025-01-13 11:42:00
159,1000033,In Progress,Resolved,237,2025-01-14 07:42:00
160,1000034,,New,17,2024-10-01 14:18:00
161,1000034,New,Triaged,17,2024-10-01 19:18:00
162,1000034,Triaged,Assigned,17,2024-10-02 00:18:00
163,1000034,Assigned,In Progress,17,2024-10-03 11:18:00
164,1000034,In Progress,Resolved,17,2024-10-03 02:18:00
165,1000034,Resolved,Closed,17,2024-10-02 00:18:00
166,1000035,,New,16,2025-08-29 11:55:00
167,1000035,New,Triaged,16,2025-08-29 15:55:00
168,1000035,Triaged,Assigned,16,2025-08-29 21:55:00
169,1000036,,New,164,2024-11-29 10:56:00
170,1000036,New,Triaged,164,2024-11-29 16:56:00
171,1000036,Triaged,Assigned,164,2024-11-30 20:56:00
172,1000036,Assigned,In Progress,164,2024-12-01 07:56:00
173,1000036,In Progress,Resolved,164,2024-12-02 02:56:00
174,1000037,,New,86,2025-07-30 15:19:00
175,1000037,New,Triaged,86,2025-07-31 01:19:00
176,1000037,Triaged,Assigned,86,2025-07-31 03:19:00
177,1000037,Assigned,In Progress,86,2025-07-31 21:19:00
178,1000037,In Progress,Escalated,86,2025-08-01 23:19:00
179,1000038,,New,38,2026-04-20 10:27:00
180,1000038,New,Triaged,38,2026-04-20 13:27:00
181,1000038,Triaged,Assigned,38,2026-04-21 22:27:00
182,1000038,Assigned,In Progress,38,2026-04-21 13:27:00
183,1000038,In Progress,Resolved,38,2026-04-21 14:27:00
184,1000038,Resolved,Closed,38,2026-04-23 23:27:00
185,1000039,,New,272,2026-02-18 16:23:00
186,1000039,New,Triaged,272,2026-02-19 05:23:00
187,1000039,Triaged,Assigned,272,2026-02-19 08:23:00
188,1000039,Assigned,In Progress,272,2026-02-20 10:23:00
189,1000039,In Progress,Escalated,272,2026-02-21 04:23:00
190,1000040,,New,219,2024-09-19 08:46:00
191,1000040,New,Triaged,219,2024-09-19 20:46:00
192,1000040,Triaged,Assigned,219,2024-09-19 22:46:00
193,1000040,Assigned,In Progress,219,2024-09-19 23:46:00
194,1000041,,New,117,2025-02-13 08:26:00
195,1000041,New,Triaged,117,2025-02-13 21:26:00
196,1000041,Triaged,Assigned,117,2025-02-14 16:26:00
197,1000041,Assigned,In Progress,117,2025-02-15 05:26:00
198,1000041,In Progress,Resolved,117,2025-02-14 20:26:00
199,1000042,,New,51,2025-07-09 13:22:00
200,1000042,New,Triaged,51,2025-07-09 15:22:00
201,1000042,Triaged,Assigned,51,2025-07-10 15:22:00
202,1000043,,New,245,2024-08-27 09:47:00
203,1000043,New,Triaged,245,2024-08-27 17:47:00
204,1000043,Triaged,Assigned,245,2024-08-28 05:47:00
205,1000044,,New,57,2024-08-21 12:55:00
206,1000044,New,Triaged,57,2024-08-21 17:55:00
207,1000044,Triaged,Assigned,57,2024-08-21 18:55:00
208,1000044,Assigned,In Progress,57,2024-08-22 06:55:00
209,1000044,In Progress,Resolved,57,2024-08-23 00:55:00
210,1000044,Resolved,Closed,57,2024-08-23 14:55:00
211,1000045,,New,138,2026-02-28 10:39:00
212,1000045,New,Triaged,138,2026-02-28 23:39:00
213,1000045,Triaged,Assigned,138,2026-03-01 16:39:00
214,1000045,Assigned,In Progress,138,2026-03-01 16:39:00
215,1000045,In Progress,Resolved,138,2026-03-02 06:39:00
216,1000045,Resolved,Closed,138,2026-03-01 21:39:00
217,1000046,,New,219,2025-03-22 11:40:00
218,1000046,New,Triaged,219,2025-03-22 13:40:00
219,1000046,Triaged,Assigned,219,2025-03-23 19:40:00
220,1000046,Assigned,In Progress,219,2025-03-22 17:40:00
221,1000046,In Progress,Escalated,219,2025-03-23 07:40:00
222,1000047,,New,35,2025-07-06 13:31:00
223,1000047,New,Triaged,35,2025-07-07 07:31:00
224,1000047,Triaged,Assigned,35,2025-07-06 21:31:00
225,1000048,,New,170,2026-01-16 12:22:00
226,1000048,New,Triaged,170,2026-01-16 23:22:00
227,1000048,Triaged,Assigned,170,2026-01-17 14:22:00
228,1000048,Assigned,In Progress,170,2026-01-17 21:22:00
229,1000049,,New,83,2026-06-28 08:53:00
230,1000049,New,Triaged,83,2026-06-28 20:53:00
231,1000049,Triaged,Assigned,83,2026-06-29 16:53:00
232,1000049,Assigned,In Progress,83,2026-06-29 05:53:00
233,1000049,In Progress,Resolved,83,2026-06-29 04:53:00
234,1000050,,New,77,2025-07-28 16:06:00
235,1000050,New,Triaged,77,2025-07-29 08:06:00
236,1000050,Triaged,Assigned,77,2025-07-29 18:06:00
237,1000050,Assigned,In Progress,77,2025-07-29 13:06:00
238,1000050,In Progress,Escalated,77,2025-07-29 12:06:00
239,1000051,,New,104,2024-11-09 09:00:00
240,1000051,New,Triaged,104,2024-11-09 11:00:00
241,1000051,Triaged,Assigned,104,2024-11-10 15:00:00
242,1000051,Assigned,In Progress,104,2024-11-11 00:00:00
243,1000052,,New,37,2024-10-31 11:25:00
244,1000052,New,Triaged,37,2024-11-01 03:25:00
245,1000052,Triaged,Assigned,37,2024-10-31 23:25:00
246,1000052,Assigned,In Progress,37,2024-11-01 14:25:00
247,1000053,,New,143,2025-10-22 10:00:00
248,1000053,New,Triaged,143,2025-10-22 12:00:00
249,1000053,Triaged,Assigned,143,2025-10-23 06:00:00
250,1000053,Assigned,In Progress,143,2025-10-24 04:00:00
251,1000053,In Progress,Resolved,143,2025-10-22 18:00:00
252,1000054,,New,30,2025-10-27 12:46:00
253,1000054,New,Triaged,30,2025-10-27 14:46:00
254,1000054,Triaged,Assigned,30,2025-10-27 22:46:00
255,1000054,Assigned,In Progress,30,2025-10-27 21:46:00
256,1000055,,New,141,2026-03-08 10:37:00
257,1000055,New,Triaged,141,2026-03-08 16:37:00
258,1000055,Triaged,Assigned,141,2026-03-08 20:37:00
259,1000056,,New,178,2025-07-14 15:22:00
260,1000056,New,Triaged,178,2025-07-15 08:22:00
261,1000056,Triaged,Assigned,178,2025-07-15 11:22:00
262,1000056,Assigned,In Progress,178,2025-07-15 09:22:00
263,1000056,In Progress,Resolved,178,2025-07-15 15:22:00
264,1000056,Resolved,Closed,178,2025-07-16 02:22:00
265,1000057,,New,30,2025-02-16 14:01:00
266,1000057,New,Triaged,30,2025-02-17 04:01:00
267,1000057,Triaged,Assigned,30,2025-02-18 00:01:00
268,1000057,Assigned,In Progress,30,2025-02-18 02:01:00
269,1000057,In Progress,Pending Parent,30,2025-02-17 14:01:00
270,1000058,,New,76,2026-06-26 08:52:00
271,1000058,New,Triaged,76,2026-06-26 12:52:00
272,1000058,Triaged,Assigned,76,2026-06-27 20:52:00
273,1000058,Assigned,In Progress,76,2026-06-26 23:52:00
274,1000058,In Progress,Resolved,76,2026-06-28 04:52:00
275,1000059,,New,126,2025-01-25 16:24:00
276,1000059,New,Triaged,126,2025-01-25 20:24:00
277,1000059,Triaged,Assigned,126,2025-01-26 22:24:00
278,1000060,,New,143,2024-08-26 13:48:00
279,1000060,New,Triaged,143,2024-08-26 23:48:00
280,1000060,Triaged,Assigned,143,2024-08-27 11:48:00
281,1000060,Assigned,In Progress,143,2024-08-28 16:48:00
282,1000061,,New,186,2024-10-05 15:10:00
283,1000061,New,Triaged,186,2024-10-06 09:10:00
284,1000061,Triaged,Assigned,186,2024-10-06 03:10:00
285,1000061,Assigned,In Progress,186,2024-10-06 18:10:00
286,1000061,In Progress,Pending Parent,186,2024-10-07 23:10:00
287,1000062,,New,87,2025-06-17 16:13:00
288,1000062,New,Triaged,87,2025-06-18 01:13:00
289,1000062,Triaged,Assigned,87,2025-06-19 02:13:00
290,1000063,,New,122,2025-11-27 16:01:00
291,1000063,New,Triaged,122,2025-11-28 02:01:00
292,1000063,Triaged,Assigned,122,2025-11-28 14:01:00
293,1000063,Assigned,In Progress,122,2025-11-28 01:01:00
294,1000063,In Progress,Pending Parent,122,2025-11-28 00:01:00
295,1000064,,New,31,2025-09-08 10:14:00
296,1000064,New,Triaged,31,2025-09-09 03:14:00
297,1000064,Triaged,Assigned,31,2025-09-09 16:14:00
298,1000064,Assigned,In Progress,31,2025-09-09 16:14:00
299,1000064,In Progress,Resolved,31,2025-09-10 02:14:00
300,1000065,,New,193,2025-05-14 14:30:00
301,1000065,New,Triaged,193,2025-05-14 21:30:00
302,1000065,Triaged,Assigned,193,2025-05-15 06:30:00
303,1000065,Assigned,In Progress,193,2025-05-15 20:30:00
304,1000065,In Progress,Resolved,193,2025-05-16 02:30:00
305,1000066,,New,174,2024-10-29 08:24:00
306,1000066,New,Triaged,174,2024-10-29 23:24:00
307,1000066,Triaged,Assigned,174,2024-10-29 18:24:00
308,1000066,Assigned,In Progress,174,2024-10-30 20:24:00
309,1000066,In Progress,Escalated,174,2024-11-01 04:24:00
310,1000067,,New,23,2025-11-24 11:13:00
311,1000067,New,Triaged,23,2025-11-24 19:13:00
312,1000067,Triaged,Assigned,23,2025-11-25 05:13:00
313,1000067,Assigned,In Progress,23,2025-11-26 08:13:00
314,1000067,In Progress,Resolved,23,2025-11-25 03:13:00
315,1000067,Resolved,Closed,23,2025-11-26 18:13:00
316,1000068,,New,88,2025-07-20 10:57:00
317,1000068,New,Triaged,88,2025-07-20 12:57:00
318,1000068,Triaged,Assigned,88,2025-07-21 20:57:00
319,1000068,Assigned,In Progress,88,2025-07-22 10:57:00
320,1000069,,New,137,2026-05-26 10:55:00
321,1000069,New,Triaged,137,2026-05-27 00:55:00
322,1000069,Triaged,Assigned,137,2026-05-27 08:55:00
323,1000069,Assigned,In Progress,137,2026-05-27 16:55:00
324,1000069,In Progress,Resolved,137,2026-05-29 02:55:00
325,1000069,Resolved,Closed,137,2026-05-29 08:55:00
326,1000070,,New,144,2026-03-06 14:15:00
327,1000070,New,Triaged,144,2026-03-07 04:15:00
328,1000070,Triaged,Assigned,144,2026-03-07 06:15:00
329,1000070,Assigned,In Progress,144,2026-03-08 05:15:00
330,1000070,In Progress,Resolved,144,2026-03-09 14:15:00
331,1000071,,New,30,2025-12-15 16:52:00
332,1000071,New,Triaged,30,2025-12-16 03:52:00
333,1000071,Triaged,Assigned,30,2025-12-15 20:52:00
334,1000071,Assigned,In Progress,30,2025-12-16 10:52:00
335,1000072,,New,5,2025-11-16 11:58:00
336,1000072,New,Triaged,5,2025-11-16 17:58:00
337,1000072,Triaged,Assigned,5,2025-11-16 15:58:00
338,1000072,Assigned,In Progress,5,2025-11-18 14:58:00
339,1000072,In Progress,Escalated,5,2025-11-18 19:58:00
340,1000073,,New,103,2025-04-15 10:15:00
341,1000073,New,Triaged,103,2025-04-16 03:15:00
342,1000073,Triaged,Assigned,103,2025-04-15 20:15:00
343,1000073,Assigned,In Progress,103,2025-04-15 22:15:00
344,1000074,,New,156,2026-03-20 10:42:00
345,1000074,New,Triaged,156,2026-03-20 21:42:00
346,1000074,Triaged,Assigned,156,2026-03-21 00:42:00
347,1000074,Assigned,In Progress,156,2026-03-21 04:42:00
348,1000075,,New,165,2024-11-09 10:09:00
349,1000075,New,Triaged,165,2024-11-09 18:09:00
350,1000075,Triaged,Assigned,165,2024-11-10 08:09:00
351,1000075,Assigned,In Progress,165,2024-11-11 10:09:00
352,1000076,,New,57,2024-09-05 14:29:00
353,1000076,New,Triaged,57,2024-09-05 19:29:00
354,1000076,Triaged,Assigned,57,2024-09-06 12:29:00
355,1000076,Assigned,In Progress,57,2024-09-06 23:29:00
356,1000077,,New,16,2026-01-14 12:41:00
357,1000077,New,Triaged,16,2026-01-15 04:41:00
358,1000077,Triaged,Assigned,16,2026-01-15 04:41:00
359,1000077,Assigned,In Progress,16,2026-01-16 09:41:00
360,1000077,In Progress,Resolved,16,2026-01-16 20:41:00
361,1000078,,New,141,2026-01-05 10:30:00
362,1000078,New,Triaged,141,2026-01-05 21:30:00
363,1000078,Triaged,Assigned,141,2026-01-05 20:30:00
364,1000078,Assigned,In Progress,141,2026-01-07 16:30:00
365,1000079,,New,102,2025-10-09 14:32:00
366,1000079,New,Triaged,102,2025-10-09 21:32:00
367,1000079,Triaged,Assigned,102,2025-10-10 16:32:00
368,1000079,Assigned,In Progress,102,2025-10-09 23:32:00
369,1000079,In Progress,Pending Student,102,2025-10-11 22:32:00
370,1000080,,New,37,2024-08-18 08:39:00
371,1000080,New,Triaged,37,2024-08-18 21:39:00
372,1000080,Triaged,Assigned,37,2024-08-18 12:39:00
373,1000080,Assigned,In Progress,37,2024-08-19 11:39:00
374,1000080,In Progress,Resolved,37,2024-08-20 00:39:00
375,1000081,,New,96,2025-12-31 12:27:00
376,1000081,New,Triaged,96,2025-12-31 14:27:00
377,1000081,Triaged,Assigned,96,2026-01-01 02:27:00
378,1000082,,New,80,2025-08-14 10:33:00
379,1000082,New,Triaged,80,2025-08-14 16:33:00
380,1000082,Triaged,Assigned,80,2025-08-14 14:33:00
381,1000082,Assigned,In Progress,80,2025-08-16 16:33:00
382,1000082,In Progress,Resolved,80,2025-08-16 06:33:00
383,1000082,Resolved,Closed,80,2025-08-17 13:33:00
384,1000083,,New,101,2025-01-16 09:29:00
385,1000083,New,Triaged,101,2025-01-16 19:29:00
386,1000083,Triaged,Assigned,101,2025-01-16 23:29:00
387,1000083,Assigned,In Progress,101,2025-01-17 12:29:00
388,1000083,In Progress,Escalated,101,2025-01-18 05:29:00
389,1000084,,New,66,2025-05-04 12:41:00
390,1000084,New,Triaged,66,2025-05-04 21:41:00
391,1000084,Triaged,Assigned,66,2025-05-04 22:41:00
392,1000084,Assigned,In Progress,66,2025-05-05 03:41:00
393,1000084,In Progress,Pending Parent,66,2025-05-07 08:41:00
394,1000085,,New,129,2024-09-18 08:21:00
395,1000085,New,Triaged,129,2024-09-18 15:21:00
396,1000085,Triaged,Assigned,129,2024-09-18 18:21:00
397,1000085,Assigned,In Progress,129,2024-09-20 05:21:00
398,1000085,In Progress,Resolved,129,2024-09-21 04:21:00
399,1000085,Resolved,Closed,129,2024-09-20 10:21:00
400,1000086,,New,29,2025-03-06 11:16:00
401,1000086,New,Triaged,29,2025-03-07 00:16:00
402,1000086,Triaged,Assigned,29,2025-03-06 23:16:00
403,1000086,Assigned,In Progress,29,2025-03-07 20:16:00
404,1000086,In Progress,Resolved,29,2025-03-08 23:16:00
405,1000087,,New,71,2024-11-29 11:43:00
406,1000087,New,Triaged,71,2024-11-29 17:43:00
407,1000087,Triaged,Assigned,71,2024-11-30 13:43:00
408,1000088,,New,176,2026-05-08 14:01:00
409,1000088,New,Triaged,176,2026-05-09 00:01:00
410,1000088,Triaged,Assigned,176,2026-05-09 16:01:00
411,1000088,Assigned,In Progress,176,2026-05-09 02:01:00
412,1000089,,New,104,2025-04-24 13:08:00
413,1000089,New,Triaged,104,2025-04-25 05:08:00
414,1000089,Triaged,Assigned,104,2025-04-24 23:08:00
415,1000089,Assigned,In Progress,104,2025-04-26 10:08:00
416,1000090,,New,107,2026-01-26 08:22:00
417,1000090,New,Triaged,107,2026-01-26 14:22:00
418,1000090,Triaged,Assigned,107,2026-01-26 20:22:00
419,1000090,Assigned,In Progress,107,2026-01-27 23:22:00
420,1000091,,New,77,2025-04-22 09:01:00
421,1000091,New,Triaged,77,2025-04-23 03:01:00
422,1000091,Triaged,Assigned,77,2025-04-23 15:01:00
423,1000091,Assigned,In Progress,77,2025-04-23 03:01:00
424,1000091,In Progress,Pending Parent,77,2025-04-24 01:01:00
425,1000092,,New,220,2025-05-13 11:30:00
426,1000092,New,Triaged,220,2025-05-13 23:30:00
427,1000092,Triaged,Assigned,220,2025-05-14 11:30:00
428,1000092,Assigned,In Progress,220,2025-05-15 02:30:00
429,1000092,In Progress,Resolved,220,2025-05-14 07:30:00
430,1000093,,New,23,2026-03-25 11:09:00
431,1000093,New,Triaged,23,2026-03-25 21:09:00
432,1000093,Triaged,Assigned,23,2026-03-26 03:09:00
433,1000093,Assigned,In Progress,23,2026-03-26 17:09:00
434,1000094,,New,218,2025-04-09 09:55:00
435,1000094,New,Triaged,218,2025-04-10 03:55:00
436,1000094,Triaged,Assigned,218,2025-04-10 03:55:00
437,1000095,,New,163,2025-04-13 08:34:00
438,1000095,New,Triaged,163,2025-04-13 11:34:00
439,1000095,Triaged,Assigned,163,2025-04-14 14:34:00
440,1000095,Assigned,In Progress,163,2025-04-15 02:34:00
441,1000095,In Progress,Resolved,163,2025-04-14 08:34:00
442,1000095,Resolved,Closed,163,2025-04-14 04:34:00
443,1000096,,New,82,2026-06-01 12:52:00
444,1000096,New,Triaged,82,2026-06-01 15:52:00
445,1000096,Triaged,Assigned,82,2026-06-01 16:52:00
446,1000097,,New,121,2025-06-15 11:20:00
447,1000097,New,Triaged,121,2025-06-15 14:20:00
448,1000097,Triaged,Assigned,121,2025-06-16 17:20:00
449,1000097,Assigned,In Progress,121,2025-06-16 20:20:00
450,1000097,In Progress,Resolved,121,2025-06-17 23:20:00
451,1000098,,New,149,2025-08-23 10:06:00
452,1000098,New,Triaged,149,2025-08-24 03:06:00
453,1000098,Triaged,Assigned,149,2025-08-24 08:06:00
454,1000098,Assigned,In Progress,149,2025-08-25 07:06:00
455,1000098,In Progress,Pending Student,149,2025-08-26 02:06:00
456,1000099,,New,114,2025-12-03 14:58:00
457,1000099,New,Triaged,114,2025-12-04 00:58:00
458,1000099,Triaged,Assigned,114,2025-12-04 18:58:00
459,1000099,Assigned,In Progress,114,2025-12-04 08:58:00
460,1000099,In Progress,Resolved,114,2025-12-05 18:58:00
461,1000100,,New,193,2026-02-01 10:24:00
462,1000100,New,Triaged,193,2026-02-02 02:24:00
463,1000100,Triaged,Assigned,193,2026-02-01 22:24:00
464,1000100,Assigned,In Progress,193,2026-02-01 22:24:00
465,1000100,In Progress,Pending Parent,193,2026-02-04 10:24:00
466,1000101,,New,187,2025-04-19 11:27:00
467,1000101,New,Triaged,187,2025-04-20 03:27:00
468,1000101,Triaged,Assigned,187,2025-04-20 21:27:00
469,1000101,Assigned,In Progress,187,2025-04-21 17:27:00
470,1000101,In Progress,Resolved,187,2025-04-20 07:27:00
471,1000101,Resolved,Closed,187,2025-04-22 19:27:00
472,1000102,,New,173,2025-10-05 12:04:00
473,1000102,New,Triaged,173,2025-10-05 20:04:00
474,1000102,Triaged,Assigned,173,2025-10-06 00:04:00
475,1000102,Assigned,In Progress,173,2025-10-05 18:04:00
476,1000103,,New,7,2025-12-22 13:04:00
477,1000103,New,Triaged,7,2025-12-22 17:04:00
478,1000103,Triaged,Assigned,7,2025-12-23 07:04:00
479,1000103,Assigned,In Progress,7,2025-12-24 13:04:00
480,1000103,In Progress,Pending Parent,7,2025-12-22 21:04:00
481,1000104,,New,97,2025-02-19 15:03:00
482,1000104,New,Triaged,97,2025-02-20 01:03:00
483,1000104,Triaged,Assigned,97,2025-02-20 17:03:00
